 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,PA_6_DAPI.tif_RGB,83961488,R,0,0,0,0,0,30263.248,17072.158,283827,0,0,46609.09,37745.453,0.013,50326.246,0,0,0,0,3831,30.252,37647.133,1.206,0.829,0.057,0,255
2,PA_6_DAPI.tif_RGB,83961488,G,39.411,13.883,46,11,155,30263.248,17072.158,283827,0,0,46609.09,37745.453,0.013,50326.246,3308988416,100,40038760,0,3831,30.252,37647.133,1.206,0.829,0.057,0,255
3,PA_6_DAPI.tif_RGB,83961488,B,62.771,22.186,18,18,247,30263.248,17072.158,283827,0,0,46609.09,37745.453,0.013,50326.246,5270335488,100,63771060,0,3831,30.252,37647.133,1.206,0.829,0.057,0,255
4,PA_5_DAPI.tif_RGB,93056696,R,0,0,0,0,0,28546.33,18845.381,228021.484,0,0,48663.637,40427.273,0.022,57623.527,0,0,0,37,4119,36.429,40029.617,1.142,0.875,0.054,0,255
5,PA_5_DAPI.tif_RGB,93056696,G,37.232,15.98,38,11,159,28546.33,18845.381,228021.484,0,0,48663.637,40427.273,0.022,57623.527,3464646400,100,41922224,37,4119,36.429,40029.617,1.142,0.875,0.054,0,255
6,PA_5_DAPI.tif_RGB,93056696,B,59.274,25.554,61,18,254,28546.33,18845.381,228021.484,0,0,48663.637,40427.273,0.022,57623.527,5515832320,100,66741572,37,4119,36.429,40029.617,1.142,0.875,0.054,0,255
7,PA_4_DAPI.tif_RGB,84793224,R,0,0,0,0,0,20854.178,23884.273,183221.594,0,0,42972.727,42709.09,0.032,51522.719,0,0,0,757,459,134.071,38918.223,1.202,0.832,0.061,0,255
8,PA_4_DAPI.tif_RGB,84793224,G,40.84,14.797,45,13,159,20854.178,23884.273,183221.594,0,0,42972.727,42709.09,0.032,51522.719,3462974976,100,41901996,757,459,134.071,38918.223,1.202,0.832,0.061,0,255
9,PA_4_DAPI.tif_RGB,84793224,B,65.039,23.673,71,20,254,20854.178,23884.273,183221.594,0,0,42972.727,42709.09,0.032,51522.719,5514873344,100,66729968,757,459,134.071,38918.223,1.202,0.832,0.061,0,255
10,PA_3_DAPI.tif_RGB,94946200,R,0,0,0,0,0,22419.107,18909.998,476456.531,0,0,47863.637,41236.363,0.005,52748.902,0,0,0,507,25,145.086,41048.477,1.198,0.835,0.058,0,255
11,PA_3_DAPI.tif_RGB,94946200,G,34.636,14.589,11,10,159,22419.107,18909.998,476456.531,0,0,47863.637,41236.363,0.005,52748.902,3288595200,100,39792000,507,25,145.086,41048.477,1.198,0.835,0.058,0,255
12,PA_3_DAPI.tif_RGB,94946200,B,55.133,23.312,16,16,254,22419.107,18909.998,476456.531,0,0,47863.637,41236.363,0.005,52748.902,5234630656,100,63339032,507,25,145.086,41048.477,1.198,0.835,0.058,0,255
13,PA_2_DAPI.tif_RGB,82034960,R,0,0,0,0,0,23517.352,18397.82,190943.656,0,0,46654.547,42018.184,0.028,52177.062,0,0,0,60,955,151.189,41195.152,1.077,0.928,0.049,0,255
14,PA_2_DAPI.tif_RGB,82034960,G,37.902,13.593,40,11,159,23517.352,18397.82,190943.656,0,0,46654.547,42018.184,0.028,52177.062,3109253632,100,37621968,60,955,151.189,41195.152,1.077,0.928,0.049,0,255
15,PA_2_DAPI.tif_RGB,82034960,B,60.345,21.732,64,18,254,23517.352,18397.82,190943.656,0,0,46654.547,42018.184,0.028,52177.062,4950408704,100,59899944,60,955,151.189,41195.152,1.077,0.928,0.049,0,255
16,PA_1_DAPI.tif_RGB,87233392,R,0,0,0,0,0,29776.352,17043.348,192085.469,0,0,46281.816,41681.816,0.03,56480.828,0,0,0,0,4585,35.005,39390.031,1.167,0.857,0.057,0,255
17,PA_1_DAPI.tif_RGB,87233392,G,40.51,15.449,43,13,159,29776.352,17043.348,192085.469,0,0,46281.816,41681.816,0.03,56480.828,3533830656,100,42759352,0,4585,35.005,39390.031,1.167,0.857,0.057,0,255
18,PA_1_DAPI.tif_RGB,87233392,B,64.512,24.715,69,20,254,29776.352,17043.348,192085.469,0,0,46281.816,41681.816,0.03,56480.828,5627610112,100,68094080,0,4585,35.005,39390.031,1.167,0.857,0.057,0,255
19,PA_6_DAPI[0;0].tif_RGB,16532314,R,0,0,0,0,0,21203.801,7681.007,71017.32,0,0,23354.545,18327.273,0.041,26867.498,0,0,0,1,1665,30.365,15847.764,3.408,0.293,0.061,0,255
20,PA_6_DAPI[0;0].tif_RGB,16532314,G,41.299,16.84,11,11,78,21203.801,7681.007,71017.32,0,0,23354.545,18327.273,0.041,26867.498,682768576,100,8261500,1,1665,30.365,15847.764,3.408,0.293,0.061,0,255
21,PA_6_DAPI[0;0].tif_RGB,16532314,B,65.796,26.904,18,18,125,21203.801,7681.007,71017.32,0,0,23354.545,18327.273,0.041,26867.498,1087755008,100,13161835,1,1665,30.365,15847.764,3.408,0.293,0.061,0,255
22,PA_6_DAPI[1;0].tif_RGB,25404794,R,0,0,0,0,0,7749.616,8714.473,68164.906,0,0,18309.092,18454.545,0.069,21232.928,0,0,0,321,334,136.457,16164.116,1.264,0.791,0.112,0,255
23,PA_6_DAPI[1;0].tif_RGB,25404794,G,41.454,12.983,38,11,68,7749.616,8714.473,68164.906,0,0,18309.092,18454.545,0.069,21232.928,1053120064,100,12742753,321,334,136.457,16164.116,1.264,0.791,0.112,0,255
24,PA_6_DAPI[1;0].tif_RGB,25404794,B,66.037,20.75,75,18,108,7749.616,8714.473,68164.906,0,0,18309.092,18454.545,0.069,21232.928,1677665536,100,20299752,321,334,136.457,16164.116,1.264,0.791,0.112,0,255
25,PA_6_DAPI[0;1].tif_RGB,5751405,R,0,0,0,0,0,16036.282,1032.762,55602.012,0,0,17727.273,6854.545,0.023,18221.83,0,0,0,0,501,13.502,4542.803,1.787,0.56,0.106,0,255
26,PA_6_DAPI[0;1].tif_RGB,5751405,G,45.666,6.51,45,35,155,16036.282,1032.762,55602.012,0,0,17727.273,6854.545,0.023,18221.83,262644960,100,3178004,0,501,13.502,4542.803,1.787,0.56,0.106,0,255
27,PA_6_DAPI[0;1].tif_RGB,5751405,B,72.757,10.415,70,55,247,16036.282,1032.762,55602.012,0,0,17727.273,6854.545,0.023,18221.83,418454624,100,5063301,0,501,13.502,4542.803,1.787,0.56,0.106,0,255
28,PA_6_DAPI[1;1].tif_RGB,34549172,R,0,0,0,0,0,7238.978,6929.376,150099.375,0,0,19963.637,21172.727,0.019,23359.838,0,0,0,67,312,128.284,19355.633,1.45,0.69,0.116,0,255
