 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,Experiment-1348-Stitching-457-Image Export-05_DAPI.tif_RGB,39002232,R,0,0,0,0,0,25755.297,22044.504,308995.812,0,0,49463.637,43272.727,0.005,65720.469,0,0,0,0,0,138.819,43272.727,1.236,0.809,0.018,0,255
2,Experiment-1348-Stitching-457-Image Export-05_DAPI.tif_RGB,39002232,G,0,0,0,0,0,25755.297,22044.504,308995.812,0,0,49463.637,43272.727,0.005,65720.469,0,0,0,0,0,138.819,43272.727,1.236,0.809,0.018,0,255
3,Experiment-1348-Stitching-457-Image Export-05_DAPI.tif_RGB,39002232,B,0,0,0,0,0,25755.297,22044.504,308995.812,0,0,49463.637,43272.727,0.005,65720.469,0,0,0,0,0,138.819,43272.727,1.236,0.809,0.018,0,255
4,Experiment-1346-Stitching-455-Image Export-03_DAPI.tif_RGB,735019328,R,0.028,2.166,0,0,255,24007.338,20724.721,26785430,0,0,49200,43054.547,1.29E-05,63523.582,20449174,0.019,247435,23,115,139.609,42975.59,1.219,0.82,0.351,0,255
5,Experiment-1346-Stitching-455-Image Export-03_DAPI.tif_RGB,735019328,G,5.846,4.02,5,0,159,24007.338,20724.721,26785430,0,0,49200,43054.547,1.29E-05,63523.582,4297051136,99.996,51994320,23,115,139.609,42975.59,1.219,0.82,0.351,0,255
6,Experiment-1346-Stitching-455-Image Export-03_DAPI.tif_RGB,735019328,B,8.836,6.496,7,0,254,24007.338,20724.721,26785430,0,0,49200,43054.547,1.29E-05,63523.582,6494957056,99.997,78588984,23,115,139.609,42975.59,1.219,0.82,0.351,0,255
7,Experiment-1354-Stitching-463-Image Export-02_DAPI.tif_RGB,137332064,R,0.149,5.009,0,0,255,24666.572,20626.496,2167214,0,0,48490.91,41990.91,3.67E-04,60794.578,20447686,0.103,247417,349,4601,43.249,41801.609,1.164,0.859,0.073,0,255
8,Experiment-1354-Stitching-463-Image Export-02_DAPI.tif_RGB,137332064,G,11.473,5.364,10,0,159,24666.572,20626.496,2167214,0,0,48490.91,41990.91,3.67E-04,60794.578,1575643776,99.984,19065288,349,4601,43.249,41801.609,1.164,0.859,0.073,0,255
9,Experiment-1354-Stitching-463-Image Export-02_DAPI.tif_RGB,137332064,B,17.999,8.601,14,0,254,24666.572,20626.496,2167214,0,0,48490.91,41990.91,3.67E-04,60794.578,2471842048,99.986,29909290,349,4601,43.249,41801.609,1.164,0.859,0.073,0,255
10,Experiment-1352-Stitching-461-Image Export-01_DAPI.tif_RGB,140661408,R,0.145,4.949,0,0,255,25661.709,20476.807,1669442.25,0,0,48227.273,42363.637,6.34E-04,61419.523,20440000,0.1,247324,207,4660,42.427,42342.633,1.25,0.8,0.072,0,255
11,Experiment-1352-Stitching-461-Image Export-01_DAPI.tif_RGB,140661408,G,12.45,6.43,10,0,159,25661.709,20476.807,1669442.25,0,0,48227.273,42363.637,6.34E-04,61419.523,1751281792,99.98,21190508,207,4660,42.427,42342.633,1.25,0.8,0.072,0,255
12,Experiment-1352-Stitching-461-Image Export-01_DAPI.tif_RGB,140661408,B,19.568,10.297,14,0,254,25661.709,20476.807,1669442.25,0,0,48227.273,42363.637,6.34E-04,61419.523,2752441856,99.983,33304546,207,4660,42.427,42342.633,1.25,0.8,0.072,0,255
13,Experiment-1343-Stitching-453-Image Export-04_DAPI.tif_RGB,99935208,R,0.205,5.871,0,0,255,28321.438,18651.621,1633164.75,0,0,49345.453,43236.363,4.71E-04,61696.457,20447934,0.142,247420,346,4738,42.856,43097.344,1.636,0.611,0.049,0,255
14,Experiment-1343-Stitching-453-Image Export-04_DAPI.tif_RGB,99935208,G,10.081,3.553,8,0,159,28321.438,18651.621,1633164.75,0,0,49345.453,43236.363,4.71E-04,61696.457,1007418752,99.975,12189767,346,4738,42.856,43097.344,1.636,0.611,0.049,0,255
15,Experiment-1343-Stitching-453-Image Export-04_DAPI.tif_RGB,99935208,B,15.801,5.687,11,0,254,28321.438,18651.621,1633164.75,0,0,49345.453,43236.363,4.71E-04,61696.457,1579076992,99.979,19106832,346,4738,42.856,43097.344,1.636,0.611,0.049,0,255
16,Experiment-1350-Stitching-459-Image Export-06_DAPI.tif_RGB,13502975,R,0,0,0,0,0,42010.199,16779.828,423600.875,0,0,49072.727,42981.816,9.46E-04,61703.121,0,0,0,327,4716,42.851,42882.711,1.379,0.725,0.007,0,255
17,Experiment-1350-Stitching-459-Image Export-06_DAPI.tif_RGB,13502975,G,14.646,17.65,9,9,159,42010.199,16779.828,423600.875,0,0,49072.727,42981.816,9.46E-04,61703.121,197765536,100,2392963,327,4716,42.851,42882.711,1.379,0.725,0.007,0,255
18,Experiment-1350-Stitching-459-Image Export-06_DAPI.tif_RGB,13502975,B,23.046,28.26,14,14,254,42010.199,16779.828,423600.875,0,0,49072.727,42981.816,9.46E-04,61703.121,311195616,100,3765467,327,4716,42.851,42882.711,1.379,0.725,0.007,0,255
19,Experiment-1348-Stitching-457-Image Export-05_DAPI[0;0].tif_RGB,135962480,R,0,0,0,0,0,14960.776,12035.07,14682594,0,0,24736.363,21636.363,7.93E-06,32863.656,0,0,0,0,0,138.825,21636.363,1.013,0.987,0.254,0,255
20,Experiment-1348-Stitching-457-Image Export-05_DAPI[0;0].tif_RGB,135962480,G,2.804,0.733,3,0,3,14960.776,12035.07,14682594,0,0,24736.363,21636.363,7.93E-06,32863.656,381205696,93.678,4612589,0,0,138.825,21636.363,1.013,0.987,0.254,0,255
