 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,Experiment-1332-Stitching-535-Image Export-03_nilRe.tif_RGB,230766608,R,4.092,7.036,2,2,255,25224.553,21867.299,22887752,0,0,49472.727,43409.09,5.54E-06,56133.801,944340736,100,11426523,90,865,144.951,43347.652,1.058,0.945,0.121,0,255
2,Experiment-1332-Stitching-535-Image Export-03_nilRe.tif_RGB,230766608,G,0,0,0,0,0,25224.553,21867.299,22887752,0,0,49472.727,43409.09,5.54E-06,56133.801,0,0,0,90,865,144.951,43347.652,1.058,0.945,0.121,0,255
3,Experiment-1332-Stitching-535-Image Export-03_nilRe.tif_RGB,230766608,B,0,0,0,0,0,25224.553,21867.299,22887752,0,0,49472.727,43409.09,5.54E-06,56133.801,0,0,0,90,865,144.951,43347.652,1.058,0.945,0.121,0,255
4,Experiment-1330-Stitching-533-Image Export-01_nilRe.tif_RGB,155661824,R,4.095,7.131,2,2,255,21969.658,21620.824,15697444,0,0,46800,42863.637,7.94E-06,53767.707,637463360,100,7713307,334,932,144.483,42735.371,1.09,0.917,0.093,0,255
5,Experiment-1330-Stitching-533-Image Export-01_nilRe.tif_RGB,155661824,G,0,0,0,0,0,21969.658,21620.824,15697444,0,0,46800,42863.637,7.94E-06,53767.707,0,0,0,334,932,144.483,42735.371,1.09,0.917,0.093,0,255
6,Experiment-1330-Stitching-533-Image Export-01_nilRe.tif_RGB,155661824,B,0,0,0,0,0,21969.658,21620.824,15697444,0,0,46800,42863.637,7.94E-06,53767.707,0,0,0,334,932,144.483,42735.371,1.09,0.917,0.093,0,255
7,Experiment-1332-Stitching-535-Image Export-03_nilRe[0;0].tif_RGB,7474463,R,5.067,6.615,2,2,91,11801.976,8054.374,623889.875,0,0,16018.182,13500,2.41E-04,20006.25,37875784,100,458297,18,1485,38.302,13470.257,2.368,0.422,0.044,0,255
8,Experiment-1332-Stitching-535-Image Export-03_nilRe[0;0].tif_RGB,7474463,G,0,0,0,0,0,11801.976,8054.374,623889.875,0,0,16018.182,13500,2.41E-04,20006.25,0,0,0,18,1485,38.302,13470.257,2.368,0.422,0.044,0,255
9,Experiment-1332-Stitching-535-Image Export-03_nilRe[0;0].tif_RGB,7474463,B,0,0,0,0,0,11801.976,8054.374,623889.875,0,0,16018.182,13500,2.41E-04,20006.25,0,0,0,18,1485,38.302,13470.257,2.368,0.422,0.044,0,255
10,Experiment-1332-Stitching-535-Image Export-03_nilRe[1;0].tif_RGB,29590826,R,4.774,7.34,2,2,161,9806.928,8707.518,2103046,0,0,16609.092,14372.728,8.41E-05,20746.801,141271728,100,1709388,17,189,142.477,14372.728,1.136,0.88,0.13,0,255
11,Experiment-1332-Stitching-535-Image Export-03_nilRe[1;0].tif_RGB,29590826,G,0,0,0,0,0,9806.928,8707.518,2103046,0,0,16609.092,14372.728,8.41E-05,20746.801,0,0,0,17,189,142.477,14372.728,1.136,0.88,0.13,0,255
12,Experiment-1332-Stitching-535-Image Export-03_nilRe[1;0].tif_RGB,29590826,B,0,0,0,0,0,9806.928,8707.518,2103046,0,0,16609.092,14372.728,8.41E-05,20746.801,0,0,0,17,189,142.477,14372.728,1.136,0.88,0.13,0,255
13,Experiment-1332-Stitching-535-Image Export-03_nilRe[2;0].tif_RGB,8006198.5,R,4.646,6.58,2,2,115,4030.295,9399.205,607038.625,0,0,16427.273,12690.909,2.73E-04,18716.348,37197192,100,450086,100,222,146.009,12690.909,2.781,0.36,0.052,0,255
14,Experiment-1332-Stitching-535-Image Export-03_nilRe[2;0].tif_RGB,8006198.5,G,0,0,0,0,0,4030.295,9399.205,607038.625,0,0,16427.273,12690.909,2.73E-04,18716.348,0,0,0,100,222,146.009,12690.909,2.781,0.36,0.052,0,255
15,Experiment-1332-Stitching-535-Image Export-03_nilRe[2;0].tif_RGB,8006198.5,B,0,0,0,0,0,4030.295,9399.205,607038.625,0,0,16427.273,12690.909,2.73E-04,18716.348,0,0,0,100,222,146.009,12690.909,2.781,0.36,0.052,0,255
