 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,Experiment-1332-Stitching-535-Image Export-03_RhodB.tif_RGB,167025120,R,4.095,8.377,1,1,255,25381.5,21031.168,11404452,0,0,49800,43627.273,1.61E-05,65655.672,684040832,100,8276894,6,40,139.138,43417.129,1.045,0.957,0.078,0,255
2,Experiment-1332-Stitching-535-Image Export-03_RhodB.tif_RGB,167025120,G,3.324,5.482,1,0,172,25381.5,21031.168,11404452,0,0,49800,43627.273,1.61E-05,65655.672,555125568,99.914,6717019,6,40,139.138,43417.129,1.045,0.957,0.078,0,255
3,Experiment-1332-Stitching-535-Image Export-03_RhodB.tif_RGB,167025120,B,0,0,0,0,0,25381.5,21031.168,11404452,0,0,49800,43627.273,1.61E-05,65655.672,0,0,0,6,40,139.138,43417.129,1.045,0.957,0.078,0,255
4,Experiment-1330-Stitching-533-Image Export-01_RhodB.tif_RGB,114108512,R,3.948,8.047,1,1,255,22396.32,22631.27,7479151,0,0,49718.184,43500,2.56E-05,65484.855,450473952,100,5450735,31,29,139.019,43330.762,1.135,0.881,0.053,0,255
5,Experiment-1330-Stitching-533-Image Export-01_RhodB.tif_RGB,114108512,G,3.161,4.625,1,0,115,22396.32,22631.27,7479151,0,0,49718.184,43500,2.56E-05,65484.855,360716032,99.874,4364664,31,29,139.019,43330.762,1.135,0.881,0.053,0,255
6,Experiment-1330-Stitching-533-Image Export-01_RhodB.tif_RGB,114108512,B,0,0,0,0,0,22396.32,22631.27,7479151,0,0,49718.184,43500,2.56E-05,65484.855,0,0,0,31,29,139.019,43330.762,1.135,0.881,0.053,0,255
7,Experiment-1332-Stitching-535-Image Export-03_RhodB[0;0].tif_RGB,7137520.5,R,4.592,6.927,1,1,81,11995.969,8459.43,599121.062,0,0,16600,14290.909,2.50E-04,21652.648,32778596,100,396621,6,13,139.495,14290.909,1.899,0.527,0.03,0,255
8,Experiment-1332-Stitching-535-Image Export-03_RhodB[0;0].tif_RGB,7137520.5,G,3.791,5.346,1,1,63,11995.969,8459.43,599121.062,0,0,16600,14290.909,2.50E-04,21652.648,27061074,100,327439,6,13,139.495,14290.909,1.899,0.527,0.03,0,255
9,Experiment-1332-Stitching-535-Image Export-03_RhodB[0;0].tif_RGB,7137520.5,B,0,0,0,0,0,11995.969,8459.43,599121.062,0,0,16600,14290.909,2.50E-04,21652.648,0,0,0,6,13,139.495,14290.909,1.899,0.527,0.03,0,255
10,Experiment-1332-Stitching-535-Image Export-03_RhodB[1;0].tif_RGB,28164710,R,4.233,8.105,1,1,195,9954.548,8503.491,1707232.125,0,0,16609.092,14454.546,1.21E-04,21847.146,119222648,100,1442594,5,1590,41.424,14454.546,1.104,0.906,0.118,0,255
11,Experiment-1332-Stitching-535-Image Export-03_RhodB[1;0].tif_RGB,28164710,G,3.52,6.244,1,1,150,9954.548,8503.491,1707232.125,0,0,16609.092,14454.546,1.21E-04,21847.146,99133056,100,1199510,5,1590,41.424,14454.546,1.104,0.906,0.118,0,255
12,Experiment-1332-Stitching-535-Image Export-03_RhodB[1;0].tif_RGB,28164710,B,0,0,0,0,0,9954.548,8503.491,1707232.125,0,0,16609.092,14454.546,1.21E-04,21847.146,0,0,0,5,1590,41.424,14454.546,1.104,0.906,0.118,0,255
13,Experiment-1332-Stitching-535-Image Export-03_RhodB[2;0].tif_RGB,8144545.5,R,3.688,6.425,1,1,116,4249.515,10815.592,674006,0,0,16427.273,14536.363,2.25E-04,21810.008,30038512,100,363466,2,1596,41.638,14536.363,1.683,0.594,0.034,0,255
14,Experiment-1332-Stitching-535-Image Export-03_RhodB[2;0].tif_RGB,8144545.5,G,3.1,4.956,1,1,90,4249.515,10815.592,674006,0,0,16427.273,14536.363,2.25E-04,21810.008,25248760,100,305510,2,1596,41.638,14536.363,1.683,0.594,0.034,0,255
15,Experiment-1332-Stitching-535-Image Export-03_RhodB[2;0].tif_RGB,8144545.5,B,0,0,0,0,0,4249.515,10815.592,674006,0,0,16427.273,14536.363,2.25E-04,21810.008,0,0,0,2,1596,41.638,14536.363,1.683,0.594,0.034,0,255
16,Experiment-1332-Stitching-535-Image Export-03_RhodB[0;1].tif_RGB,20397108,R,3.792,6.25,1,1,139,10747.646,5331.604,1443260,0,0,16527.273,14545.454,1.23E-04,21856.066,77337272,100,935781,11,1598,41.594,14545.454,1.187,0.843,0.085,0,255
17,Experiment-1332-Stitching-535-Image Export-03_RhodB[0;1].tif_RGB,20397108,G,3.179,4.821,1,1,107,10747.646,5331.604,1443260,0,0,16527.273,14545.454,1.23E-04,21856.066,64843472,100,784606,11,1598,41.594,14545.454,1.187,0.843,0.085,0,255
18,Experiment-1332-Stitching-535-Image Export-03_RhodB[0;1].tif_RGB,20397108,B,0,0,0,0,0,10747.646,5331.604,1443260,0,0,16527.273,14545.454,1.23E-04,21856.066,0,0,0,11,1598,41.594,14545.454,1.187,0.843,0.085,0,255
19,Experiment-1332-Stitching-535-Image Export-03_RhodB[1;1].tif_RGB,42032560,R,3.921,6.646,1,1,109,9180.191,7365.891,2540855.5,0,0,16609.092,14545.454,8.18E-05,21956.66,164805296,100,1994144,2,1585,40.92,14545.454,1.297,0.771,0.174,0,255
20,Experiment-1332-Stitching-535-Image Export-03_RhodB[1;1].tif_RGB,42032560,G,3.29,5.13,1,1,84,9180.191,7365.891,2540855.5,0,0,16609.092,14545.454,8.18E-05,21956.66,138303808,100,1673476,2,1585,40.92,14545.454,1.297,0.771,0.174,0,255
21,Experiment-1332-Stitching-535-Image Export-03_RhodB[1;1].tif_RGB,42032560,B,0,0,0,0,0,9180.191,7365.891,2540855.5,0,0,16609.092,14545.454,8.18E-05,21956.66,0,0,0,2,1585,40.92,14545.454,1.297,0.771,0.174,0,255
22,Experiment-1332-Stitching-535-Image Export-03_RhodB[2;1].tif_RGB,23667356,R,4.142,7.828,1,1,151,4083.631,6626.744,1626887.625,0,0,16481.818,14545.454,1.12E-04,21840.117,98041736,100,1186305,0,3,138.814,14545.454,1.313,0.762,0.099,0,255
23,Experiment-1332-Stitching-535-Image Export-03_RhodB[2;1].tif_RGB,23667356,G,3.468,6.042,1,1,116,4083.631,6626.744,1626887.625,0,0,16481.818,14545.454,1.12E-04,21840.117,82076696,100,993128,0,3,138.814,14545.454,1.313,0.762,0.099,0,255
24,Experiment-1332-Stitching-535-Image Export-03_RhodB[2;1].tif_RGB,23667356,B,0,0,0,0,0,4083.631,6626.744,1626887.625,0,0,16481.818,14545.454,1.12E-04,21840.117,0,0,0,0,3,138.814,14545.454,1.313,0.762,0.099,0,255
25,Experiment-1332-Stitching-535-Image Export-03_RhodB[0;2].tif_RGB,8973554,R,3.346,5.55,1,1,124,10486.885,6149.114,737011,0,0,16409.092,14545.454,2.08E-04,21807.621,30022480,100,363272,0,4,138.803,14545.454,1.574,0.635,0.038,0,255
26,Experiment-1332-Stitching-535-Image Export-03_RhodB[0;2].tif_RGB,8973554,G,2.831,4.28,1,1,96,10486.885,6149.114,737011,0,0,16409.092,14545.454,2.08E-04,21807.621,25400000,100,307340,0,4,138.803,14545.454,1.574,0.635,0.038,0,255
27,Experiment-1332-Stitching-535-Image Export-03_RhodB[0;2].tif_RGB,8973554,B,0,0,0,0,0,10486.885,6149.114,737011,0,0,16409.092,14545.454,2.08E-04,21807.621,0,0,0,0,4,138.803,14545.454,1.574,0.635,0.038,0,255
28,Experiment-1332-Stitching-535-Image Export-03_RhodB[1;2].tif_RGB,21095620,R,3.997,7.636,1,1,223,8947.658,5838.156,1474861.5,0,0,16609.092,14436.363,1.22E-04,21881.197,84321984,100,1020296,0,1584,41.092,14436.363,1.543,0.648,0.088,0,255
29,Experiment-1332-Stitching-535-Image Export-03_RhodB[1;2].tif_RGB,21095620,G,3.332,5.883,1,1,172,8947.658,5838.156,1474861.5,0,0,16609.092,14436.363,1.22E-04,21881.197,70300912,100,850641,0,1584,41.092,14436.363,1.543,0.648,0.088,0,255
