 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,PA_6_RhodB.tif_RGB,72667272,R,168.779,42.489,254,84,254,13856.477,16856.115,173929.875,0,0,26027.273,32154.545,0.03,35015.805,12264700928,100,148402880,434,143,128.867,25951.488,1.244,0.804,0.105,0,255
2,PA_6_RhodB.tif_RGB,72667272,G,130.146,32.703,196,65,196,13856.477,16856.115,173929.875,0,0,26027.273,32154.545,0.03,35015.805,9457372160,100,114434200,434,143,128.867,25951.488,1.244,0.804,0.105,0,255
3,PA_6_RhodB.tif_RGB,72667272,B,0,0,0,0,0,13856.477,16856.115,173929.875,0,0,26027.273,32154.545,0.03,35015.805,0,0,0,434,143,128.867,25951.488,1.244,0.804,0.105,0,255
4,PA_5_RhodB.tif_RGB,74938432,R,136.15,29.706,149,81,254,16832.178,16004.176,249837.344,0,0,34154.547,31890.908,0.015,35018.809,10202838016,100,123454336,2,2447,20.42,28379.027,1.121,0.892,0.103,0,255
5,PA_5_RhodB.tif_RGB,74938432,G,105.038,22.854,116,63,196,16832.178,16004.176,249837.344,0,0,34154.547,31890.908,0.015,35018.809,7871392256,100,95243848,2,2447,20.42,28379.027,1.121,0.892,0.103,0,255
6,PA_5_RhodB.tif_RGB,74938432,B,0,0,0,0,0,16832.178,16004.176,249837.344,0,0,34154.547,31890.908,0.015,35018.809,0,0,0,2,2447,20.42,28379.027,1.121,0.892,0.103,0,255
7,PA_1_RhodB.tif_RGB,68723056,R,130.304,26.255,133,81,254,19365.43,13289.577,205043.281,0,0,35081.816,31581.818,0.021,41529.598,8954871808,100,108353952,280,3474,38.503,29594.004,1.188,0.842,0.075,0,255
8,PA_1_RhodB.tif_RGB,68723056,G,100.541,20.199,103,63,196,19365.43,13289.577,205043.281,0,0,35081.816,31581.818,0.021,41529.598,6909463040,100,83604504,280,3474,38.503,29594.004,1.188,0.842,0.075,0,255
9,PA_1_RhodB.tif_RGB,68723056,B,0,0,0,0,0,19365.43,13289.577,205043.281,0,0,35081.816,31581.818,0.021,41529.598,0,0,0,280,3474,38.503,29594.004,1.188,0.842,0.075,0,255
10,PA_4_RhodB.tif_RGB,76605368,R,101.398,26.841,104,47,227,17513.963,14491.097,173265.469,0,0,34863.637,31372.727,0.032,35363.016,7767627776,100,93988296,448,455,140.905,30458.484,1.178,0.849,0.097,0,255
11,PA_4_RhodB.tif_RGB,76605368,G,78.306,20.652,80,36,175,17513.963,14491.097,173265.469,0,0,34863.637,31372.727,0.032,35363.016,5998629888,100,72583416,448,455,140.905,30458.484,1.178,0.849,0.097,0,255
12,PA_4_RhodB.tif_RGB,76605368,B,0,0,0,0,0,17513.963,14491.097,173265.469,0,0,34863.637,31372.727,0.032,35363.016,0,0,0,448,455,140.905,30458.484,1.178,0.849,0.097,0,255
13,PA_3_RhodB.tif_RGB,69113056,R,130.401,26.371,112,86,231,16533.268,15339.854,253305.094,0,0,36581.816,32336.363,0.014,36628.871,9012404224,100,109050088,1,1701,3.173,30600.049,1.191,0.84,0.085,0,255
14,PA_3_RhodB.tif_RGB,69113056,G,100.614,20.292,86,66,178,16533.268,15339.854,253305.094,0,0,36581.816,32336.363,0.014,36628.871,6953774080,100,84140672,1,1701,3.173,30600.049,1.191,0.84,0.085,0,255
15,PA_3_RhodB.tif_RGB,69113056,B,0,0,0,0,0,16533.268,15339.854,253305.094,0,0,36581.816,32336.363,0.014,36628.871,0,0,0,1,1701,3.173,30600.049,1.191,0.84,0.085,0,255
16,PA_2_RhodB.tif_RGB,69391568,R,165.691,43.811,254,84,254,18416.848,15935.335,178109.844,0,0,32681.818,33427.273,0.027,33642.879,11497534464,100,139120176,1365,3316,63.643,31258.307,1.05,0.952,0.097,0,255
17,PA_2_RhodB.tif_RGB,69391568,G,127.776,33.729,196,65,196,18416.848,15935.335,178109.844,0,0,32681.818,33427.273,0.027,33642.879,8866560000,100,107285376,1365,3316,63.643,31258.307,1.05,0.952,0.097,0,255
18,PA_2_RhodB.tif_RGB,69391568,B,0,0,0,0,0,18416.848,15935.335,178109.844,0,0,32681.818,33427.273,0.027,33642.879,0,0,0,1365,3316,63.643,31258.307,1.05,0.952,0.097,0,255
19,PA_6_RhodB[0;0].tif_RGB,14995868,R,178.591,50.287,254,52,254,2253.154,6466.544,24194.15,0,0,4345.455,12454.546,0.322,12560.666,2678122752,100,32405286,159,0,98.91,3761.615,5.224,0.191,0.349,0,255
20,PA_6_RhodB[0;0].tif_RGB,14995868,G,137.695,38.699,196,40,196,2253.154,6466.544,24194.15,0,0,4345.455,12454.546,0.322,12560.666,2064862208,100,24984832,159,0,98.91,3761.615,5.224,0.191,0.349,0,255
21,PA_6_RhodB[0;0].tif_RGB,14995868,B,0,0,0,0,0,2253.154,6466.544,24194.15,0,0,4345.455,12454.546,0.322,12560.666,0,0,0,159,0,98.91,3761.615,5.224,0.191,0.349,0,255
22,PA_6_RhodB[1;0].tif_RGB,24384710,R,174.526,48.214,254,37,254,7819.491,8610.058,37633.867,0,0,16072.728,18472.727,0.216,20168.451,4255778048,100,51494916,615,75,118.101,15414.211,1.239,0.807,0.125,0,255
23,PA_6_RhodB[1;0].tif_RGB,24384710,G,134.58,37.123,196,29,196,7819.491,8610.058,37633.867,0,0,16072.728,18472.727,0.216,20168.451,3281695744,100,39708520,615,75,118.101,15414.211,1.239,0.807,0.125,0,255
24,PA_6_RhodB[1;0].tif_RGB,24384710,B,0,0,0,0,0,7819.491,8610.058,37633.867,0,0,16072.728,18472.727,0.216,20168.451,0,0,0,615,75,118.101,15414.211,1.239,0.807,0.125,0,255
25,PA_6_RhodB[0;1].tif_RGB,8452397,R,116.788,24.738,125,35,252,1918.196,1202.308,1509.519,0,0,3845.455,2400,1,463.418,987141760,100,11944415,4,253,30.328,261.557,1.564,0.64,0.974,0,255
26,PA_6_RhodB[0;1].tif_RGB,8452397,G,90.145,19.032,96,27,194,1918.196,1202.308,13722.899,0,0,3845.455,2400,0.564,4212.889,761938176,100,9219452,4,253,30.328,2377.793,1.564,0.64,0.974,0,255
27,PA_6_RhodB[0;1].tif_RGB,8452397,B,0,0,0,0,0,1918.196,1202.308,13722.899,0,0,3845.455,2400,0.564,4212.889,0,0,0,4,253,30.328,2377.793,1.564,0.64,0.974,0,255
28,PA_6_RhodB[1;1].tif_RGB,31558842,R,150.61,48.974,189,30,254,7520.529,6852.028,55805.305,0,0,14718.182,13754.546,0.127,17984.568,4753070592,100,57512152,201,1505,49.531,11143.77,1.468,0.681,0.206,0,255
29,PA_6_RhodB[1;1].tif_RGB,31558842,G,116.159,37.674,146,23,196,7520.529,6852.028,55805.305,0,0,14718.182,13754.546,0.127,17984.568,3665835520,100,44356608,201,1505,49.531,11143.77,1.468,0.681,0.206,0,255
30,PA_6_RhodB[1;1].tif_RGB,31558842,B,0,0,0,0,0,7520.529,6852.028,55805.305,0,0,14718.182,13754.546,0.127,17984.568,0,0,0,201,1505,49.531,11143.77,1.468,0.681,0.206,0,255
31,PA_5_RhodB[0;0].tif_RGB,11134215,R,140.568,31.234,157,66,231,3370.475,6948.75,25516.605,0,0,8136.364,11227.272,0.215,13492.823,1565112832,100,18937866,0,1184,52.914,3486.164,6.482,0.154,0.299,0,255
32,PA_5_RhodB[0;0].tif_RGB,11134215,G,108.437,24.03,120,51,178,3370.475,6948.75,25516.605,0,0,8136.364,11227.272,0.215,13492.823,1207364992,100,14609117,0,1184,52.914,3486.164,6.482,0.154,0.299,0,255
33,PA_5_RhodB[0;0].tif_RGB,11134215,B,0,0,0,0,0,3370.475,6948.75,25516.605,0,0,8136.364,11227.272,0.215,13492.823,0,0,0,0,1184,52.914,3486.164,6.482,0.154,0.299,0,255
34,PA_5_RhodB[1;0].tif_RGB,36798596,R,119.948,42.019,149,28,254,9172.268,10235.509,61195.008,0,0,20227.273,16809.092,0.123,22507.104,4413925888,100,53408504,0,16,153.569,14805.007,1.253,0.798,0.169,0,255
35,PA_5_RhodB[1;0].tif_RGB,36798596,G,92.575,32.323,116,22,196,9172.268,10235.509,61195.008,0,0,20227.273,16809.092,0.123,22507.104,3406643456,100,41220384,0,16,153.569,14805.007,1.253,0.798,0.169,0,255
