 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,Experiment-1308-Stitching-519-Image Export-521_FITC.tif_RGB,153941984,R,0.131,4.727,0,0,255,17935.926,21040.941,174283.578,0,0,42663.637,39118.184,0.064,50667.422,20241818,0.088,244926,750,292,135.029,37839.105,1.08,0.926,0.12,0,255
2,Experiment-1308-Stitching-519-Image Export-521_FITC.tif_RGB,153941984,G,176.966,53.119,254,0,254,17935.926,21040.941,174283.578,0,0,42663.637,39118.184,0.064,50667.422,27242502144,99.953,329634272,750,292,135.029,37839.105,1.08,0.926,0.12,0,255
3,Experiment-1308-Stitching-519-Image Export-521_FITC.tif_RGB,153941984,B,27.285,8.251,39,0,39,17935.926,21040.941,174283.578,0,0,42663.637,39118.184,0.064,50667.422,4200372736,99.912,50824508,750,292,135.029,37839.105,1.08,0.926,0.12,0,255
4,Experiment-1306-Stitching-517-Image Export-523_FITC.tif_RGB,146650656,R,0.105,4.511,0,0,255,17192.633,15420.685,341128.594,0,0,41118.184,33036.363,0.016,46205.566,15414380,0.057,186514,31,1256,152.104,32374.193,1.146,0.872,0.141,0,255
5,Experiment-1306-Stitching-517-Image Export-523_FITC.tif_RGB,146650656,G,142.354,35.825,109,0,254,17192.633,15420.685,341128.594,0,0,41118.184,33036.363,0.016,46205.566,20876273664,99.95,252602912,31,1256,152.104,32374.193,1.146,0.872,0.141,0,255
6,Experiment-1306-Stitching-517-Image Export-523_FITC.tif_RGB,146650656,B,21.915,5.589,17,0,39,17192.633,15420.685,341128.594,0,0,41118.184,33036.363,0.016,46205.566,3213844992,99.943,38887524,31,1256,152.104,32374.193,1.146,0.872,0.141,0,255
7,Experiment-1304-Stitching-515-Image Export-524_FITC.tif_RGB,152611568,R,0.132,4.746,0,0,255,18271.912,16727.115,166943.969,0,0,42881.816,38218.184,0.069,50943.949,20193554,0.088,244342,25,1054,146.854,35778.094,1.101,0.909,0.125,0,255
8,Experiment-1304-Stitching-515-Image Export-524_FITC.tif_RGB,152611568,G,168.827,37.975,254,0,254,18271.912,16727.115,166943.969,0,0,42881.816,38218.184,0.069,50943.949,25765021696,99.941,311756768,25,1054,146.854,35778.094,1.101,0.909,0.125,0,255
9,Experiment-1304-Stitching-515-Image Export-524_FITC.tif_RGB,152611568,B,26.036,5.904,25,0,39,18271.912,16727.115,166943.969,0,0,42881.816,38218.184,0.069,50943.949,3973467904,99.912,48078964,25,1054,146.854,35778.094,1.101,0.909,0.125,0,255
10,Experiment-1301-Stitching-513-Image Export-525_FITC.tif_RGB,152242720,R,0.134,4.757,0,0,255,15845.918,17336.369,168805.828,0,0,40981.816,37172.727,0.067,46954.312,20379338,0.091,246590,188,963,146.762,31723.564,1.066,0.938,0.145,0,255
11,Experiment-1301-Stitching-513-Image Export-525_FITC.tif_RGB,152242720,G,146.204,40.107,254,0,254,15845.918,17336.369,168805.828,0,0,40981.816,37172.727,0.067,46954.312,22258421760,99.949,269326912,188,963,146.762,31723.564,1.066,0.938,0.145,0,255
12,Experiment-1301-Stitching-513-Image Export-525_FITC.tif_RGB,152242720,B,22.51,6.249,20,0,39,15845.918,17336.369,168805.828,0,0,40981.816,37172.727,0.067,46954.312,3427031040,99.909,41467076,188,963,146.762,31723.564,1.066,0.938,0.145,0,255
13,Experiment-1299-Stitching-511-Image Export-527_FITC.tif_RGB,154041568,R,0.132,4.728,0,0,255,16670.822,17986.018,164847.984,0,0,41045.453,38000,0.071,47981.254,20323058,0.089,245909,1133,48,129.85,30462.211,1.113,0.898,0.146,0,255
14,Experiment-1299-Stitching-511-Image Export-527_FITC.tif_RGB,154041568,G,158.246,36.006,254,0,254,16670.822,17986.018,164847.984,0,0,41045.453,38000,0.071,47981.254,24376489984,99.943,294955520,1133,48,129.85,30462.211,1.113,0.898,0.146,0,255
