 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,Experiment-1308-Stitching-519-Image Export-521_nilRe[1;1].tif_RGB,39428844,R,73.759,16.666,61,53,255,8087.945,5467.073,152548.188,0,0,22400,18745.455,0.021,28260.492,2908222720,100,35189496,65,85,140.508,18617.369,1.155,0.866,0.12,0,255
2,Experiment-1308-Stitching-519-Image Export-521_nilRe[1;1].tif_RGB,39428844,G,0,0,0,0,0,8087.945,5467.073,152548.188,0,0,22400,18745.455,0.021,28260.492,0,0,0,65,85,140.508,18617.369,1.155,0.866,0.12,0,255
3,Experiment-1308-Stitching-519-Image Export-521_nilRe[1;1].tif_RGB,39428844,B,0,0,0,0,0,8087.945,5467.073,152548.188,0,0,22400,18745.455,0.021,28260.492,0,0,0,65,85,140.508,18617.369,1.155,0.866,0.12,0,255
4,Experiment-1297-Stitching-509-Image Export-529_nilRe[0;0].tif_RGB,32622148,R,54.016,12.226,51,17,170,7731.965,5812.005,30658.287,0,0,15236.363,11800,0.436,17631.695,1762118016,100,21321628,51,1221,35.345,4870.343,5.697,0.176,0.423,0,255
5,Experiment-1297-Stitching-509-Image Export-529_nilRe[0;0].tif_RGB,32622148,G,0,0,0,0,0,7731.965,5812.005,30658.287,0,0,15236.363,11800,0.436,17631.695,0,0,0,51,1221,35.345,4870.343,5.697,0.176,0.423,0,255
6,Experiment-1297-Stitching-509-Image Export-529_nilRe[0;0].tif_RGB,32622148,B,0,0,0,0,0,7731.965,5812.005,30658.287,0,0,15236.363,11800,0.436,17631.695,0,0,0,51,1221,35.345,4870.343,5.697,0.176,0.423,0,255
7,Experiment-1297-Stitching-509-Image Export-529_nilRe[0;1].tif_RGB,43042976,R,55.964,13.25,49,41,185,10081.628,6321.925,149979.016,0,0,16454.545,16745.455,0.024,19633.881,2408877824,100,29147420,214,132,129.853,15072.995,1.479,0.676,0.222,0,255
8,Experiment-1297-Stitching-509-Image Export-529_nilRe[0;1].tif_RGB,43042976,G,0,0,0,0,0,10081.628,6321.925,149979.016,0,0,16454.545,16745.455,0.024,19633.881,0,0,0,214,132,129.853,15072.995,1.479,0.676,0.222,0,255
9,Experiment-1297-Stitching-509-Image Export-529_nilRe[0;1].tif_RGB,43042976,B,0,0,0,0,0,10081.628,6321.925,149979.016,0,0,16454.545,16745.455,0.024,19633.881,0,0,0,214,132,129.853,15072.995,1.479,0.676,0.222,0,255
10,Experiment-1297-Stitching-509-Image Export-529_nilRe[1;0].tif_RGB,27377024,R,75.178,14.305,63,59,192,6766.941,6157.095,172473.406,0,0,13109.091,11754.546,0.012,15612.736,2058139392,100,24903486,57,110,137.738,4552.618,5.161,0.194,0.434,0,255
11,Experiment-1297-Stitching-509-Image Export-529_nilRe[1;0].tif_RGB,27377024,G,0,0,0,0,0,6766.941,6157.095,172473.406,0,0,13109.091,11754.546,0.012,15612.736,0,0,0,57,110,137.738,4552.618,5.161,0.194,0.434,0,255
12,Experiment-1297-Stitching-509-Image Export-529_nilRe[1;0].tif_RGB,27377024,B,0,0,0,0,0,6766.941,6157.095,172473.406,0,0,13109.091,11754.546,0.012,15612.736,0,0,0,57,110,137.738,4552.618,5.161,0.194,0.434,0,255
