 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,Experiment-1308-Stitching-519-Image Export-521_RhodB.tif_RGB,141125952,R,29.381,11.405,18,13,255,18677.057,16826.035,246859.391,0,0,42654.547,35709.09,0.029,49661.695,4146379008,100,50171184,571,272,138.971,32163.572,1.192,0.839,0.133,0,255
2,Experiment-1308-Stitching-519-Image Export-521_RhodB.tif_RGB,141125952,G,22.779,8.239,16,0,66,18677.057,16826.035,246859.391,0,0,42654.547,35709.09,0.029,49661.695,3214747904,99.902,38898448,571,272,138.971,32163.572,1.192,0.839,0.133,0,255
3,Experiment-1308-Stitching-519-Image Export-521_RhodB.tif_RGB,141125952,B,0,0,0,0,0,18677.057,16826.035,246859.391,0,0,42654.547,35709.09,0.029,49661.695,0,0,0,571,272,138.971,32163.572,1.192,0.839,0.133,0,255
4,Experiment-1306-Stitching-517-Image Export-523_RhodB.tif_RGB,154431648,R,23.463,9.552,18,10,255,17238.59,15840.575,167752.953,0,0,41127.273,35036.363,0.069,46222.109,3623395584,100,43843088,31,1266,152.089,34234.941,1.125,0.889,0.141,0,255
5,Experiment-1306-Stitching-517-Image Export-523_RhodB.tif_RGB,154431648,G,18.262,6.662,16,0,68,17238.59,15840.575,167752.953,0,0,41127.273,35036.363,0.069,46222.109,2820239872,99.909,34124900,31,1266,152.089,34234.941,1.125,0.889,0.141,0,255
6,Experiment-1306-Stitching-517-Image Export-523_RhodB.tif_RGB,154431648,B,0,0,0,0,0,17238.59,15840.575,167752.953,0,0,41127.273,35036.363,0.069,46222.109,0,0,0,31,1266,152.089,34234.941,1.125,0.889,0.141,0,255
7,Experiment-1304-Stitching-515-Image Export-524_RhodB.tif_RGB,152634544,R,29.257,9.314,24,10,255,20470.023,16708.637,166468.344,0,0,45027.273,38200,0.069,50951.258,4465632256,100,54034148,262,1051,146.823,36977.801,1.101,0.908,0.119,0,255
8,Experiment-1304-Stitching-515-Image Export-524_RhodB.tif_RGB,152634544,G,22.723,6.525,20,0,70,20470.023,16708.637,166468.344,0,0,45027.273,38200,0.069,50951.258,3468374784,99.908,41967336,262,1051,146.823,36977.801,1.101,0.908,0.119,0,255
9,Experiment-1304-Stitching-515-Image Export-524_RhodB.tif_RGB,152634544,B,0,0,0,0,0,20470.023,16708.637,166468.344,0,0,45027.273,38200,0.069,50951.258,0,0,0,262,1051,146.823,36977.801,1.101,0.908,0.119,0,255
10,Experiment-1301-Stitching-513-Image Export-525_RhodB.tif_RGB,152445120,R,25.829,11.349,19,6,255,18867.887,19167.406,184331.109,0,0,43990.91,38963.637,0.056,48921.664,3937560832,100,47644488,161,1332,150.377,37965.953,1.069,0.936,0.122,0,255
11,Experiment-1301-Stitching-513-Image Export-525_RhodB.tif_RGB,152445120,G,20.072,8.186,16,0,89,18867.887,19167.406,184331.109,0,0,43990.91,38963.637,0.056,48921.664,3059839488,99.907,37024060,161,1332,150.377,37965.953,1.069,0.936,0.122,0,255
12,Experiment-1301-Stitching-513-Image Export-525_RhodB.tif_RGB,152445120,B,0,0,0,0,0,18867.887,19167.406,184331.109,0,0,43990.91,38963.637,0.056,48921.664,0,0,0,161,1332,150.377,37965.953,1.069,0.936,0.122,0,255
13,Experiment-1299-Stitching-511-Image Export-527_RhodB.tif_RGB,152175792,R,30.294,10.509,25,15,255,16640.824,18705.455,167974.547,0,0,41045.453,40590.91,0.068,51391.617,4610044416,100,55781536,708,0,132.333,30523.223,1.113,0.899,0.137,0,255
