 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,Experiment-1332-Stitching-535-Image Export-03_DAPI.tif_RGB,79824792,R,0.255,6.567,0,0,255,23570,19938.449,624935.312,0,0,46290.91,43209.09,0.003,58111.918,20381652,0.174,246618,136,0,136.724,43080.258,1.229,0.813,0.044,0,255
2,Experiment-1332-Stitching-535-Image Export-03_DAPI.tif_RGB,79824792,G,44.275,25.1,15,0,159,23570,19938.449,624935.312,0,0,46290.91,43209.09,0.003,58111.918,3534273280,99.964,42764708,136,0,136.724,43080.258,1.229,0.813,0.044,0,255
3,Experiment-1332-Stitching-535-Image Export-03_DAPI.tif_RGB,79824792,B,70.526,40.173,22,0,254,23570,19938.449,624935.312,0,0,46290.91,43209.09,0.003,58111.918,5629750272,99.97,68119976,136,0,136.724,43080.258,1.229,0.813,0.044,0,255
4,Experiment-1330-Stitching-533-Image Export-01_DAPI.tif_RGB,67205616,R,0.303,7.155,0,0,255,24991.816,22704.133,590275.75,0,0,49127.273,43381.816,0.002,57592.406,20366776,0.205,246438,437,145,137.463,42803.652,1.339,0.747,0.036,0,255
5,Experiment-1330-Stitching-533-Image Export-01_DAPI.tif_RGB,67205616,G,47.294,26.713,16,0,159,24991.816,22704.133,590275.75,0,0,49127.273,43381.816,0.002,57592.406,3178430720,99.963,38459012,437,145,137.463,42803.652,1.339,0.747,0.036,0,255
6,Experiment-1330-Stitching-533-Image Export-01_DAPI.tif_RGB,67205616,B,75.379,42.727,25,0,254,24991.816,22704.133,590275.75,0,0,49127.273,43381.816,0.002,57592.406,5065896960,99.967,61297352,437,145,137.463,42803.652,1.339,0.747,0.036,0,255
7,Experiment-1332-Stitching-535-Image Export-03_DAPI[0;0].tif_RGB,822314.062,R,0,0,0,0,0,5618.526,6552.907,21077.918,0,0,8327.272,11718.182,0.023,14158.191,0,0,0,38,1289,55.728,5182.011,2.864,0.349,0.019,0,255
8,Experiment-1332-Stitching-535-Image Export-03_DAPI[0;0].tif_RGB,822314.062,G,66.286,4.63,61,61,83,5618.526,6552.907,21077.918,0,0,8327.272,11718.182,0.023,14158.191,54508100,100,659548,38,1289,55.728,5182.011,2.864,0.349,0.019,0,255
9,Experiment-1332-Stitching-535-Image Export-03_DAPI[0;0].tif_RGB,822314.062,B,105.761,7.369,98,97,132,5618.526,6552.907,21077.918,0,0,8327.272,11718.182,0.023,14158.191,86968760,100,1052322,38,1289,55.728,5182.011,2.864,0.349,0.019,0,255
10,Experiment-1332-Stitching-535-Image Export-03_DAPI[1;0].tif_RGB,11481322,R,0,0,0,0,0,9431.046,7417.669,79145.211,0,0,15872.728,13336.363,0.023,16505.658,0,0,0,452,154,133.683,13181.751,1.123,0.89,0.078,0,255
