 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,Experiment-1330-Stitching-533-Image Export-01_RhodB.tif_RGB,114108512,R,3.948,8.047,1,1,255,22396.32,22631.27,7479151,0,0,49718.184,43500,2.56E-05,65484.855,450473952,100,5450735,31,29,139.019,43330.762,1.135,0.881,0.053,0,255
2,Experiment-1330-Stitching-533-Image Export-01_RhodB.tif_RGB,114108512,G,3.161,4.625,1,0,115,22396.32,22631.27,7479151,0,0,49718.184,43500,2.56E-05,65484.855,360716032,99.874,4364664,31,29,139.019,43330.762,1.135,0.881,0.053,0,255
3,Experiment-1330-Stitching-533-Image Export-01_RhodB.tif_RGB,114108512,B,0,0,0,0,0,22396.32,22631.27,7479151,0,0,49718.184,43500,2.56E-05,65484.855,0,0,0,31,29,139.019,43330.762,1.135,0.881,0.053,0,255
4,Experiment-1332-Stitching-535-Image Export-03_RhodB.tif_RGB,167025120,R,4.095,8.377,1,1,255,25381.5,21031.168,11404452,0,0,49800,43627.273,1.61E-05,65655.672,684040832,100,8276894,6,40,139.138,43417.129,1.045,0.957,0.078,0,255
5,Experiment-1332-Stitching-535-Image Export-03_RhodB.tif_RGB,167025120,G,3.324,5.482,1,0,172,25381.5,21031.168,11404452,0,0,49800,43627.273,1.61E-05,65655.672,555125568,99.914,6717019,6,40,139.138,43417.129,1.045,0.957,0.078,0,255
6,Experiment-1332-Stitching-535-Image Export-03_RhodB.tif_RGB,167025120,B,0,0,0,0,0,25381.5,21031.168,11404452,0,0,49800,43627.273,1.61E-05,65655.672,0,0,0,6,40,139.138,43417.129,1.045,0.957,0.078,0,255
7,Experiment-1330-Stitching-533-Image Export-01_RhodB[0;0].tif_RGB,37265456,R,3.725,6.169,1,1,141,15978.323,14067.883,2317315.5,0,0,24863.637,21645.455,8.72E-05,32677.402,138810736,100,1679610,16,2369,40.995,21641.117,1.542,0.649,0.07,0,255
8,Experiment-1330-Stitching-533-Image Export-01_RhodB[0;0].tif_RGB,37265456,G,3.132,4.761,1,1,109,15978.323,14067.883,2317315.5,0,0,24863.637,21645.455,8.72E-05,32677.402,116708264,100,1412170,16,2369,40.995,21641.117,1.542,0.649,0.07,0,255
9,Experiment-1330-Stitching-533-Image Export-01_RhodB[0;0].tif_RGB,37265456,B,0,0,0,0,0,15978.323,14067.883,2317315.5,0,0,24863.637,21645.455,8.72E-05,32677.402,0,0,0,16,2369,40.995,21641.117,1.542,0.649,0.07,0,255
10,Experiment-1330-Stitching-533-Image Export-01_RhodB[1;0].tif_RGB,17081074,R,3.987,6.11,1,1,117,8129.191,14678.843,1178105.75,0,0,24763.637,21754.545,1.55E-04,32616.613,68106360,100,824087,18,2391,41.791,21754.545,1.34,0.746,0.032,0,255
