 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,Experiment-1245-Stitching-551-Image Export-05_DAPI.tif_RGB,76050168,R,0.269,6.652,0,0,255,22807.438,19132.629,379521.688,0,0,48809.09,42300,0.007,57732.234,20438348,0.183,247304,716,7,137.099,41832.57,1.265,0.791,0.044,0,255
2,Experiment-1245-Stitching-551-Image Export-05_DAPI.tif_RGB,76050168,G,39.972,21.002,13,0,159,22807.438,19132.629,379521.688,0,0,48809.09,42300,0.007,57732.234,3039845120,99.963,36782128,716,7,137.099,41832.57,1.265,0.791,0.044,0,255
3,Experiment-1245-Stitching-551-Image Export-05_DAPI.tif_RGB,76050168,B,63.646,33.611,20,0,254,22807.438,19132.629,379521.688,0,0,48809.09,42300,0.007,57732.234,4840280576,99.969,58567392,716,7,137.099,41832.57,1.265,0.791,0.044,0,255
4,Experiment-1243-Stitching-549-Image Export-04_DAPI.tif_RGB,112910664,R,0.181,5.462,0,0,255,19007.104,21091.26,527182.188,0,0,49300,43472.727,0.005,59819.863,20486198,0.125,247883,710,117,135.745,43098.285,1.227,0.815,0.056,0,255
5,Experiment-1243-Stitching-549-Image Export-04_DAPI.tif_RGB,112910664,G,35.38,17.481,11,0,119,19007.104,21091.26,527182.188,0,0,49300,43472.727,0.005,59819.863,3994783744,99.977,48336880,710,117,135.745,43098.285,1.227,0.815,0.056,0,255
6,Experiment-1243-Stitching-549-Image Export-04_DAPI.tif_RGB,112910664,B,56.319,27.948,16,0,190,19007.104,21091.26,527182.188,0,0,49300,43472.727,0.005,59819.863,6359047680,99.98,76944480,710,117,135.745,43098.285,1.227,0.815,0.056,0,255
7,Experiment-1240-Stitching-547-Image Export-06_DAPI.tif_RGB,80125208,R,0.256,6.482,0,0,255,23033.08,22665.256,440499.219,0,0,49536.363,42918.184,0.005,60140.301,20484876,0.176,247867,716,78,135.668,42874.828,1.202,0.832,0.04,0,255
8,Experiment-1240-Stitching-547-Image Export-06_DAPI.tif_RGB,80125208,G,34.788,16.986,11,0,159,23033.08,22665.256,440499.219,0,0,49536.363,42918.184,0.005,60140.301,2787426816,99.965,33727864,716,78,135.668,42874.828,1.202,0.832,0.04,0,255
9,Experiment-1240-Stitching-547-Image Export-06_DAPI.tif_RGB,80125208,B,55.383,27.144,16,0,254,23033.08,22665.256,440499.219,0,0,49536.363,42918.184,0.005,60140.301,4437572096,99.97,53694624,716,78,135.668,42874.828,1.202,0.832,0.04,0,255
10,Experiment-1238-Stitching-545-Image Export-03_DAPI.tif_RGB,70547104,R,0.29,6.906,0,0,255,23460.861,19382.17,408404.781,0,0,46918.184,39663.637,0.005,56374.711,20424958,0.196,247142,330,475,141.173,39021.102,1.364,0.733,0.044,0,255
11,Experiment-1238-Stitching-545-Image Export-03_DAPI.tif_RGB,70547104,G,53.273,32.575,15,0,156,23460.861,19382.17,408404.781,0,0,46918.184,39663.637,0.005,56374.711,3758260224,99.963,45474948,330,475,141.173,39021.102,1.364,0.733,0.044,0,255
12,Experiment-1238-Stitching-545-Image Export-03_DAPI.tif_RGB,70547104,B,84.924,52.132,23,0,250,23460.861,19382.17,408404.781,0,0,46918.184,39663.637,0.005,56374.711,5991123456,99.967,72492592,330,475,141.173,39021.102,1.364,0.733,0.044,0,255
13,Experiment-1236-Stitching-543-Image Export-02_DAPI.tif_RGB,59156860,R,0.344,7.538,0,0,255,21602.607,20120.752,218973.328,0,0,43545.453,38636.363,0.016,53683.852,20372728,0.231,246510,225,225,137.031,37926.441,1.076,0.929,0.04,0,255
14,Experiment-1236-Stitching-543-Image Export-02_DAPI.tif_RGB,59156860,G,62.208,23.942,18,0,159,21602.607,20120.752,218973.328,0,0,43545.453,38636.363,0.016,53683.852,3680024832,99.954,44528300,225,225,137.031,37926.441,1.076,0.929,0.04,0,255
15,Experiment-1236-Stitching-543-Image Export-02_DAPI.tif_RGB,59156860,B,99.229,38.309,27,0,254,21602.607,20120.752,218973.328,0,0,43545.453,38636.363,0.016,53683.852,5870096896,99.96,71028176,225,225,137.031,37926.441,1.076,0.929,0.04,0,255
16,Experiment-1232-Stitching-541-Image Export-01_DAPI.tif_RGB,84385784,R,0.242,6.315,0,0,255,24171.467,20804.1,354554.031,0,0,44790.91,40009.09,0.008,52100.082,20425042,0.164,247143,1,4012,35.512,39909.754,1.229,0.814,0.057,0,255
17,Experiment-1232-Stitching-541-Image Export-01_DAPI.tif_RGB,84385784,G,56.833,28.727,15,0,159,24171.467,20804.1,354554.031,0,0,44790.91,40009.09,0.008,52100.082,4795897856,99.969,58030364,1,4012,35.512,39909.754,1.229,0.814,0.057,0,255
18,Experiment-1232-Stitching-541-Image Export-01_DAPI.tif_RGB,84385784,B,90.624,45.974,23,0,254,24171.467,20804.1,354554.031,0,0,44790.91,40009.09,0.008,52100.082,7647347712,99.972,92532904,1,4012,35.512,39909.754,1.229,0.814,0.057,0,255
