 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,Experiment-1240-Stitching-547-Image Export-06_nilRe.tif_RGB,63220412,R,198.044,41.644,254,65,255,19378.561,24978.506,164013.328,0,0,38381.816,42918.184,0.03,49884.418,12520450048,100,151497456,0,914,140.301,35632.652,1.237,0.808,0.048,0,255
2,Experiment-1240-Stitching-547-Image Export-06_nilRe.tif_RGB,63220412,G,0,0,0,0,0,19378.561,24978.506,164013.328,0,0,38381.816,42918.184,0.03,49884.418,0,0,0,0,914,140.301,35632.652,1.237,0.808,0.048,0,255
3,Experiment-1240-Stitching-547-Image Export-06_nilRe.tif_RGB,63220412,B,0,0,0,0,0,19378.561,24978.506,164013.328,0,0,38381.816,42918.184,0.03,49884.418,0,0,0,0,914,140.301,35632.652,1.237,0.808,0.048,0,255
4,Experiment-1238-Stitching-545-Image Export-03_nilRe.tif_RGB,37361984,R,238.346,21.344,254,188,255,23219.141,17582.766,263315.969,0,0,42918.184,37518.184,0.007,51319.105,8905097216,100,107751672,327,532,141.112,32496.629,1.199,0.834,0.034,0,255
5,Experiment-1238-Stitching-545-Image Export-03_nilRe.tif_RGB,37361984,G,0,0,0,0,0,23219.141,17582.766,263315.969,0,0,42918.184,37518.184,0.007,51319.105,0,0,0,327,532,141.112,32496.629,1.199,0.834,0.034,0,255
6,Experiment-1238-Stitching-545-Image Export-03_nilRe.tif_RGB,37361984,B,0,0,0,0,0,23219.141,17582.766,263315.969,0,0,42918.184,37518.184,0.007,51319.105,0,0,0,327,532,141.112,32496.629,1.199,0.834,0.034,0,255
7,Experiment-1236-Stitching-543-Image Export-02_nilRe.tif_RGB,47169256,R,242.994,16.72,254,188,255,14731.562,16367.079,155442.391,0,0,35418.184,34954.547,0.025,43294.277,11461855232,100,138688448,534,472,134.906,28882.365,1.098,0.911,0.057,0,255
8,Experiment-1236-Stitching-543-Image Export-02_nilRe.tif_RGB,47169256,G,0,0,0,0,0,14731.562,16367.079,155442.391,0,0,35418.184,34954.547,0.025,43294.277,0,0,0,534,472,134.906,28882.365,1.098,0.911,0.057,0,255
9,Experiment-1236-Stitching-543-Image Export-02_nilRe.tif_RGB,47169256,B,0,0,0,0,0,14731.562,16367.079,155442.391,0,0,35418.184,34954.547,0.025,43294.277,0,0,0,534,472,134.906,28882.365,1.098,0.911,0.057,0,255
10,Experiment-1232-Stitching-541-Image Export-01_nilRe.tif_RGB,71564384,R,219.261,56.338,254,53,255,17638.059,20464.166,204186.547,0,0,36163.637,38981.816,0.022,48733.996,15691253760,100,189864160,0,689,137.828,36069.484,1.222,0.818,0.057,0,255
11,Experiment-1232-Stitching-541-Image Export-01_nilRe.tif_RGB,71564384,G,0,0,0,0,0,17638.059,20464.166,204186.547,0,0,36163.637,38981.816,0.022,48733.996,0,0,0,0,689,137.828,36069.484,1.222,0.818,0.057,0,255
12,Experiment-1232-Stitching-541-Image Export-01_nilRe.tif_RGB,71564384,B,0,0,0,0,0,17638.059,20464.166,204186.547,0,0,36163.637,38981.816,0.022,48733.996,0,0,0,0,689,137.828,36069.484,1.222,0.818,0.057,0,255
13,Experiment-1245-Stitching-551-Image Export-05_nilRe.tif_RGB,45015536,R,197.876,32.896,254,146,255,18352.676,17864.662,367611.562,0,0,39972.727,38300,0.004,44933.32,8907516928,100,107780952,1638,20,121.97,34904.332,1.235,0.81,0.04,0,255
