 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,Experiment-1209-Stitching-415-Image Export-416_FITC.tif_RGB,59578676,R,0,0,0,0,0,19735.039,15009.864,284391.281,0,0,39154.547,38927.273,0.009,45879.988,0,0,0,768,4272,55.576,34956.617,1.034,0.967,0.054,0,255
2,Experiment-1209-Stitching-415-Image Export-416_FITC.tif_RGB,59578676,G,237.757,25.182,254,163,254,19735.039,15009.864,284391.281,0,0,39154.547,38927.273,0.009,45879.988,14165276672,100,171399840,768,4272,55.576,34956.617,1.034,0.967,0.054,0,255
3,Experiment-1209-Stitching-415-Image Export-416_FITC.tif_RGB,59578676,B,36.606,3.806,39,25,39,19735.039,15009.864,284391.281,0,0,39154.547,38927.273,0.009,45879.988,2180940800,100,26389384,768,4272,55.576,34956.617,1.034,0.967,0.054,0,255
4,Experiment-1206-Stitching-413-Image Export-417_FITC.tif_RGB,62501820,R,0,0,0,0,0,22336.107,18151.664,175453.469,0,0,44536.363,38709.09,0.026,44548.848,0,0,0,0,1809,1.356,37025.734,1.121,0.892,0.052,0,255
5,Experiment-1206-Stitching-413-Image Export-417_FITC.tif_RGB,62501820,G,171.475,61.414,254,33,254,22336.107,18151.664,175453.469,0,0,44536.363,38709.09,0.026,44548.848,10717527040,100,129682072,0,1809,1.356,37025.734,1.121,0.892,0.052,0,255
6,Experiment-1206-Stitching-413-Image Export-417_FITC.tif_RGB,62501820,B,26.398,9.512,39,5,39,22336.107,18151.664,175453.469,0,0,44536.363,38709.09,0.026,44548.848,1649929984,100,19964152,0,1809,1.356,37025.734,1.121,0.892,0.052,0,255
7,Experiment-1203-Stitching-411-Image Export-419_FITC.tif_RGB,37729504,R,0,0,0,0,0,20932.455,17186.863,104627.539,0,0,37500,38863.637,0.043,46284.441,0,0,0,214,0,123.122,35272.41,1.18,0.847,0.032,0,255
8,Experiment-1203-Stitching-411-Image Export-419_FITC.tif_RGB,37729504,G,183.511,62.745,254,46,254,20932.455,17186.863,104627.539,0,0,37500,38863.637,0.043,46284.441,6923762176,100,83777520,214,0,123.122,35272.41,1.18,0.847,0.032,0,255
9,Experiment-1203-Stitching-411-Image Export-419_FITC.tif_RGB,37729504,B,28.254,9.708,39,7,39,20932.455,17186.863,104627.539,0,0,37500,38863.637,0.043,46284.441,1066021376,100,12898859,214,0,123.122,35272.41,1.18,0.847,0.032,0,255
10,Experiment-1201-Stitching-409-Image Export-423_FITC.tif_RGB,40049588,R,0,0,0,0,0,18083.93,13866.351,104645.656,0,0,32945.453,31018.182,0.046,37878.844,0,0,0,453,3321,41.41,30980.639,1.295,0.772,0.048,0,255
11,Experiment-1201-Stitching-409-Image Export-423_FITC.tif_RGB,40049588,G,189.531,54.805,254,59,254,18083.93,13866.351,104645.656,0,0,32945.453,31018.182,0.046,37878.844,7590631424,100,91846640,453,3321,41.41,30980.639,1.295,0.772,0.048,0,255
12,Experiment-1201-Stitching-409-Image Export-423_FITC.tif_RGB,40049588,B,29.197,8.463,39,9,39,18083.93,13866.351,104645.656,0,0,32945.453,31018.182,0.046,37878.844,1169340544,100,14149021,453,3321,41.41,30980.639,1.295,0.772,0.048,0,255
13,Experiment-1199-Stitching-407-Image Export-425_FITC.tif_RGB,33395950,R,0,0,0,0,0,14692.519,15850.119,104566.531,0,0,33818.184,33827.273,0.038,35495.699,0,0,0,1363,3721,72.363,30378.16,1.112,0.899,0.041,0,255
14,Experiment-1199-Stitching-407-Image Export-425_FITC.tif_RGB,33395950,G,151.171,67.834,254,46,254,14692.519,15850.119,104566.531,0,0,33818.184,33827.273,0.038,35495.699,5048505856,100,61086920,1363,3721,72.363,30378.16,1.112,0.899,0.041,0,255
15,Experiment-1199-Stitching-407-Image Export-425_FITC.tif_RGB,33395950,B,23.234,10.519,39,7,39,14692.519,15850.119,104566.531,0,0,33818.184,33827.273,0.038,35495.699,775926464,100,9388710,1363,3721,72.363,30378.16,1.112,0.899,0.041,0,255
16,Experiment-1197-Stitching-405-Image Export-427_FITC.tif_RGB,43545208,R,0,0,0,0,0,24151.969,13177.831,101196.773,0,0,40336.363,37654.547,0.053,43941.203,0,0,0,350,3063,32.71,35767.852,1.239,0.807,0.041,0,255
17,Experiment-1197-Stitching-405-Image Export-427_FITC.tif_RGB,43545208,G,202.366,56.079,254,31,254,24151.969,13177.831,101196.773,0,0,40336.363,37654.547,0.053,43941.203,8812060672,100,106625936,350,3063,32.71,35767.852,1.239,0.807,0.041,0,255
18,Experiment-1197-Stitching-405-Image Export-427_FITC.tif_RGB,43545208,B,31.166,8.648,39,5,39,24151.969,13177.831,101196.773,0,0,40336.363,37654.547,0.053,43941.203,1357132032,100,16421297,350,3063,32.71,35767.852,1.239,0.807,0.041,0,255
19,Experiment-1209-Stitching-415-Image Export-416_FITC[0;0].tif_RGB,5896446.5,R,0,0,0,0,0,2268.624,2817.367,18008.207,0,0,6263.636,4890.909,0.228,7038.483,0,0,0,15,413,29.479,4149.248,2.574,0.389,0.29,0,255
20,Experiment-1209-Stitching-415-Image Export-416_FITC[0;0].tif_RGB,5896446.5,G,217.83,47.247,254,54,254,2268.624,2817.367,18008.207,0,0,6263.636,4890.909,0.228,7038.483,1284422272,100,15541510,15,413,29.479,4149.248,2.574,0.389,0.29,0,255
21,Experiment-1209-Stitching-415-Image Export-416_FITC[0;0].tif_RGB,5896446.5,B,33.575,7.286,39,8,39,2268.624,2817.367,18008.207,0,0,6263.636,4890.909,0.228,7038.483,197973472,100,2395479,15,413,29.479,4149.248,2.574,0.389,0.29,0,255
