 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,Experiment-1209-Stitching-415-Image Export-416_nilRe.tif_RGB,70040080,R,76.828,36.381,56,14,254,19692.121,15740.831,215082.188,0,0,39263.637,39763.637,0.019,49147.949,5381022208,100,65110368,753,4342,53.431,37243.746,1.019,0.981,0.055,0,255
2,Experiment-1209-Stitching-415-Image Export-416_nilRe.tif_RGB,70040080,G,0,0,0,0,0,19692.121,15740.831,215082.188,0,0,39263.637,39763.637,0.019,49147.949,0,0,0,753,4342,53.431,37243.746,1.019,0.981,0.055,0,255
3,Experiment-1209-Stitching-415-Image Export-416_nilRe.tif_RGB,70040080,B,0,0,0,0,0,19692.121,15740.831,215082.188,0,0,39263.637,39763.637,0.019,49147.949,0,0,0,753,4342,53.431,37243.746,1.019,0.981,0.055,0,255
4,Experiment-1206-Stitching-413-Image Export-417_nilRe.tif_RGB,72478184,R,36.187,23.488,5,5,201,22353.299,20099.539,496249.469,0,0,44609.09,40709.09,0.004,44718.652,2622766080,100,31735470,151,3119,14.793,39688.188,1.112,0.899,0.053,0,255
5,Experiment-1206-Stitching-413-Image Export-417_nilRe.tif_RGB,72478184,G,0,0,0,0,0,22353.299,20099.539,496249.469,0,0,44609.09,40709.09,0.004,44718.652,0,0,0,151,3119,14.793,39688.188,1.112,0.899,0.053,0,255
6,Experiment-1206-Stitching-413-Image Export-417_nilRe.tif_RGB,72478184,B,0,0,0,0,0,22353.299,20099.539,496249.469,0,0,44609.09,40709.09,0.004,44718.652,0,0,0,151,3119,14.793,39688.188,1.112,0.899,0.053,0,255
7,Experiment-1203-Stitching-411-Image Export-419_nilRe.tif_RGB,40496364,R,42.462,24.339,8,8,229,24473.711,17341.828,156584.25,0,0,41618.184,39309.09,0.021,46316.105,1719551104,100,20806568,608,54,123.285,38261.945,1.201,0.832,0.032,0,255
8,Experiment-1203-Stitching-411-Image Export-419_nilRe.tif_RGB,40496364,G,0,0,0,0,0,24473.711,17341.828,156584.25,0,0,41618.184,39309.09,0.021,46316.105,0,0,0,608,54,123.285,38261.945,1.201,0.832,0.032,0,255
9,Experiment-1203-Stitching-411-Image Export-419_nilRe.tif_RGB,40496364,B,0,0,0,0,0,24473.711,17341.828,156584.25,0,0,41618.184,39309.09,0.021,46316.105,0,0,0,608,54,123.285,38261.945,1.201,0.832,0.032,0,255
10,Experiment-1201-Stitching-409-Image Export-423_nilRe.tif_RGB,43240660,R,41.753,21.051,8,8,195,18812.697,15909.576,155986.078,0,0,34036.363,40954.547,0.022,41766.633,1805447808,100,21845920,1613,4403,72.638,33857.781,1.307,0.765,0.04,0,255
11,Experiment-1201-Stitching-409-Image Export-423_nilRe.tif_RGB,43240660,G,0,0,0,0,0,18812.697,15909.576,155986.078,0,0,34036.363,40954.547,0.022,41766.633,0,0,0,1613,4403,72.638,33857.781,1.307,0.765,0.04,0,255
12,Experiment-1201-Stitching-409-Image Export-423_nilRe.tif_RGB,43240660,B,0,0,0,0,0,18812.697,15909.576,155986.078,0,0,34036.363,40954.547,0.022,41766.633,0,0,0,1613,4403,72.638,33857.781,1.307,0.765,0.04,0,255
