 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,Experiment-1194-Stitching-391-Image Export-392_DAPI.tif_RGB,149048672,R,0,0,0,0,0,28616.744,24428.148,443904.062,0,0,49200,42190.91,0.01,57894.496,0,0,0,477,4212,40.88,42094.918,1.066,0.938,0.081,0,255
2,Experiment-1194-Stitching-391-Image Export-392_DAPI.tif_RGB,149048672,G,25.422,9.617,25,8,159,28616.744,24428.148,443904.062,0,0,49200,42190.91,0.01,57894.496,3789136640,100,45848552,477,4212,40.88,42094.918,1.066,0.938,0.081,0,255
3,Experiment-1194-Stitching-391-Image Export-392_DAPI.tif_RGB,149048672,B,40.367,15.389,40,12,254,28616.744,24428.148,443904.062,0,0,49200,42190.91,0.01,57894.496,6016640000,100,72801344,477,4212,40.88,42094.918,1.066,0.938,0.081,0,255
4,Experiment-1192-Stitching-389-Image Export-395_DAPI.tif_RGB,137109920,R,0,0,0,0,0,23007.004,23093.406,591769.188,0,0,48545.453,41854.547,0.005,61134.031,0,0,0,309,4599,42.927,41854.254,1.117,0.895,0.071,0,255
5,Experiment-1192-Stitching-389-Image Export-395_DAPI.tif_RGB,137109920,G,27.424,8.444,28,8,82,23007.004,23093.406,591769.188,0,0,48545.453,41854.547,0.005,61134.031,3760146432,100,45497772,309,4599,42.927,41854.254,1.117,0.895,0.071,0,255
6,Experiment-1192-Stitching-389-Image Export-395_DAPI.tif_RGB,137109920,B,43.565,13.529,44,12,131,23007.004,23093.406,591769.188,0,0,48545.453,41854.547,0.005,61134.031,5973223424,100,72276000,309,4599,42.927,41854.254,1.117,0.895,0.071,0,255
7,Experiment-1190-Stitching-387-Image Export-397_DAPI.tif_RGB,146931072,R,0,0,0,0,0,21908.543,19831.125,220849.453,0,0,47890.91,42209.09,0.038,61075.961,0,0,0,324,4643,43.106,42180.996,1.12,0.893,0.079,0,255
8,Experiment-1190-Stitching-387-Image Export-397_DAPI.tif_RGB,146931072,G,31.258,8.969,30,9,159,21908.543,19831.125,220849.453,0,0,47890.91,42209.09,0.038,61075.961,4592829952,100,55573244,324,4643,43.106,42180.996,1.12,0.893,0.079,0,255
9,Experiment-1190-Stitching-387-Image Export-397_DAPI.tif_RGB,146931072,B,49.708,14.351,47,14,254,21908.543,19831.125,220849.453,0,0,47890.91,42209.09,0.038,61075.961,7303705088,100,88374832,324,4643,43.106,42180.996,1.12,0.893,0.079,0,255
10,Experiment-1187-Stitching-385-Image Export-398_DAPI.tif_RGB,145625040,R,0,0,0,0,0,22739.084,22082.709,220310.562,0,0,45590.91,41409.09,0.038,54274.285,0,0,0,444,64,136.785,41300.621,1.159,0.863,0.085,0,255
11,Experiment-1187-Stitching-385-Image Export-398_DAPI.tif_RGB,145625040,G,26.966,7.237,28,9,159,22739.084,22082.709,220310.562,0,0,45590.91,41409.09,0.038,54274.285,3926979840,100,47516456,444,64,136.785,41300.621,1.159,0.863,0.085,0,255
12,Experiment-1187-Stitching-385-Image Export-398_DAPI.tif_RGB,145625040,B,42.848,11.578,44,14,254,22739.084,22082.709,220310.562,0,0,45590.91,41409.09,0.038,54274.285,6239795200,100,75501520,444,64,136.785,41300.621,1.159,0.863,0.085,0,255
13,Experiment-1183-Stitching-383-Image Export-399_DAPI.tif_RGB,154757856,R,0,0,0,0,0,21956.98,21104.699,399863.656,0,0,46300,42281.816,0.012,60639.328,0,0,0,151,4651,42.46,42269.785,1.157,0.864,0.083,0,255
14,Experiment-1183-Stitching-383-Image Export-399_DAPI.tif_RGB,154757856,G,26.929,11.071,21,9,159,21956.98,21104.699,399863.656,0,0,46300,42281.816,0.012,60639.328,4167489024,100,50426616,151,4651,42.46,42269.785,1.157,0.864,0.083,0,255
15,Experiment-1183-Stitching-383-Image Export-399_DAPI.tif_RGB,154757856,B,42.78,17.716,35,14,254,21956.98,21104.699,399863.656,0,0,46300,42281.816,0.012,60639.328,6620471296,100,80107704,151,4651,42.46,42269.785,1.157,0.864,0.083,0,255
16,Experiment-1180-Stitching-381-Image Export-401_DAPI.tif_RGB,138622976,R,0,0,0,0,0,23083.764,19423.369,205749.312,0,0,43336.363,41709.09,0.041,57085.117,0,0,0,3,4344,41.417,38190.137,1.223,0.818,0.092,0,255
17,Experiment-1180-Stitching-381-Image Export-401_DAPI.tif_RGB,138622976,G,35.667,11.367,36,13,159,23083.764,19423.369,205749.312,0,0,43336.363,41709.09,0.041,57085.117,4944305152,100,59826096,3,4344,41.417,38190.137,1.223,0.818,0.092,0,255
18,Experiment-1180-Stitching-381-Image Export-401_DAPI.tif_RGB,138622976,B,56.769,18.183,57,20,254,23083.764,19423.369,205749.312,0,0,43336.363,41709.09,0.041,57085.117,7869514240,100,95221128,3,4344,41.417,38190.137,1.223,0.818,0.092,0,255
19,Experiment-1194-Stitching-391-Image Export-392_DAPI[0;0].tif_RGB,13035868,R,0,0,0,0,0,10293.504,12865.058,56523.27,0,0,18336.363,14918.182,0.051,18366.143,0,0,0,0,1165,3.263,13723.893,1.456,0.687,0.08,0,255
20,Experiment-1194-Stitching-391-Image Export-392_DAPI[0;0].tif_RGB,13035868,G,24.281,9.411,25,17,159,10293.504,12865.058,56523.27,0,0,18336.363,14918.182,0.051,18366.143,316520320,100,3829896,0,1165,3.263,13723.893,1.456,0.687,0.08,0,255
21,Experiment-1194-Stitching-391-Image Export-392_DAPI[0;0].tif_RGB,13035868,B,38.54,15.054,39,27,254,10293.504,12865.058,56523.27,0,0,18336.363,14918.182,0.051,18366.143,502399008,100,6079028,0,1165,3.263,13723.893,1.456,0.687,0.08,0,255
22,Experiment-1194-Stitching-391-Image Export-392_DAPI[1;0].tif_RGB,29446942,R,0,0,0,0,0,8438.96,9110.373,44708.277,0,0,22372.727,20427.273,0.185,25653.215,0,0,0,650,2247,52.777,20412.176,2.771,0.361,0.076,0,255
23,Experiment-1194-Stitching-391-Image Export-392_DAPI[1;0].tif_RGB,29446942,G,28.001,4.955,30,9,41,8438.96,9110.373,44708.277,0,0,22372.727,20427.273,0.185,25653.215,824530304,100,9976817,650,2247,52.777,20412.176,2.771,0.361,0.076,0,255
24,Experiment-1194-Stitching-391-Image Export-392_DAPI[1;0].tif_RGB,29446942,B,44.497,7.921,48,14,65,8438.96,9110.373,44708.277,0,0,22372.727,20427.273,0.185,25653.215,1310298496,100,15854612,650,2247,52.777,20412.176,2.771,0.361,0.076,0,255
25,Experiment-1194-Stitching-391-Image Export-392_DAPI[0;1].tif_RGB,48765124,R,0,0,0,0,0,17713.652,8813.742,238532.172,0,0,24390.908,19436.363,0.011,27805.998,0,0,0,4,116,147.443,19192.664,1.463,0.683,0.128,0,255
26,Experiment-1194-Stitching-391-Image Export-392_DAPI[0;1].tif_RGB,48765124,G,24.815,13.472,18,8,159,17713.652,8813.742,238532.172,0,0,24390.908,19436.363,0.011,27805.998,1210126976,100,14642536,4,116,147.443,19192.664,1.463,0.683,0.128,0,255
27,Experiment-1194-Stitching-391-Image Export-392_DAPI[0;1].tif_RGB,48765124,B,39.394,21.561,28,12,254,17713.652,8813.742,238532.172,0,0,24390.908,19436.363,0.011,27805.998,1921069568,100,23244942,4,116,147.443,19192.664,1.463,0.683,0.128,0,255
28,Experiment-1194-Stitching-391-Image Export-392_DAPI[1;1].tif_RGB,54548760,R,0,0,0,0,0,13788.398,8893.33,93879.094,0,0,24236.363,21327.273,0.078,28071.893,0,0,0,74,2068,40.758,20511.438,1.587,0.63,0.13,0,255
29,Experiment-1194-Stitching-391-Image Export-392_DAPI[1;1].tif_RGB,54548760,G,25.681,6.289,23,8,40,13788.398,8893.33,93879.094,0,0,24236.363,21327.273,0.078,28071.893,1400881280,100,16950664,74,2068,40.758,20511.438,1.587,0.63,0.13,0,255
30,Experiment-1194-Stitching-391-Image Export-392_DAPI[1;1].tif_RGB,54548760,B,40.783,10.056,36,12,64,13788.398,8893.33,93879.094,0,0,24236.363,21327.273,0.078,28071.893,2224673792,100,26918552,74,2068,40.758,20511.438,1.587,0.63,0.13,0,255
31,Experiment-1192-Stitching-389-Image Export-395_DAPI[0;0].tif_RGB,31381240,R,0,0,0,0,0,8144.831,11419.08,34071.117,0,0,15972.728,16663.637,0.34,17279.195,0,0,0,323,1820,73.243,14177.828,5.084,0.197,0.173,0,255
32,Experiment-1192-Stitching-389-Image Export-395_DAPI[0;0].tif_RGB,31381240,G,29.472,5.505,33,10,73,8144.831,11419.08,34071.117,0,0,15972.728,16663.637,0.34,17279.195,924867840,100,11190901,323,1820,73.243,14177.828,5.084,0.197,0.173,0,255
33,Experiment-1192-Stitching-389-Image Export-395_DAPI[0;0].tif_RGB,31381240,B,46.849,8.784,53,16,116,8144.831,11419.08,34071.117,0,0,15972.728,16663.637,0.34,17279.195,1470177792,100,17789152,323,1820,73.243,14177.828,5.084,0.197,0.173,0,255
34,Experiment-1192-Stitching-389-Image Export-395_DAPI[1;0].tif_RGB,26388678,R,0,0,0,0,0,7647.403,12754.451,158833.719,0,0,23509.092,20400,0.013,26686.58,0,0,0,684,8,130.385,20400,2.953,0.339,0.067,0,255
35,Experiment-1192-Stitching-389-Image Export-395_DAPI[1;0].tif_RGB,26388678,G,27.38,11.034,8,8,82,7647.403,12754.451,158833.719,0,0,23509.092,20400,0.013,26686.58,722531136,100,8742627,684,8,130.385,20400,2.953,0.339,0.067,0,255
36,Experiment-1192-Stitching-389-Image Export-395_DAPI[1;0].tif_RGB,26388678,B,43.496,17.685,12,12,131,7647.403,12754.451,158833.719,0,0,23509.092,20400,0.013,26686.58,1147798400,100,13888361,684,8,130.385,20400,2.953,0.339,0.067,0,255
37,Experiment-1192-Stitching-389-Image Export-395_DAPI[0;1].tif_RGB,39890084,R,0,0,0,0,0,14486.03,9839.269,179513.844,0,0,24000,20590.908,0.016,29514.67,0,0,0,309,2265,44.239,20238.471,1.404,0.712,0.09,0,255
38,Experiment-1192-Stitching-389-Image Export-395_DAPI[0;1].tif_RGB,39890084,G,28.944,8.856,28,8,51,14486.03,9839.269,179513.844,0,0,24000,20590.908,0.016,29514.67,1154597248,100,13970627,309,2265,44.239,20238.471,1.404,0.712,0.09,0,255
39,Experiment-1192-Stitching-389-Image Export-395_DAPI[0;1].tif_RGB,39890084,B,45.994,14.19,44,12,81,14486.03,9839.269,179513.844,0,0,24000,20590.908,0.016,29514.67,1834689408,100,22199742,309,2265,44.239,20238.471,1.404,0.712,0.09,0,255
40,Experiment-1192-Stitching-389-Image Export-395_DAPI[1;1].tif_RGB,36901900,R,0,0,0,0,0,7934.125,11861.641,61812.117,0,0,24554.545,21345.455,0.121,30427.746,0,0,0,302,2334,44.213,21345.455,1.518,0.659,0.078,0,255
41,Experiment-1192-Stitching-389-Image Export-395_DAPI[1;1].tif_RGB,36901900,G,25.429,5.589,28,9,55,7934.125,11861.641,61812.117,0,0,24554.545,21345.455,0.121,30427.746,938380224,100,11354401,302,2334,44.213,21345.455,1.518,0.659,0.078,0,255
42,Experiment-1192-Stitching-389-Image Export-395_DAPI[1;1].tif_RGB,36901900,B,40.388,8.927,44,14,88,7934.125,11861.641,61812.117,0,0,24554.545,21345.455,0.121,30427.746,1490378496,100,18033580,302,2334,44.213,21345.455,1.518,0.659,0.078,0,255
43,Experiment-1190-Stitching-387-Image Export-397_DAPI[0;0].tif_RGB,42564296,R,0,0,0,0,0,16538.781,12251.17,53444.031,0,0,24118.182,18890.908,0.187,29194.736,0,0,0,4,1948,35.942,18772.57,1.231,0.812,0.127,0,255
44,Experiment-1190-Stitching-387-Image Export-397_DAPI[0;0].tif_RGB,42564296,G,32.529,7.286,38,10,87,16538.781,12251.17,53444.031,0,0,24118.182,18890.908,0.187,29194.736,1384590848,100,16753549,4,1948,35.942,18772.57,1.231,0.812,0.127,0,255
45,Experiment-1190-Stitching-387-Image Export-397_DAPI[0;0].tif_RGB,42564296,B,51.747,11.647,62,16,139,16538.781,12251.17,53444.031,0,0,24118.182,18890.908,0.187,29194.736,2202559232,100,26650968,4,1948,35.942,18772.57,1.231,0.812,0.127,0,255
46,Experiment-1190-Stitching-387-Image Export-397_DAPI[1;0].tif_RGB,26848926,R,0,0,0,0,0,3702.237,5917.64,34493.555,0,0,21918.182,18254.545,0.284,27119.391,0,0,0,70,155,141.697,18218.943,3.115,0.321,0.076,0,255
47,Experiment-1190-Stitching-387-Image Export-397_DAPI[1;0].tif_RGB,26848926,G,26.122,5.162,30,9,79,3702.237,5917.64,34493.555,0,0,21918.182,18254.545,0.284,27119.391,701341248,100,8486229,70,155,141.697,18218.943,3.115,0.321,0.076,0,255
48,Experiment-1190-Stitching-387-Image Export-397_DAPI[1;0].tif_RGB,26848926,B,41.494,8.255,48,14,126,3702.237,5917.64,34493.555,0,0,21918.182,18254.545,0.284,27119.391,1114068480,100,13480229,70,155,141.697,18218.943,3.115,0.321,0.076,0,255
49,Experiment-1190-Stitching-387-Image Export-397_DAPI[0;1].tif_RGB,39038676,R,0,0,0,0,0,12049.652,8413.42,79164.312,0,0,24154.545,21281.818,0.078,28290.91,0,0,0,313,2341,41.131,21165.916,2.397,0.417,0.089,0,255
50,Experiment-1190-Stitching-387-Image Export-397_DAPI[0;1].tif_RGB,39038676,G,33.939,9.147,30,9,83,12049.652,8413.42,79164.312,0,0,24154.545,21281.818,0.078,28290.91,1324933504,100,16031695,313,2341,41.131,21165.916,2.397,0.417,0.089,0,255
51,Experiment-1190-Stitching-387-Image Export-397_DAPI[0;1].tif_RGB,39038676,B,53.993,14.646,47,14,133,12049.652,8413.42,79164.312,0,0,24154.545,21281.818,0.078,28290.91,2107824512,100,25504676,313,2341,41.131,21165.916,2.397,0.417,0.089,0,255
52,Experiment-1190-Stitching-387-Image Export-397_DAPI[1;1].tif_RGB,37752316,R,0,0,0,0,0,8262.293,5792.759,59257.148,0,0,23600,19890.908,0.135,26528.121,0,0,0,0,146,145.852,16913.639,1.138,0.879,0.124,0,255
53,Experiment-1190-Stitching-387-Image Export-397_DAPI[1;1].tif_RGB,37752316,G,31.126,10.515,28,10,159,8262.293,5792.759,59257.148,0,0,23600,19890.908,0.135,26528.121,1175090304,100,14218593,0,146,145.852,16913.639,1.138,0.879,0.124,0,255
54,Experiment-1190-Stitching-387-Image Export-397_DAPI[1;1].tif_RGB,37752316,B,49.5,16.813,46,16,254,8262.293,5792.759,59257.148,0,0,23600,19890.908,0.135,26528.121,1868744320,100,22611806,0,146,145.852,16913.639,1.138,0.879,0.124,0,255
55,Experiment-1187-Stitching-385-Image Export-398_DAPI[0;0].tif_RGB,30019256,R,0,0,0,0,0,11251.228,10727.865,42218.344,0,0,17918.182,18981.818,0.212,25865.707,0,0,0,5,2085,47.122,17914.889,5.302,0.189,0.095,0,255
