 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,Experiment-1194-Stitching-391-Image Export-392_RhodB.tif_RGB,123911488,R,98.026,21.754,84,69,254,20111.545,20305.264,488326.25,0,0,38345.453,37381.816,0.007,39817.238,12146501632,100,146972672,1027,3955,51.275,36211.117,1.134,0.882,0.114,0,255
2,Experiment-1194-Stitching-391-Image Export-392_RhodB.tif_RGB,123911488,G,75.706,16.745,66,53,196,20111.545,20305.264,488326.25,0,0,38345.453,37381.816,0.007,39817.238,9380847616,100,113508256,1027,3955,51.275,36211.117,1.134,0.882,0.114,0,255
3,Experiment-1194-Stitching-391-Image Export-392_RhodB.tif_RGB,123911488,B,0,0,0,0,0,20111.545,20305.264,488326.25,0,0,38345.453,37381.816,0.007,39817.238,0,0,0,1027,3955,51.275,36211.117,1.134,0.882,0.114,0,255
4,Experiment-1183-Stitching-383-Image Export-399_RhodB.tif_RGB,143898432,R,104.91,22.633,112,44,251,19969.945,16896.336,145545.5,0,0,39418.184,33454.547,0.085,39761.336,15096332288,100,182665616,3,1388,171.983,32918.031,1.106,0.904,0.143,0,255
5,Experiment-1183-Stitching-383-Image Export-399_RhodB.tif_RGB,143898432,G,81.008,17.412,86,34,193,19969.945,16896.336,145545.5,0,0,39418.184,33454.547,0.085,39761.336,11656950784,100,141049104,3,1388,171.983,32918.031,1.106,0.904,0.143,0,255
6,Experiment-1183-Stitching-383-Image Export-399_RhodB.tif_RGB,143898432,B,0,0,0,0,0,19969.945,16896.336,145545.5,0,0,39418.184,33454.547,0.085,39761.336,0,0,0,3,1388,171.983,32918.031,1.106,0.904,0.143,0,255
7,Experiment-1180-Stitching-381-Image Export-401_RhodB.tif_RGB,137778928,R,38.984,13.768,31,10,254,19257.5,16469.338,145168.766,0,0,41445.453,37909.09,0.082,42005.074,5371161600,100,64991056,38,1441,168.085,37178.816,1.234,0.811,0.12,0,255
8,Experiment-1180-Stitching-381-Image Export-401_RhodB.tif_RGB,137778928,G,30.298,10.591,23,8,196,19257.5,16469.338,145168.766,0,0,41445.453,37909.09,0.082,42005.074,4174364928,100,50509816,38,1441,168.085,37178.816,1.234,0.811,0.12,0,255
9,Experiment-1180-Stitching-381-Image Export-401_RhodB.tif_RGB,137778928,B,0,0,0,0,0,19257.5,16469.338,145168.766,0,0,41445.453,37909.09,0.082,42005.074,0,0,0,38,1441,168.085,37178.816,1.234,0.811,0.12,0,255
10,Experiment-1192-Stitching-389-Image Export-395_RhodB.tif_RGB,116676776,R,107.385,22.474,100,64,254,16406.562,16654.42,218854.688,0,0,32436.363,34909.09,0.031,35850.289,12529334272,100,151604944,1279,26,104.84,31590.314,1.158,0.863,0.133,0,255
11,Experiment-1192-Stitching-389-Image Export-395_RhodB.tif_RGB,116676776,G,82.912,17.289,76,50,196,16406.562,16654.42,218854.688,0,0,32436.363,34909.09,0.031,35850.289,9673940992,100,117054688,1279,26,104.84,31590.314,1.158,0.863,0.133,0,255
