 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,Experiment-1266-Stitching-575-Image Export-02_FITC.tif_RGB,40565952,R,0.501,9.202,0,0,255,16716.6,13707.2,127792.508,0,0,37890.91,29509.092,0.031,42518.348,20323058,0.337,245909,328,576,145.189,29123.434,1.033,0.968,0.049,0,255
2,Experiment-1266-Stitching-575-Image Export-02_FITC.tif_RGB,40565952,G,172.621,64.916,254,0,254,16716.6,13707.2,127792.508,0,0,37890.91,29509.092,0.031,42518.348,7002554880,99.795,84730912,328,576,145.189,29123.434,1.033,0.968,0.049,0,255
3,Experiment-1266-Stitching-575-Image Export-02_FITC.tif_RGB,40565952,B,26.565,10.04,39,0,39,16716.6,13707.2,127792.508,0,0,37890.91,29509.092,0.031,42518.348,1077629952,99.663,13039323,328,576,145.189,29123.434,1.033,0.968,0.049,0,255
4,Experiment-1264-Stitching-573-Image Export-01_FITC.tif_RGB,59442728,R,0.344,7.609,0,0,255,18970.576,21290.59,180576.734,0,0,41200,39963.637,0.023,49534.645,20438678,0.237,247308,271,954,140.825,36035.727,1.028,0.973,0.046,0,255
5,Experiment-1264-Stitching-573-Image Export-01_FITC.tif_RGB,59442728,G,103.892,62.088,254,0,254,18970.576,21290.59,180576.734,0,0,41200,39963.637,0.023,49534.645,6175621632,99.849,74725024,271,954,140.825,36035.727,1.028,0.973,0.046,0,255
6,Experiment-1264-Stitching-573-Image Export-01_FITC.tif_RGB,59442728,B,15.892,9.673,10,0,39,18970.576,21290.59,180576.734,0,0,41200,39963.637,0.023,49534.645,944693248,99.763,11430788,271,954,140.825,36035.727,1.028,0.973,0.046,0,255
7,Experiment-1275-Stitching-583-Image Export-06_FITC.tif_RGB,70104384,R,0,0,0,0,0,21209.363,21830.615,252700.172,0,0,44418.184,39118.184,0.014,44418.293,0,0,0,0,1878,179.871,39041.551,1.283,0.78,0.055,0,255
8,Experiment-1275-Stitching-583-Image Export-06_FITC.tif_RGB,70104384,G,120.863,68.386,254,28,254,21209.363,21830.615,252700.172,0,0,44418.184,39118.184,0.014,44418.293,8472997888,100,102523272,0,1878,179.871,39041.551,1.283,0.78,0.055,0,255
9,Experiment-1275-Stitching-583-Image Export-06_FITC.tif_RGB,70104384,B,18.531,10.643,5,4,39,21209.363,21830.615,252700.172,0,0,44418.184,39118.184,0.014,44418.293,1299100672,100,15719118,0,1878,179.871,39041.551,1.283,0.78,0.055,0,255
10,Experiment-1272-Stitching-580-Image Export-05_FITC.tif_RGB,40248180,R,0,0,0,0,0,15673.633,19416.889,161812.969,0,0,33300,38063.637,0.019,41783.707,0,0,0,19,3739,53.235,32329.207,1.191,0.839,0.038,0,255
11,Experiment-1272-Stitching-580-Image Export-05_FITC.tif_RGB,40248180,G,160.475,57.806,254,64,254,15673.633,19416.889,161812.969,0,0,33300,38063.637,0.019,41783.707,6458845184,100,78152024,19,3739,53.235,32329.207,1.191,0.839,0.038,0,255
12,Experiment-1272-Stitching-580-Image Export-05_FITC.tif_RGB,40248180,B,24.695,8.952,39,10,39,15673.633,19416.889,161812.969,0,0,33300,38063.637,0.019,41783.707,993925568,100,12026499,19,3739,53.235,32329.207,1.191,0.839,0.038,0,255
13,Experiment-1271-Stitching-579-Image Export-04_FITC.tif_RGB,29374462,R,0.503,9.92,0,0,255,23746.445,13983.934,298484.281,0,0,46418.184,32509.092,0.004,47885.602,14775868,0.267,178788,0,2282,165.779,26557.211,1.479,0.676,0.03,0,255
14,Experiment-1271-Stitching-579-Image Export-04_FITC.tif_RGB,29374462,G,207.66,41.593,254,0,254,23746.445,13983.934,298484.281,0,0,46418.184,32509.092,0.004,47885.602,6099886592,99.793,73808624,0,2282,165.779,26557.211,1.479,0.676,0.03,0,255
15,Experiment-1271-Stitching-579-Image Export-04_FITC.tif_RGB,29374462,B,32.011,6.387,39,0,39,23746.445,13983.934,298484.281,0,0,46418.184,32509.092,0.004,47885.602,940318848,99.733,11377858,0,2282,165.779,26557.211,1.479,0.676,0.03,0,255
16,Experiment-1268-Stitching-577-Image Export-03_FITC.tif_RGB,46795536,R,0.33,7.984,0,0,255,18962.74,15729.627,257395.328,0,0,42445.453,33163.637,0.009,44957.965,15439174,0.178,186814,7,1948,160.51,33084.617,1.069,0.935,0.043,0,255
17,Experiment-1268-Stitching-577-Image Export-03_FITC.tif_RGB,46795536,G,164.396,54.01,254,0,254,18962.74,15729.627,257395.328,0,0,42445.453,33163.637,0.009,44957.965,7693017600,99.837,93085512,7,1948,160.51,33084.617,1.069,0.935,0.043,0,255
18,Experiment-1268-Stitching-577-Image Export-03_FITC.tif_RGB,46795536,B,25.314,8.366,39,0,39,18962.74,15729.627,257395.328,0,0,42445.453,33163.637,0.009,44957.965,1184574592,99.822,14333352,7,1948,160.51,33084.617,1.069,0.935,0.043,0,255
19,Experiment-1266-Stitching-575-Image Export-02_FITC[0;0].tif_RGB,11264050,R,0,0,0,0,0,6362.313,5616.202,30067.867,0,0,12254.546,9454.546,0.157,13741.669,0,0,0,66,884,35.278,7330.721,1.976,0.506,0.163,0,255
20,Experiment-1266-Stitching-575-Image Export-02_FITC[0;0].tif_RGB,11264050,G,198.787,59.782,254,38,254,6362.313,5616.202,30067.867,0,0,12254.546,9454.546,0.157,13741.669,2239146240,100,27093668,66,884,35.278,7330.721,1.976,0.506,0.163,0,255
21,Experiment-1266-Stitching-575-Image Export-02_FITC[0;0].tif_RGB,11264050,B,30.599,9.22,39,6,39,6362.313,5616.202,30067.867,0,0,12254.546,9454.546,0.157,13741.669,344666432,100,4170464,66,884,35.278,7330.721,1.976,0.506,0.163,0,255
22,Experiment-1266-Stitching-575-Image Export-02_FITC[1;0].tif_RGB,6590330.5,R,0,0,0,0,0,6326.366,3571.214,24750.58,0,0,12718.182,9963.637,0.135,14762.125,0,0,0,199,2,137.646,9356.352,3.678,0.272,0.082,0,255
23,Experiment-1266-Stitching-575-Image Export-02_FITC[1;0].tif_RGB,6590330.5,G,140.351,66.834,254,18,254,6326.366,3571.214,24750.58,0,0,12718.182,9963.637,0.135,14762.125,924959168,100,11192006,199,2,137.646,9356.352,3.678,0.272,0.082,0,255
24,Experiment-1266-Stitching-575-Image Export-02_FITC[1;0].tif_RGB,6590330.5,B,21.557,10.379,39,2,39,6326.366,3571.214,24750.58,0,0,12718.182,9963.637,0.135,14762.125,142069344,100,1719039,199,2,137.646,9356.352,3.678,0.272,0.082,0,255
25,Experiment-1266-Stitching-575-Image Export-02_FITC[0;1].tif_RGB,8855785,R,0,0,0,0,0,7979.064,7018.896,31657.504,0,0,15718.182,13390.909,0.111,15859.051,0,0,0,0,201,172.358,12723.052,1.147,0.872,0.071,0,255
26,Experiment-1266-Stitching-575-Image Export-02_FITC[0;1].tif_RGB,8855785,G,169.162,67.962,254,28,254,7979.064,7018.896,31657.504,0,0,15718.182,13390.909,0.111,15859.051,1498058240,100,18126504,0,201,172.358,12723.052,1.147,0.872,0.071,0,255
27,Experiment-1266-Stitching-575-Image Export-02_FITC[0;1].tif_RGB,8855785,B,26.026,10.529,39,4,39,7979.064,7018.896,31657.504,0,0,15718.182,13390.909,0.111,15859.051,230479664,100,2788804,0,201,172.358,12723.052,1.147,0.872,0.071,0,255
28,Experiment-1266-Stitching-575-Image Export-02_FITC[1;1].tif_RGB,14187851,R,1.431,15.516,0,0,255,8995.805,7600.571,53522.137,0,0,22181.818,18527.273,0.062,24696.361,20301570,0.959,245649,607,33,132.434,17565.295,1.439,0.695,0.048,0,255
29,Experiment-1266-Stitching-575-Image Export-02_FITC[1;1].tif_RGB,14187851,G,165.614,60.917,254,0,254,8995.805,7600.571,53522.137,0,0,22181.818,18527.273,0.062,24696.361,2349703680,99.417,28431416,607,33,132.434,17565.295,1.439,0.695,0.048,0,255
30,Experiment-1266-Stitching-575-Image Export-02_FITC[1;1].tif_RGB,14187851,B,25.493,9.431,39,0,39,8995.805,7600.571,53522.137,0,0,22181.818,18527.273,0.062,24696.361,361684224,99.041,4376379,607,33,132.434,17565.295,1.439,0.695,0.048,0,255
31,Experiment-1264-Stitching-573-Image Export-01_FITC[0;0].tif_RGB,12996198,R,0,0,0,0,0,10506.889,11124.011,45989.484,0,0,17990.908,19381.818,0.077,23172.129,0,0,0,10,2047,51.579,17293.459,1.535,0.651,0.049,0,255
32,Experiment-1264-Stitching-573-Image Export-01_FITC[0;0].tif_RGB,12996198,G,89.737,50.299,64,15,254,10506.889,11124.011,45989.484,0,0,17990.908,19381.818,0.077,23172.129,1166236672,100,14111464,10,2047,51.579,17293.459,1.535,0.651,0.049,0,255
33,Experiment-1264-Stitching-573-Image Export-01_FITC[0;0].tif_RGB,12996198,B,13.683,7.857,10,2,39,10506.889,11124.011,45989.484,0,0,17990.908,19381.818,0.077,23172.129,177831568,100,2151762,10,2047,51.579,17293.459,1.535,0.651,0.049,0,255
34,Experiment-1264-Stitching-573-Image Export-01_FITC[1;0].tif_RGB,13945785,R,0,0,0,0,0,6650.597,11396.106,40665.543,0,0,18336.363,21400,0.106,25738.104,0,0,0,116,0,123.752,14031.756,1.848,0.541,0.058,0,255
