 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,Experiment-1271-Stitching-579-Image Export-04_nilRe.tif_RGB,437926688,R,6.111,12.669,2,2,255,26100.471,22559.059,42517320,0,0,49036.363,43136.363,3.04E-06,55303.543,2676107520,100,32380900,532,451,139.3,43086.547,1.37,0.73,0.232,0,255
2,Experiment-1271-Stitching-579-Image Export-04_nilRe.tif_RGB,437926688,G,0,0,0,0,0,26100.471,22559.059,42517320,0,0,49036.363,43136.363,3.04E-06,55303.543,0,0,0,532,451,139.3,43086.547,1.37,0.73,0.232,0,255
3,Experiment-1271-Stitching-579-Image Export-04_nilRe.tif_RGB,437926688,B,0,0,0,0,0,26100.471,22559.059,42517320,0,0,49036.363,43136.363,3.04E-06,55303.543,0,0,0,532,451,139.3,43086.547,1.37,0.73,0.232,0,255
4,Experiment-1268-Stitching-577-Image Export-03_nilRe.tif_RGB,444110016,R,6.21,11.59,2,2,255,24633.48,23400.639,39995772,0,0,48463.637,42845.453,3.49E-06,52927.555,2757840128,100,33369868,411,976,144.486,42812.406,1.125,0.889,0.245,0,255
5,Experiment-1268-Stitching-577-Image Export-03_nilRe.tif_RGB,444110016,G,0,0,0,0,0,24633.48,23400.639,39995772,0,0,48463.637,42845.453,3.49E-06,52927.555,0,0,0,411,976,144.486,42812.406,1.125,0.889,0.245,0,255
6,Experiment-1268-Stitching-577-Image Export-03_nilRe.tif_RGB,444110016,B,0,0,0,0,0,24633.48,23400.639,39995772,0,0,48463.637,42845.453,3.49E-06,52927.555,0,0,0,411,976,144.486,42812.406,1.125,0.889,0.245,0,255
7,Experiment-1275-Stitching-583-Image Export-585_RhodB_ORG.tif_RGB,201059760,R,3.413,3.136,2,2,181,20955.078,21897.629,23346564,0,0,49518.184,43072.727,4.64E-06,65116.18,686207936,100,8303116,26,19,139.161,43001.281,1.175,0.851,0.095,0,255
8,Experiment-1264-Stitching-573-Image Export-01_nilRe.tif_RGB,254549008,G,7.558,12.664,2,2,255,25511.383,23209.141,15719970,0,0,49190.91,43227.273,1.29E-05,53092.121,1923883008,100,23278984,408,1003,144.154,43191.121,1.098,0.911,0.143,0,255
9,Experiment-1264-Stitching-573-Image Export-01_nilRe.tif_RGB,254549008,B,0,0,0,0,0,25511.383,23209.141,15719970,0,0,49190.91,43227.273,1.29E-05,53092.121,0,0,0,408,1003,144.154,43191.121,1.098,0.911,0.143,0,255
10,Experiment-1264-Stitching-573-Image Export-01_nilRe.tif_RGB,254549008,R,0,0,0,0,0,25511.383,23209.141,15719970,0,0,49190.91,43227.273,1.29E-05,53092.121,0,0,0,408,1003,144.154,43191.121,1.098,0.911,0.143,0,255
11,Experiment-1275-Stitching-583-Image Export-06_nilRe.tif_RGB,805366016,G,4.329,8.425,2,2,184,20573.998,22232.025,42690960,0,0,46763.637,43000,5.55E-06,51253.246,3486792448,100,42190192,341,508,143.86,42992.855,1.114,0.898,0.456,0,255
12,Experiment-1275-Stitching-583-Image Export-06_nilRe.tif_RGB,805366016,B,0,0,0,0,0,20573.998,22232.025,42690960,0,0,46763.637,43000,5.55E-06,51253.246,0,0,0,341,508,143.86,42992.855,1.114,0.898,0.456,0,255
13,Experiment-1275-Stitching-583-Image Export-06_nilRe.tif_RGB,805366016,R,0,0,0,0,0,20573.998,22232.025,42690960,0,0,46763.637,43000,5.55E-06,51253.246,0,0,0,341,508,143.86,42992.855,1.114,0.898,0.456,0,255
14,Experiment-1272-Stitching-580-Image Export-05_nilRe.tif_RGB,590426304,G,4.606,9.412,2,2,228,22100.549,24553.023,51424704,0,0,44854.547,42490.91,2.81E-06,54687.707,2719745024,100,32908914,16,4648,41.334,42295.797,1.101,0.908,0.353,0,255
15,Experiment-1272-Stitching-580-Image Export-05_nilRe.tif_RGB,590426304,B,0,0,0,0,0,22100.549,24553.023,51424704,0,0,44854.547,42490.91,2.81E-06,54687.707,0,0,0,16,4648,41.334,42295.797,1.101,0.908,0.353,0,255
16,Experiment-1272-Stitching-580-Image Export-05_nilRe.tif_RGB,590426304,R,0,0,0,0,0,22100.549,24553.023,51424704,0,0,44854.547,42490.91,2.81E-06,54687.707,0,0,0,16,4648,41.334,42295.797,1.101,0.908,0.353,0,255
17,Experiment-1271-Stitching-579-Image Export-04_nilRe[0;0].tif_RGB,96793720,G,5.355,11.104,2,2,127,15218.932,14020.679,9825260,0,0,23336.363,21481.818,1.26E-05,31439.807,518294784,100,6271367,8,2360,43.032,21481.818,1.295,0.772,0.22,0,255
18,Experiment-1271-Stitching-579-Image Export-04_nilRe[0;0].tif_RGB,96793720,B,0,0,0,0,0,15218.932,14020.679,9825260,0,0,23336.363,21481.818,1.26E-05,31439.807,0,0,0,8,2360,43.032,21481.818,1.295,0.772,0.22,0,255
19,Experiment-1271-Stitching-579-Image Export-04_nilRe[0;0].tif_RGB,96793720,R,0,0,0,0,0,15218.932,14020.679,9825260,0,0,23336.363,21481.818,1.26E-05,31439.807,0,0,0,8,2360,43.032,21481.818,1.295,0.772,0.22,0,255
20,Experiment-1271-Stitching-579-Image Export-04_nilRe[1;0].tif_RGB,103809504,G,6.683,13.533,2,2,153,8811.865,16868.955,8331040.5,0,0,24418.182,21545.455,1.88E-05,31752.25,693757440,100,8394465,12,110,139.959,21545.455,1.727,0.579,0.231,0,255
21,Experiment-1271-Stitching-579-Image Export-04_nilRe[1;0].tif_RGB,103809504,B,0,0,0,0,0,8811.865,16868.955,8331040.5,0,0,24418.182,21545.455,1.88E-05,31752.25,0,0,0,12,110,139.959,21545.455,1.727,0.579,0.231,0,255
22,Experiment-1271-Stitching-579-Image Export-04_nilRe[1;0].tif_RGB,103809504,R,0,0,0,0,0,8811.865,16868.955,8331040.5,0,0,24418.182,21545.455,1.88E-05,31752.25,0,0,0,12,110,139.959,21545.455,1.727,0.579,0.231,0,255
23,Experiment-1271-Stitching-579-Image Export-04_nilRe[0;1].tif_RGB,100918760,G,7.48,14.74,2,2,157,16183.978,5632.175,9896130,0,0,24627.273,21600,1.30E-05,31348.561,754877696,100,9134020,186,16,136.904,21600,1.552,0.644,0.204,0,255
24,Experiment-1271-Stitching-579-Image Export-04_nilRe[0;1].tif_RGB,100918760,B,0,0,0,0,0,16183.978,5632.175,9896130,0,0,24627.273,21600,1.30E-05,31348.561,0,0,0,186,16,136.904,21600,1.552,0.644,0.204,0,255
25,Experiment-1271-Stitching-579-Image Export-04_nilRe[0;1].tif_RGB,100918760,R,0,0,0,0,0,16183.978,5632.175,9896130,0,0,24627.273,21600,1.30E-05,31348.561,0,0,0,186,16,136.904,21600,1.552,0.644,0.204,0,255
