 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,Experiment-1341-Stitching-567-Image Export-02_nilRe.tif_RGB,235048096,R,34.054,13.935,19,17,255,24619.281,24081.574,2189795.25,0,0,46163.637,43236.363,6.16E-04,55052.141,8004270080,100,96851672,695,158,135.281,43214.395,1.129,0.886,0.142,0,255
2,Experiment-1341-Stitching-567-Image Export-02_nilRe.tif_RGB,235048096,G,0,0,0,0,0,24619.281,24081.574,2189795.25,0,0,46163.637,43236.363,6.16E-04,55052.141,0,0,0,695,158,135.281,43214.395,1.129,0.886,0.142,0,255
3,Experiment-1341-Stitching-567-Image Export-02_nilRe.tif_RGB,235048096,B,0,0,0,0,0,24619.281,24081.574,2189795.25,0,0,46163.637,43236.363,6.16E-04,55052.141,0,0,0,695,158,135.281,43214.395,1.129,0.886,0.142,0,255
4,Experiment-1341-Stitching-567-Image Export-02_nilRe[0;0].tif_RGB,59091652,R,7.537,11.742,2,2,133,11627.645,9634.367,2573360,0,0,16481.818,14063.637,1.12E-04,20878.844,445344640,100,5388670,4,1415,38.033,14062.145,1.272,0.786,0.283,0,255
5,Experiment-1341-Stitching-567-Image Export-02_nilRe[0;0].tif_RGB,59091652,G,0,0,0,0,0,11627.645,9634.367,2573360,0,0,16481.818,14063.637,1.12E-04,20878.844,0,0,0,4,1415,38.033,14062.145,1.272,0.786,0.283,0,255
6,Experiment-1341-Stitching-567-Image Export-02_nilRe[0;0].tif_RGB,59091652,B,0,0,0,0,0,11627.645,9634.367,2573360,0,0,16481.818,14063.637,1.12E-04,20878.844,0,0,0,4,1415,38.033,14062.145,1.272,0.786,0.283,0,255
7,Experiment-1341-Stitching-567-Image Export-02_nilRe[1;0].tif_RGB,29921736,R,37.221,14.279,20,20,130,9362.137,8517.411,376843.812,0,0,16563.637,14372.728,0.003,20259.332,1113726976,100,13476096,148,97,138.42,14372.728,1.156,0.865,0.139,0,255
8,Experiment-1341-Stitching-567-Image Export-02_nilRe[1;0].tif_RGB,29921736,G,0,0,0,0,0,9362.137,8517.411,376843.812,0,0,16563.637,14372.728,0.003,20259.332,0,0,0,148,97,138.42,14372.728,1.156,0.865,0.139,0,255
9,Experiment-1341-Stitching-567-Image Export-02_nilRe[1;0].tif_RGB,29921736,B,0,0,0,0,0,9362.137,8517.411,376843.812,0,0,16563.637,14372.728,0.003,20259.332,0,0,0,148,97,138.42,14372.728,1.156,0.865,0.139,0,255
10,Experiment-1341-Stitching-567-Image Export-02_nilRe[2;0].tif_RGB,53320580,R,8.123,11.639,2,2,109,3811.086,9614.066,1964141.125,0,0,16400,13709.091,1.74E-04,21214.561,433126528,100,5240831,11,0,140.128,13702.019,1.585,0.631,0.302,0,255
