 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,Experiment-1262-Stitching-615-Image Export-616_FITC.tif_RGB,651007424,R,0,0,0,0,0,21231.619,18667.102,44903004,0,0,49663.637,43581.816,4.06E-06,66074.594,0,0,0,0,0,138.732,43581.816,1.244,0.804,0.301,0,255
2,Experiment-1262-Stitching-615-Image Export-616_FITC.tif_RGB,651007424,G,0.954,0.21,1,0,1,21231.619,18667.102,44903004,0,0,49663.637,43581.816,4.06E-06,66074.594,620842880,95.366,7512199,0,0,138.732,43581.816,1.244,0.804,0.301,0,255
3,Experiment-1262-Stitching-615-Image Export-616_FITC.tif_RGB,651007424,B,0,0,0,0,0,21231.619,18667.102,44903004,0,0,49663.637,43581.816,4.06E-06,66074.594,0,0,0,0,0,138.732,43581.816,1.244,0.804,0.301,0,255
4,Experiment-1260-Stitching-613-Image Export-618_FITC.tif_RGB,64889836,R,0.315,7.283,0,0,255,21048.75,21599.859,189749.234,0,0,45254.547,39500,0.023,49511.992,20445042,0.218,247385,786,545,140.326,39322.152,1.096,0.912,0.049,0,255
5,Experiment-1260-Stitching-613-Image Export-618_FITC.tif_RGB,64889836,G,35.794,13.086,45,0,116,21048.75,21599.859,189749.234,0,0,45254.547,39500,0.023,49511.992,2322666240,99.873,28104262,786,545,140.326,39322.152,1.096,0.912,0.049,0,255
6,Experiment-1260-Stitching-613-Image Export-618_FITC.tif_RGB,64889836,B,5.266,2.065,5,0,18,21048.75,21599.859,189749.234,0,0,45254.547,39500,0.023,49511.992,341720576,99.782,4134819,786,545,140.326,39322.152,1.096,0.912,0.049,0,255
7,Experiment-1257-Stitching-611-Image Export-619_FITC.tif_RGB,465637856,R,0.044,2.721,0,0,255,24959.814,27653.152,64603752,0,0,49563.637,43400,1.40E-06,63851.855,20450992,0.031,247457,48,72,138.816,43224.496,1.044,0.958,0.219,0,255
8,Experiment-1257-Stitching-611-Image Export-619_FITC.tif_RGB,465637856,G,5.542,11.867,2,0,107,24959.814,27653.152,64603752,0,0,49563.637,43400,1.40E-06,63851.855,2580346880,99.98,31222196,48,72,138.816,43224.496,1.044,0.958,0.219,0,255
9,Experiment-1257-Stitching-611-Image Export-619_FITC.tif_RGB,465637856,B,0.545,1.854,0,0,16,24959.814,27653.152,64603752,0,0,49563.637,43400,1.40E-06,63851.855,253737280,9.484,3070221,48,72,138.816,43224.496,1.044,0.958,0.219,0,255
10,Experiment-1255-Stitching-609-Image Export-622_FITC.tif_RGB,11696446,R,1.717,17.044,0,0,255,13586.571,16400.764,437116.156,0,0,38890.91,30454.545,7.69E-04,43518.012,20077438,1.128,242937,0,1158,153.339,30395.348,1.037,0.965,0.013,0,255
11,Experiment-1255-Stitching-609-Image Export-622_FITC.tif_RGB,11696446,G,71.508,10.439,64,0,155,13586.571,16400.764,437116.156,0,0,38890.91,30454.545,7.69E-04,43518.012,836392640,99.337,10120351,0,1158,153.339,30395.348,1.037,0.965,0.013,0,255
12,Experiment-1255-Stitching-609-Image Export-622_FITC.tif_RGB,11696446,B,10.859,1.615,10,0,24,13586.571,16400.764,437116.156,0,0,38890.91,30454.545,7.69E-04,43518.012,127011320,98.872,1536837,0,1158,153.339,30395.348,1.037,0.965,0.013,0,255
13,Experiment-1253-Stitching-607-Image Export-623_FITC.tif_RGB,398415872,R,0,0,0,0,0,27099.174,24607.031,58211916,0,0,49609.09,43445.453,1.48E-06,64327.535,0,0,0,87,28,138.139,43304.383,1.107,0.904,0.187,0,255
14,Experiment-1253-Stitching-607-Image Export-623_FITC.tif_RGB,398415872,G,6.453,12.445,2,2,110,27099.174,24607.031,58211916,0,0,49609.09,43445.453,1.48E-06,64327.535,2570827264,100,31107008,87,28,138.139,43304.383,1.107,0.904,0.187,0,255
15,Experiment-1253-Stitching-607-Image Export-623_FITC.tif_RGB,398415872,B,0.688,1.943,0,0,17,27099.174,24607.031,58211916,0,0,49609.09,43445.453,1.48E-06,64327.535,274272064,13.2,3318692,87,28,138.139,43304.383,1.107,0.904,0.187,0,255
16,Experiment-1250-Stitching-605-Image Export-626_FITC.tif_RGB,866268416,R,0,0,0,0,0,21781.754,19393.129,89127920,0,0,49790.91,43509.09,1.37E-06,66122.43,0,0,0,0,0,138.852,43509.09,1.168,0.856,0.4,0,255
17,Experiment-1250-Stitching-605-Image Export-626_FITC.tif_RGB,866268416,G,0.956,0.204,1,0,1,21781.754,19393.129,89127920,0,0,49790.91,43509.09,1.37E-06,66122.43,828482496,95.638,10024638,0,0,138.852,43509.09,1.168,0.856,0.4,0,255
18,Experiment-1250-Stitching-605-Image Export-626_FITC.tif_RGB,866268416,B,0,0,0,0,0,21781.754,19393.129,89127920,0,0,49790.91,43509.09,1.37E-06,66122.43,0,0,0,0,0,138.852,43509.09,1.168,0.856,0.4,0,255
19,Experiment-1262-Stitching-615-Image Export-616_FITC[0;0].tif_RGB,223942144,R,0,0,0,0,0,7277.889,7894.814,12269238,0,0,24836.363,21790.908,1.87E-05,33040.711,0,0,0,0,2397,41.263,21790.908,1.694,0.59,0.421,0,255
20,Experiment-1262-Stitching-615-Image Export-616_FITC[0;0].tif_RGB,223942144,G,0.964,0.187,1,0,1,7277.889,7894.814,12269238,0,0,24836.363,21790.908,1.87E-05,33040.711,215811408,96.369,2611318,0,2397,41.263,21790.908,1.694,0.59,0.421,0,255
21,Experiment-1262-Stitching-615-Image Export-616_FITC[0;0].tif_RGB,223942144,B,0,0,0,0,0,7277.889,7894.814,12269238,0,0,24836.363,21790.908,1.87E-05,33040.711,0,0,0,0,2397,41.263,21790.908,1.694,0.59,0.421,0,255
