 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,Experiment-1262-Stitching-615-Image Export-616_nilRe.tif_RGB,33106198,R,253.699,1.864,254,236,255,15685.481,13542.727,125674.82,0,0,34990.91,30836.363,0.026,40036.602,8398998528,100,101627880,15,1225,150.525,29441.934,1.173,0.853,0.042,0,255
2,Experiment-1262-Stitching-615-Image Export-616_nilRe.tif_RGB,33106198,G,0,0,0,0,0,15685.481,13542.727,125674.82,0,0,34990.91,30836.363,0.026,40036.602,0,0,0,15,1225,150.525,29441.934,1.173,0.853,0.042,0,255
3,Experiment-1262-Stitching-615-Image Export-616_nilRe.tif_RGB,33106198,B,0,0,0,0,0,15685.481,13542.727,125674.82,0,0,34990.91,30836.363,0.026,40036.602,0,0,0,15,1225,150.525,29441.934,1.173,0.853,0.042,0,255
4,Experiment-1260-Stitching-613-Image Export-618_nilRe.tif_RGB,65374628,R,241.209,24.266,254,134,255,20991.613,19442.852,168443.578,0,0,45254.547,37527.273,0.029,49509.789,15768929280,100,190804048,783,331,140.379,37280.746,1.102,0.907,0.054,0,255
5,Experiment-1260-Stitching-613-Image Export-618_nilRe.tif_RGB,65374628,G,0,0,0,0,0,20991.613,19442.852,168443.578,0,0,45254.547,37527.273,0.029,49509.789,0,0,0,783,331,140.379,37280.746,1.102,0.907,0.054,0,255
6,Experiment-1260-Stitching-613-Image Export-618_nilRe.tif_RGB,65374628,B,0,0,0,0,0,20991.613,19442.852,168443.578,0,0,45254.547,37527.273,0.029,49509.789,0,0,0,783,331,140.379,37280.746,1.102,0.907,0.054,0,255
7,Experiment-1257-Stitching-611-Image Export-619_nilRe.tif_RGB,37749504,R,253.899,0.652,254,248,255,20112.676,17846.346,279769.812,0,0,43390.91,33518.184,0.006,48832.777,9584567296,100,115973264,4,1064,152.6,32441.779,1.169,0.855,0.036,0,255
8,Experiment-1257-Stitching-611-Image Export-619_nilRe.tif_RGB,37749504,G,0,0,0,0,0,20112.676,17846.346,279769.812,0,0,43390.91,33518.184,0.006,48832.777,0,0,0,4,1064,152.6,32441.779,1.169,0.855,0.036,0,255
9,Experiment-1257-Stitching-611-Image Export-619_nilRe.tif_RGB,37749504,B,0,0,0,0,0,20112.676,17846.346,279769.812,0,0,43390.91,33518.184,0.006,48832.777,0,0,0,4,1064,152.6,32441.779,1.169,0.855,0.036,0,255
10,Experiment-1255-Stitching-609-Image Export-622_nilRe.tif_RGB,45464296,R,248.018,20.164,254,104,255,15427.554,16192.196,112775.562,0,0,38981.816,30800,0.045,43648.773,11275943936,100,136438912,6,1169,153.104,30795.248,1.125,0.889,0.047,0,255
