 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,Experiment-1335-Stitching-597-Image Export-601_DAPI.tif_RGB,527343552,R,0.038,2.554,0,0,255,21546.18,24750.723,4687376.5,0,0,48672.727,43390.91,3.02E-04,55002.461,20221074,0.025,244675,511,533,140.062,43271.473,1.169,0.855,0.298,0,255
2,Experiment-1335-Stitching-597-Image Export-601_DAPI.tif_RGB,527343552,G,79.908,45.213,159,0,159,21546.18,24750.723,4687376.5,0,0,48672.727,43390.91,3.02E-04,55002.461,42138988544,99.995,509881760,511,533,140.062,43271.473,1.169,0.855,0.298,0,255
3,Experiment-1335-Stitching-597-Image Export-601_DAPI.tif_RGB,527343552,B,127.537,72.326,254,0,254,21546.18,24750.723,4687376.5,0,0,48672.727,43390.91,3.02E-04,55002.461,67255709696,99.996,813794048,511,533,140.062,43271.473,1.169,0.855,0.298,0,255
4,Experiment-1337-Stitching-599-Image Export-600_DAPI.tif_RGB,444677024,R,0.046,2.783,0,0,255,22662.201,20677.328,2482453.75,0,0,49218.184,42936.363,9.07E-04,56997.277,20317272,0.031,245839,22,831,144.812,42896.809,1.259,0.794,0.246,0,255
5,Experiment-1337-Stitching-599-Image Export-600_DAPI.tif_RGB,444677024,G,70.13,46.586,159,0,159,22662.201,20677.328,2482453.75,0,0,49218.184,42936.363,9.07E-04,56997.277,31185022976,99.995,377338784,22,831,144.812,42896.809,1.259,0.794,0.246,0,255
6,Experiment-1337-Stitching-599-Image Export-600_DAPI.tif_RGB,444677024,B,111.891,74.524,254,0,254,22662.201,20677.328,2482453.75,0,0,49218.184,42936.363,9.07E-04,56997.277,49755197440,99.996,602037888,22,831,144.812,42896.809,1.259,0.794,0.246,0,255
7,Experiment-1335-Stitching-597-Image Export-601_DAPI[0;0].tif_RGB,19276446,R,0,0,0,0,0,7962.264,8930.997,235513.391,0,0,12727.272,13136.363,0.004,17573.18,0,0,0,116,1445,48.376,12540.196,1.536,0.651,0.138,0,255
8,Experiment-1335-Stitching-597-Image Export-601_DAPI[0;0].tif_RGB,19276446,G,57.972,38.61,15,15,159,7962.264,8930.997,235513.391,0,0,12727.272,13136.363,0.004,17573.18,1117499520,100,13521744,116,1445,48.376,12540.196,1.536,0.651,0.138,0,255
9,Experiment-1335-Stitching-597-Image Export-601_DAPI[0;0].tif_RGB,19276446,B,92.448,61.778,23,23,254,7962.264,8930.997,235513.391,0,0,12727.272,13136.363,0.004,17573.18,1782074496,100,21563100,116,1445,48.376,12540.196,1.536,0.651,0.138,0,255
10,Experiment-1335-Stitching-597-Image Export-601_DAPI[1;0].tif_RGB,55805040,R,0,0,0,0,0,7013.76,10479.407,627337.312,0,0,16527.273,14390.909,0.002,21063.809,0,0,0,2,137,141.607,14390.909,1.477,0.677,0.252,0,255
