 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,Experiment-1322-Stitching-639-Image Export-640_nilRe.tif_RGB,655731392,R,78.286,46.712,35,20,255,28923.191,26166.529,1226805.125,0,0,45000,39600,0.005,47023.402,51334549504,100,621148096,0,3087,25.44,39151.473,1.544,0.647,0.46,0,255
2,Experiment-1322-Stitching-639-Image Export-640_nilRe.tif_RGB,655731392,G,0,0,0,0,0,28923.191,26166.529,1226805.125,0,0,45000,39600,0.005,47023.402,0,0,0,0,3087,25.44,39151.473,1.544,0.647,0.46,0,255
3,Experiment-1322-Stitching-639-Image Export-640_nilRe.tif_RGB,655731392,B,0,0,0,0,0,28923.191,26166.529,1226805.125,0,0,45000,39600,0.005,47023.402,0,0,0,0,3087,25.44,39151.473,1.544,0.647,0.46,0,255
4,Experiment-1320-Stitching-637-Image Export-641_nilRe.tif_RGB,592235072,R,38.565,26.781,17,17,255,17614.854,13514.066,3781655.25,0,0,46618.184,43227.273,5.20E-04,53283.754,22839808000,100,276361664,576,722,140.907,43202.379,1.408,0.71,0.338,0,255
5,Experiment-1320-Stitching-637-Image Export-641_nilRe.tif_RGB,592235072,G,0,0,0,0,0,17614.854,13514.066,3781655.25,0,0,46618.184,43227.273,5.20E-04,53283.754,0,0,0,576,722,140.907,43202.379,1.408,0.71,0.338,0,255
6,Experiment-1320-Stitching-637-Image Export-641_nilRe.tif_RGB,592235072,B,0,0,0,0,0,17614.854,13514.066,3781655.25,0,0,46618.184,43227.273,5.20E-04,53283.754,0,0,0,576,722,140.907,43202.379,1.408,0.71,0.338,0,255
7,Experiment-1314-Stitching-633-Image Export-645_nilRe.tif_RGB,874176448,R,40.511,27.438,17,17,255,22521.59,19764.082,3971421.25,0,0,41200,43427.273,6.97E-04,53659.25,35413803008,100,428507008,198,352,136.38,39080.316,1.199,0.834,0.558,0,255
8,Experiment-1314-Stitching-633-Image Export-645_nilRe.tif_RGB,874176448,G,0,0,0,0,0,22521.59,19764.082,3971421.25,0,0,41200,43427.273,6.97E-04,53659.25,0,0,0,198,352,136.38,39080.316,1.199,0.834,0.558,0,255
9,Experiment-1314-Stitching-633-Image Export-645_nilRe.tif_RGB,874176448,B,0,0,0,0,0,22521.59,19764.082,3971421.25,0,0,41200,43427.273,6.97E-04,53659.25,0,0,0,198,352,136.38,39080.316,1.199,0.834,0.558,0,255
10,Experiment-1312-Stitching-631-Image Export-648_nilRe.tif_RGB,664550144,R,33.164,31.341,11,11,255,24899.133,18350.289,3595866.25,0,0,43927.273,40136.363,6.46E-04,52957,22039367680,100,266676352,463,562,138.591,38663.477,1.066,0.938,0.463,0,255
11,Experiment-1312-Stitching-631-Image Export-648_nilRe.tif_RGB,664550144,G,0,0,0,0,0,24899.133,18350.289,3595866.25,0,0,43927.273,40136.363,6.46E-04,52957,0,0,0,463,562,138.591,38663.477,1.066,0.938,0.463,0,255
12,Experiment-1312-Stitching-631-Image Export-648_nilRe.tif_RGB,664550144,B,0,0,0,0,0,24899.133,18350.289,3595866.25,0,0,43927.273,40136.363,6.46E-04,52957,0,0,0,463,562,138.591,38663.477,1.066,0.938,0.463,0,255
13,Experiment-1310-Stitching-629-Image Export-649_nilRe.tif_RGB,734725184,R,0.767,0.423,1,0,1,29588.141,22523.029,33598132,0,0,49445.453,43236.363,8.18E-06,65682.844,563715264,76.725,6820955,0,0,138.833,43236.363,1.18,0.847,0.344,0,255
14,Experiment-1310-Stitching-629-Image Export-649_nilRe.tif_RGB,734725184,G,0,0,0,0,0,29588.141,22523.029,33598132,0,0,49445.453,43236.363,8.18E-06,65682.844,0,0,0,0,0,138.833,43236.363,1.18,0.847,0.344,0,255
15,Experiment-1310-Stitching-629-Image Export-649_nilRe.tif_RGB,734725184,B,0,0,0,0,0,29588.141,22523.029,33598132,0,0,49445.453,43236.363,8.18E-06,65682.844,0,0,0,0,0,138.833,43236.363,1.18,0.847,0.344,0,255
16,Experiment-1318-Stitching-635-Image Export-644_nilRe.tif_RGB,1022797760,R,3.615,3.01,1,0,10,25153.162,27472.307,4772944,0,0,49745.453,43472.727,5.64E-04,66064.273,3697511168,86.575,44739884,0,0,138.85,43472.727,1.356,0.738,0.473,0,255
17,Experiment-1318-Stitching-635-Image Export-644_nilRe.tif_RGB,1022797760,G,0,0,0,0,0,25153.162,27472.307,4772944,0,0,49745.453,43472.727,5.64E-04,66064.273,0,0,0,0,0,138.85,43472.727,1.356,0.738,0.473,0,255
18,Experiment-1318-Stitching-635-Image Export-644_nilRe.tif_RGB,1022797760,B,0,0,0,0,0,25153.162,27472.307,4772944,0,0,49745.453,43472.727,5.64E-04,66064.273,0,0,0,0,0,138.85,43472.727,1.356,0.738,0.473,0,255
19,Experiment-1322-Stitching-639-Image Export-640_nilRe[0;0].tif_RGB,11642397,R,98.903,27.743,82,38,192,8090.554,7243.021,25246.502,0,0,11781.818,13827.272,0.23,15071.282,1151469312,100,13932778,12,1152,42.922,10459.839,1.495,0.669,0.124,0,255
20,Experiment-1322-Stitching-639-Image Export-640_nilRe[0;0].tif_RGB,11642397,G,0,0,0,0,0,8090.554,7243.021,25246.502,0,0,11781.818,13827.272,0.23,15071.282,0,0,0,12,1152,42.922,10459.839,1.495,0.669,0.124,0,255
