 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,Experiment-1322-Stitching-639-Image Export-640_RhodB[1;0].tif_RGB,126656944,R,40.48,34.948,13,13,254,13735.225,13210.026,638491,0,0,22000,18045.455,0.004,26624.818,5127031296,100,62037076,157,103,140.014,18045.455,1.529,0.654,0.392,0,255
2,Experiment-1322-Stitching-639-Image Export-640_RhodB[1;0].tif_RGB,126656944,G,31.432,26.895,13,10,196,13735.225,13210.026,638491,0,0,22000,18045.455,0.004,26624.818,3981101312,100,48171328,157,103,140.014,18045.455,1.529,0.654,0.392,0,255
3,Experiment-1322-Stitching-639-Image Export-640_RhodB[1;0].tif_RGB,126656944,B,0,0,0,0,0,13735.225,13210.026,638491,0,0,22000,18045.455,0.004,26624.818,0,0,0,157,103,140.014,18045.455,1.529,0.654,0.392,0,255
4,Experiment-1322-Stitching-639-Image Export-640_RhodB[1;1].tif_RGB,170004464,R,3.466,5.033,0,0,40,17643.447,12601.941,597493.875,0,0,24800,21627.273,0.006,32905.605,589283776,69.867,7130334,0,0,138.909,21627.273,1.368,0.731,0.317,0,255
5,Experiment-1322-Stitching-639-Image Export-640_RhodB[1;1].tif_RGB,170004464,G,2.892,3.906,0,0,17,17643.447,12601.941,597493.875,0,0,24800,21627.273,0.006,32905.605,491611744,69.863,5948502,0,0,138.909,21627.273,1.368,0.731,0.317,0,255
6,Experiment-1322-Stitching-639-Image Export-640_RhodB[1;1].tif_RGB,170004464,B,0,0,0,0,0,17643.447,12601.941,597493.875,0,0,24800,21627.273,0.006,32905.605,0,0,0,0,0,138.909,21627.273,1.368,0.731,0.317,0,255
7,Experiment-1310-Stitching-629-Image Export-649_RhodB[0;0].tif_RGB,228681568,R,9.92,18.236,3,3,172,11309.912,8027.404,1788517.25,0,0,24690.908,21618.182,8.98E-04,32637.141,2268571392,100,27449716,8,2378,41.036,21618.182,2.101,0.476,0.455,0,255
8,Experiment-1310-Stitching-629-Image Export-649_RhodB[0;0].tif_RGB,228681568,G,7.912,14.034,3,3,133,11309.912,8027.404,1788517.25,0,0,24690.908,21618.182,8.98E-04,32637.141,1809260544,100,21892052,8,2378,41.036,21618.182,2.101,0.476,0.455,0,255
9,Experiment-1310-Stitching-629-Image Export-649_RhodB[0;0].tif_RGB,228681568,B,0,0,0,0,0,11309.912,8027.404,1788517.25,0,0,24690.908,21618.182,8.98E-04,32637.141,0,0,0,8,2378,41.036,21618.182,2.101,0.476,0.455,0,255
10,Experiment-1310-Stitching-629-Image Export-649_RhodB[0;1].tif_RGB,12197851,R,79.348,38.046,24,23,237,6360.787,5991.563,61207.023,0,0,19781.818,18354.545,0.041,22100.592,967873472,100,11711269,5,1094,26.744,16471.67,1.163,0.86,0.049,0,255
11,Experiment-1310-Stitching-629-Image Export-649_RhodB[0;1].tif_RGB,12197851,G,61.352,29.254,20,18,183,6360.787,5991.563,61207.023,0,0,19781.818,18354.545,0.041,22100.592,748366848,100,9055239,5,1094,26.744,16471.67,1.163,0.86,0.049,0,255
12,Experiment-1310-Stitching-629-Image Export-649_RhodB[0;1].tif_RGB,12197851,B,0,0,0,0,0,6360.787,5991.563,61207.023,0,0,19781.818,18354.545,0.041,22100.592,0,0,0,5,1094,26.744,16471.67,1.163,0.86,0.049,0,255
13,Experiment-1310-Stitching-629-Image Export-649_RhodB[1;0].tif_RGB,5422479.5,R,118.149,15.73,113,93,171,6765.41,6192.515,43752.781,0,0,10636.363,12000,0.036,12869.344,640661312,100,7752002,1,1320,67.62,9286.301,1.366,0.732,0.079,0,255
14,Experiment-1310-Stitching-629-Image Export-649_RhodB[1;0].tif_RGB,5422479.5,G,91.196,12.106,90,72,132,6765.41,6192.515,43752.781,0,0,10636.363,12000,0.036,12869.344,494508352,100,5983551,1,1320,67.62,9286.301,1.366,0.732,0.079,0,255
15,Experiment-1310-Stitching-629-Image Export-649_RhodB[1;0].tif_RGB,5422479.5,B,0,0,0,0,0,6765.41,6192.515,43752.781,0,0,10636.363,12000,0.036,12869.344,0,0,0,1,1320,67.62,9286.301,1.366,0.732,0.079,0,255
16,Experiment-1310-Stitching-629-Image Export-649_RhodB[1;1].tif_RGB,141467856,R,13.791,18.385,6,6,255,10610.938,7118.561,1312037.875,0,0,22218.182,18654.545,0.001,29011.027,1950953856,100,23606540,0,0,139.983,18638.684,1.373,0.728,0.391,0,255
17,Experiment-1310-Stitching-629-Image Export-649_RhodB[1;1].tif_RGB,141467856,G,10.816,13.711,6,0,156,10610.938,7118.561,1312037.875,0,0,22218.182,18654.545,0.001,29011.027,1530122752,99.905,18514486,0,0,139.983,18638.684,1.373,0.728,0.391,0,255
18,Experiment-1310-Stitching-629-Image Export-649_RhodB[1;1].tif_RGB,141467856,B,0,0,0,0,0,10610.938,7118.561,1312037.875,0,0,22218.182,18654.545,0.001,29011.027,0,0,0,0,0,139.983,18638.684,1.373,0.728,0.391,0,255
19,Experiment-1312-Stitching-631-Image Export-648_RhodB[0;0].tif_RGB,98627352,R,42.472,37.986,15,15,244,17802.311,10811.442,519098.125,0,0,21809.092,21627.273,0.005,26019.576,4188936448,100,50686128,0,1561,33.052,21627.273,2.091,0.478,0.262,0,255
20,Experiment-1312-Stitching-631-Image Export-648_RhodB[0;0].tif_RGB,98627352,G,32.981,29.219,13,12,188,17802.311,10811.442,519098.125,0,0,21809.092,21627.273,0.005,26019.576,3252859904,100,39359604,0,1561,33.052,21627.273,2.091,0.478,0.262,0,255
21,Experiment-1312-Stitching-631-Image Export-648_RhodB[0;0].tif_RGB,98627352,B,0,0,0,0,0,17802.311,10811.442,519098.125,0,0,21809.092,21627.273,0.005,26019.576,0,0,0,0,1561,33.052,21627.273,2.091,0.478,0.262,0,255
22,Experiment-1312-Stitching-631-Image Export-648_RhodB[0;1].tif_RGB,128071160,R,39.165,33.545,11,11,233,9776.703,5348.705,635517.625,0,0,18709.092,17727.273,0.004,21070.141,5015850496,100,60691792,34,410,150.338,17360.445,1.436,0.696,0.518,0,255
23,Experiment-1312-Stitching-631-Image Export-648_RhodB[0;1].tif_RGB,128071160,G,30.457,25.787,10,9,180,9776.703,5348.705,635517.625,0,0,18709.092,17727.273,0.004,21070.141,3900614912,100,47197440,34,410,150.338,17360.445,1.436,0.696,0.518,0,255
24,Experiment-1312-Stitching-631-Image Export-648_RhodB[0;1].tif_RGB,128071160,B,0,0,0,0,0,9776.703,5348.705,635517.625,0,0,18709.092,17727.273,0.004,21070.141,0,0,0,34,410,150.338,17360.445,1.436,0.696,0.518,0,255
25,Experiment-1312-Stitching-631-Image Export-648_RhodB[1;0].tif_RGB,267695792,R,22.242,15.187,8,8,156,9581.138,12206.119,1086546.5,0,0,21627.273,21627.273,0.003,29968.531,5954181120,100,72045592,0,0,136.192,21254.73,1.474,0.678,0.741,0,255
26,Experiment-1312-Stitching-631-Image Export-648_RhodB[1;0].tif_RGB,267695792,G,17.397,11.704,10,6,120,9581.138,12206.119,1086546.5,0,0,21627.273,21627.273,0.003,29968.531,4657122816,100,56351188,0,0,136.192,21254.73,1.474,0.678,0.741,0,255
27,Experiment-1312-Stitching-631-Image Export-648_RhodB[1;0].tif_RGB,267695792,B,0,0,0,0,0,9581.138,12206.119,1086546.5,0,0,21627.273,21627.273,0.003,29968.531,0,0,0,0,0,136.192,21254.73,1.474,0.678,0.741,0,255
28,Experiment-1312-Stitching-631-Image Export-648_RhodB[1;1].tif_RGB,117327440,R,36.316,29.045,13,13,255,10863.534,5787.332,506746.469,0,0,22118.182,18518.182,0.006,28846.785,4260836096,100,51556116,0,0,140.063,18518.182,1.131,0.884,0.329,0,255
29,Experiment-1312-Stitching-631-Image Export-648_RhodB[1;1].tif_RGB,117327440,G,28.097,22.13,13,0,196,10863.534,5787.332,506746.469,0,0,22118.182,18518.182,0.006,28846.785,3296591104,99.9,39888752,0,0,140.063,18518.182,1.131,0.884,0.329,0,255
30,Experiment-1312-Stitching-631-Image Export-648_RhodB[1;1].tif_RGB,117327440,B,0,0,0,0,0,10863.534,5787.332,506746.469,0,0,22118.182,18518.182,0.006,28846.785,0,0,0,0,0,140.063,18518.182,1.131,0.884,0.329,0,255
31,Experiment-1314-Stitching-633-Image Export-645_RhodB[0;0].tif_RGB,209409264,R,40.815,27.857,19,16,238,11434.199,11659.446,963996.188,0,0,18545.455,21672.727,0.003,25126.539,8547011584,100,103418840,485,99,124.236,18545.455,1.706,0.586,0.617,0,255
32,Experiment-1314-Stitching-633-Image Export-645_RhodB[0;0].tif_RGB,209409264,G,31.698,21.435,13,13,183,11434.199,11659.446,963996.188,0,0,18545.455,21672.727,0.003,25126.539,6637897728,100,80318560,485,99,124.236,18545.455,1.706,0.586,0.617,0,255
33,Experiment-1314-Stitching-633-Image Export-645_RhodB[0;0].tif_RGB,209409264,B,0,0,0,0,0,11434.199,11659.446,963996.188,0,0,18545.455,21672.727,0.003,25126.539,0,0,0,485,99,124.236,18545.455,1.706,0.586,0.617,0,255
34,Experiment-1314-Stitching-633-Image Export-645_RhodB[0;1].tif_RGB,159372224,R,38.704,30.16,13,13,251,11255.639,8324.522,962380.188,0,0,15927.272,21718.182,0.002,24669.814,6168322560,100,74636704,335,1,120.591,15927.272,1.822,0.549,0.503,0,255
35,Experiment-1314-Stitching-633-Image Export-645_RhodB[0;1].tif_RGB,159372224,G,30.068,23.211,13,10,193,11255.639,8324.522,962380.188,0,0,15927.272,21718.182,0.002,24669.814,4791939072,100,57982464,335,1,120.591,15927.272,1.822,0.549,0.503,0,255
36,Experiment-1314-Stitching-633-Image Export-645_RhodB[0;1].tif_RGB,159372224,B,0,0,0,0,0,11255.639,8324.522,962380.188,0,0,15927.272,21718.182,0.002,24669.814,0,0,0,335,1,120.591,15927.272,1.822,0.549,0.503,0,255
37,Experiment-1314-Stitching-633-Image Export-645_RhodB[1;0].tif_RGB,229166688,R,3.201,2.814,1,0,9,14669.574,9507.077,1085669.25,0,0,24836.363,21772.727,0.002,33028.723,733600640,81.729,8876568,0,0,138.761,21772.727,1.555,0.643,0.47,0,255
38,Experiment-1314-Stitching-633-Image Export-645_RhodB[1;0].tif_RGB,229166688,G,2.692,2.191,1,0,7,14669.574,9507.077,1085669.25,0,0,24836.363,21772.727,0.002,33028.723,616881984,81.729,7464272,0,0,138.761,21772.727,1.555,0.643,0.47,0,255
39,Experiment-1314-Stitching-633-Image Export-645_RhodB[1;0].tif_RGB,229166688,B,0,0,0,0,0,14669.574,9507.077,1085669.25,0,0,24836.363,21772.727,0.002,33028.723,0,0,0,0,0,138.761,21772.727,1.555,0.643,0.47,0,255
40,Experiment-1314-Stitching-633-Image Export-645_RhodB[1;1].tif_RGB,229300832,R,35.768,19.832,24,16,255,11875.627,8246.859,879045.688,0,0,22600,21609.092,0.004,31040.951,8201558528,100,99238864,26,2369,43.932,21609.092,1.253,0.798,0.503,0,255
41,Experiment-1314-Stitching-633-Image Export-645_RhodB[1;1].tif_RGB,229300832,G,27.752,15.09,20,0,153,11875.627,8246.859,879045.688,0,0,22600,21609.092,0.004,31040.951,6363454976,99.941,76997800,26,2369,43.932,21609.092,1.253,0.798,0.503,0,255
42,Experiment-1314-Stitching-633-Image Export-645_RhodB[1;1].tif_RGB,229300832,B,0,0,0,0,0,11875.627,8246.859,879045.688,0,0,22600,21609.092,0.004,31040.951,0,0,0,26,2369,43.932,21609.092,1.253,0.798,0.503,0,255
43,Experiment-1318-Stitching-635-Image Export-644_RhodB[0;0].tif_RGB,132049920,R,6.339,5.392,0,0,15,5291.527,10723.538,1358345.625,0,0,24872.727,21736.363,8.99E-04,33032.137,837007360,81.044,10127789,0,2391,41.15,21736.363,1.701,0.588,0.244,0,255
44,Experiment-1318-Stitching-635-Image Export-644_RhodB[0;0].tif_RGB,132049920,G,5.153,4.22,0,0,12,5291.527,10723.538,1358345.625,0,0,24872.727,21736.363,8.99E-04,33032.137,680455104,81.044,8233507,0,2391,41.15,21736.363,1.701,0.588,0.244,0,255
45,Experiment-1318-Stitching-635-Image Export-644_RhodB[0;0].tif_RGB,132049920,B,0,0,0,0,0,5291.527,10723.538,1358345.625,0,0,24872.727,21736.363,8.99E-04,33032.137,0,0,0,0,2391,41.15,21736.363,1.701,0.588,0.244,0,255
46,Experiment-1318-Stitching-635-Image Export-644_RhodB[0;1].tif_RGB,226264208,R,14.33,24.242,5,5,232,13444.633,9923.926,2296933.25,0,0,24636.363,21690.908,5.39E-04,32788.453,3242374144,100,39232728,0,0,138.709,21690.908,1.539,0.65,0.479,0,255
47,Experiment-1318-Stitching-635-Image Export-644_RhodB[0;1].tif_RGB,226264208,G,11.311,18.657,6,4,179,13444.633,9923.926,2296933.25,0,0,24636.363,21690.908,5.39E-04,32788.453,2559369472,100,30968372,0,0,138.709,21690.908,1.539,0.65,0.479,0,255
48,Experiment-1318-Stitching-635-Image Export-644_RhodB[0;1].tif_RGB,226264208,B,0,0,0,0,0,13444.633,9923.926,2296933.25,0,0,24636.363,21690.908,5.39E-04,32788.453,0,0,0,0,0,138.709,21690.908,1.539,0.65,0.479,0,255
49,Experiment-1318-Stitching-635-Image Export-644_RhodB[1;0].tif_RGB,166374208,R,1.49,2.298,0,0,12,19822.67,8396.938,528597.812,0,0,24872.727,21736.363,0.007,33032.137,247966448,60.82,3000394,0,0,138.85,21736.363,1.557,0.642,0.308,0,255
50,Experiment-1318-Stitching-635-Image Export-644_RhodB[1;0].tif_RGB,166374208,G,1.394,1.938,0,0,10,19822.67,8396.938,528597.812,0,0,24872.727,21736.363,0.007,33032.137,231915952,60.82,2806183,0,0,138.85,21736.363,1.557,0.642,0.308,0,255
51,Experiment-1318-Stitching-635-Image Export-644_RhodB[1;0].tif_RGB,166374208,B,0,0,0,0,0,19822.67,8396.938,528597.812,0,0,24872.727,21736.363,0.007,33032.137,0,0,0,0,0,138.85,21736.363,1.557,0.642,0.308,0,255
52,Experiment-1318-Stitching-635-Image Export-644_RhodB[1;1].tif_RGB,191273312,R,19.478,13.507,10,10,255,11561.589,7446.151,2056747.25,0,0,22063.637,21636.363,5.68E-04,30240.6,3725567232,100,45079360,2,2380,45.682,21636.363,1.386,0.722,0.426,0,255
53,Experiment-1318-Stitching-635-Image Export-644_RhodB[1;1].tif_RGB,191273312,G,15.239,9.966,8,0,154,11561.589,7446.151,2056747.25,0,0,22063.637,21636.363,5.68E-04,30240.6,2914730752,99.941,35268240,2,2380,45.682,21636.363,1.386,0.722,0.426,0,255
54,Experiment-1318-Stitching-635-Image Export-644_RhodB[1;1].tif_RGB,191273312,B,0,0,0,0,0,11561.589,7446.151,2056747.25,0,0,22063.637,21636.363,5.68E-04,30240.6,0,0,0,2,2380,45.682,21636.363,1.386,0.722,0.426,0,255
55,Experiment-1320-Stitching-637-Image Export-641_RhodB[0;0].tif_RGB,135234464,R,1.444,1.535,1,0,7,9589.203,9506.138,296595.906,0,0,24790.908,21700,0.019,32946.609,195344960,74.191,2363674,0,0,138.804,21700,2.301,0.435,0.251,0,255
56,Experiment-1320-Stitching-637-Image Export-641_RhodB[0;0].tif_RGB,135234464,G,1.355,1.313,1,0,6,9589.203,9506.138,296595.906,0,0,24790.908,21700,0.019,32946.609,183209008,74.191,2216829,0,0,138.804,21700,2.301,0.435,0.251,0,255
57,Experiment-1320-Stitching-637-Image Export-641_RhodB[0;0].tif_RGB,135234464,B,0,0,0,0,0,9589.203,9506.138,296595.906,0,0,24790.908,21700,0.019,32946.609,0,0,0,0,0,138.804,21700,2.301,0.435,0.251,0,255
58,Experiment-1320-Stitching-637-Image Export-641_RhodB[0;1].tif_RGB,226505456,R,1.552,1.373,0,0,4,14053.709,12397.291,1737989.5,0,0,24790.908,21700,9.42E-04,32946.609,351617536,66.856,4254572,0,0,138.804,21700,1.904,0.525,0.421,0,255
59,Experiment-1320-Stitching-637-Image Export-641_RhodB[0;1].tif_RGB,226505456,G,1.448,1.212,0,0,3,14053.709,12397.291,1737989.5,0,0,24790.908,21700,9.42E-04,32946.609,328056928,66.856,3969489,0,0,138.804,21700,1.904,0.525,0.421,0,255
60,Experiment-1320-Stitching-637-Image Export-641_RhodB[0;1].tif_RGB,226505456,B,0,0,0,0,0,14053.709,12397.291,1737989.5,0,0,24790.908,21700,9.42E-04,32946.609,0,0,0,0,0,138.804,21700,1.904,0.525,0.421,0,255
