 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
3,PA_rhodb,72667272,B,0,0,0,0,0,13856.477,16856.115,173929.875,0,0,26027.273,32154.545,0.03,35015.805,0,0,0,434,143,128.867,25951.488,1.244,0.804,0.105,0,255
6,PA_rhodb,74938432,B,0,0,0,0,0,16832.178,16004.176,249837.344,0,0,34154.547,31890.908,0.015,35018.809,0,0,0,2,2447,20.42,28379.027,1.121,0.892,0.103,0,255
9,PA_rhodb,68723056,B,0,0,0,0,0,19365.43,13289.577,205043.281,0,0,35081.816,31581.818,0.021,41529.598,0,0,0,280,3474,38.503,29594.004,1.188,0.842,0.075,0,255
12,PA_rhodb,76605368,B,0,0,0,0,0,17513.963,14491.097,173265.469,0,0,34863.637,31372.727,0.032,35363.016,0,0,0,448,455,140.905,30458.484,1.178,0.849,0.097,0,255
15,PA_rhodb,69113056,B,0,0,0,0,0,16533.268,15339.854,253305.094,0,0,36581.816,32336.363,0.014,36628.871,0,0,0,1,1701,3.173,30600.049,1.191,0.84,0.085,0,255
18,PA_rhodb,69391568,B,0,0,0,0,0,18416.848,15935.335,178109.844,0,0,32681.818,33427.273,0.027,33642.879,0,0,0,1365,3316,63.643,31258.307,1.05,0.952,0.097,0,255
2,PA_rhodb,72667272,G,130.146,32.703,196,65,196,13856.477,16856.115,173929.875,0,0,26027.273,32154.545,0.03,35015.805,9457372160,100,114434200,434,143,128.867,25951.488,1.244,0.804,0.105,0,255
5,PA_rhodb,74938432,G,105.038,22.854,116,63,196,16832.178,16004.176,249837.344,0,0,34154.547,31890.908,0.015,35018.809,7871392256,100,95243848,2,2447,20.42,28379.027,1.121,0.892,0.103,0,255
8,PA_rhodb,68723056,G,100.541,20.199,103,63,196,19365.43,13289.577,205043.281,0,0,35081.816,31581.818,0.021,41529.598,6909463040,100,83604504,280,3474,38.503,29594.004,1.188,0.842,0.075,0,255
11,PA_rhodb,76605368,G,78.306,20.652,80,36,175,17513.963,14491.097,173265.469,0,0,34863.637,31372.727,0.032,35363.016,5998629888,100,72583416,448,455,140.905,30458.484,1.178,0.849,0.097,0,255
14,PA_rhodb,69113056,G,100.614,20.292,86,66,178,16533.268,15339.854,253305.094,0,0,36581.816,32336.363,0.014,36628.871,6953774080,100,84140672,1,1701,3.173,30600.049,1.191,0.84,0.085,0,255
17,PA_rhodb,69391568,G,127.776,33.729,196,65,196,18416.848,15935.335,178109.844,0,0,32681.818,33427.273,0.027,33642.879,8866560000,100,107285376,1365,3316,63.643,31258.307,1.05,0.952,0.097,0,255
1,PA_rhodb,72667272,R,168.779,42.489,254,84,254,13856.477,16856.115,173929.875,0,0,26027.273,32154.545,0.03,35015.805,12264700928,100,148402880,434,143,128.867,25951.488,1.244,0.804,0.105,0,255
4,PA_rhodb,74938432,R,136.15,29.706,149,81,254,16832.178,16004.176,249837.344,0,0,34154.547,31890.908,0.015,35018.809,10202838016,100,123454336,2,2447,20.42,28379.027,1.121,0.892,0.103,0,255
7,PA_rhodb,68723056,R,130.304,26.255,133,81,254,19365.43,13289.577,205043.281,0,0,35081.816,31581.818,0.021,41529.598,8954871808,100,108353952,280,3474,38.503,29594.004,1.188,0.842,0.075,0,255
10,PA_rhodb,76605368,R,101.398,26.841,104,47,227,17513.963,14491.097,173265.469,0,0,34863.637,31372.727,0.032,35363.016,7767627776,100,93988296,448,455,140.905,30458.484,1.178,0.849,0.097,0,255
13,PA_rhodb,69113056,R,130.401,26.371,112,86,231,16533.268,15339.854,253305.094,0,0,36581.816,32336.363,0.014,36628.871,9012404224,100,109050088,1,1701,3.173,30600.049,1.191,0.84,0.085,0,255
16,PA_rhodb,69391568,R,165.691,43.811,254,84,254,18416.848,15935.335,178109.844,0,0,32681.818,33427.273,0.027,33642.879,11497534464,100,139120176,1365,3316,63.643,31258.307,1.05,0.952,0.097,0,255
