 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
3,PE102_FITC,153941984,B,27.285,8.251,39,0,39,17935.926,21040.941,174283.578,0,0,42663.637,39118.184,0.064,50667.422,4200372736,99.912,50824508,750,292,135.029,37839.105,1.08,0.926,0.12,0,255
6,PE102_FITC,146650656,B,21.915,5.589,17,0,39,17192.633,15420.685,341128.594,0,0,41118.184,33036.363,0.016,46205.566,3213844992,99.943,38887524,31,1256,152.104,32374.193,1.146,0.872,0.141,0,255
9,PE102_FITC,152611568,B,26.036,5.904,25,0,39,18271.912,16727.115,166943.969,0,0,42881.816,38218.184,0.069,50943.949,3973467904,99.912,48078964,25,1054,146.854,35778.094,1.101,0.909,0.125,0,255
12,PE102_FITC,152242720,B,22.51,6.249,20,0,39,15845.918,17336.369,168805.828,0,0,40981.816,37172.727,0.067,46954.312,3427031040,99.909,41467076,188,963,146.762,31723.564,1.066,0.938,0.145,0,255
15,PE102_FITC,154041568,B,24.391,5.615,25,0,39,16670.822,17986.018,164847.984,0,0,41045.453,38000,0.071,47981.254,3757180928,99.911,45461888,1133,48,129.85,30462.211,1.113,0.898,0.146,0,255
18,PE102_FITC,156902640,B,23.196,5.377,20,0,39,19094.32,18462.684,168610.391,0,0,41590.91,38154.547,0.069,49589.469,3639547392,99.912,44038524,148,875,144.25,37292.477,1.092,0.916,0.119,0,255
2,PE102_FITC,153941984,G,176.966,53.119,254,0,254,17935.926,21040.941,174283.578,0,0,42663.637,39118.184,0.064,50667.422,27242502144,99.953,329634272,750,292,135.029,37839.105,1.08,0.926,0.12,0,255
5,PE102_FITC,146650656,G,142.354,35.825,109,0,254,17192.633,15420.685,341128.594,0,0,41118.184,33036.363,0.016,46205.566,20876273664,99.95,252602912,31,1256,152.104,32374.193,1.146,0.872,0.141,0,255
8,PE102_FITC,152611568,G,168.827,37.975,254,0,254,18271.912,16727.115,166943.969,0,0,42881.816,38218.184,0.069,50943.949,25765021696,99.941,311756768,25,1054,146.854,35778.094,1.101,0.909,0.125,0,255
11,PE102_FITC,152242720,G,146.204,40.107,254,0,254,15845.918,17336.369,168805.828,0,0,40981.816,37172.727,0.067,46954.312,22258421760,99.949,269326912,188,963,146.762,31723.564,1.066,0.938,0.145,0,255
14,PE102_FITC,154041568,G,158.246,36.006,254,0,254,16670.822,17986.018,164847.984,0,0,41045.453,38000,0.071,47981.254,24376489984,99.943,294955520,1133,48,129.85,30462.211,1.113,0.898,0.146,0,255
17,PE102_FITC,156902640,G,150.582,34.456,129,0,254,19094.32,18462.684,168610.391,0,0,41590.91,38154.547,0.069,49589.469,23626661888,99.942,285882624,148,875,144.25,37292.477,1.092,0.916,0.119,0,255
1,PE102_FITC,153941984,R,0.131,4.727,0,0,255,17935.926,21040.941,174283.578,0,0,42663.637,39118.184,0.064,50667.422,20241818,0.088,244926,750,292,135.029,37839.105,1.08,0.926,0.12,0,255
4,PE102_FITC,146650656,R,0.105,4.511,0,0,255,17192.633,15420.685,341128.594,0,0,41118.184,33036.363,0.016,46205.566,15414380,0.057,186514,31,1256,152.104,32374.193,1.146,0.872,0.141,0,255
7,PE102_FITC,152611568,R,0.132,4.746,0,0,255,18271.912,16727.115,166943.969,0,0,42881.816,38218.184,0.069,50943.949,20193554,0.088,244342,25,1054,146.854,35778.094,1.101,0.909,0.125,0,255
10,PE102_FITC,152242720,R,0.134,4.757,0,0,255,15845.918,17336.369,168805.828,0,0,40981.816,37172.727,0.067,46954.312,20379338,0.091,246590,188,963,146.762,31723.564,1.066,0.938,0.145,0,255
13,PE102_FITC,154041568,R,0.132,4.728,0,0,255,16670.822,17986.018,164847.984,0,0,41045.453,38000,0.071,47981.254,20323058,0.089,245909,1133,48,129.85,30462.211,1.113,0.898,0.146,0,255
16,PE102_FITC,156902640,R,0.13,4.685,0,0,255,19094.32,18462.684,168610.391,0,0,41590.91,38154.547,0.069,49589.469,20379338,0.088,246590,148,875,144.25,37292.477,1.092,0.916,0.119,0,255
