 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
3,PE102_nilre,115546280,B,0,0,0,0,0,19641.502,17076.004,478381.25,0,0,42618.184,35681.816,0.006,49615.336,0,0,0,579,262,138.841,31816.846,1.175,0.851,0.11,0,255
6,PE102_nilre,153726528,B,0,0,0,0,0,17228.629,15749.533,260424.125,0,0,41127.273,34745.453,0.028,46217.855,0,0,0,31,1256,152.099,34132.777,1.125,0.889,0.141,0,255
9,PE102_nilre,136725200,B,0,0,0,0,0,18299.02,17292.021,590565.188,0,0,42872.727,37327.273,0.005,50931.062,0,0,0,27,1040,146.82,33050.816,1.174,0.852,0.122,0,255
12,PE102_nilre,150100656,B,0,0,0,0,0,15838.806,17352.885,223996.797,0,0,40963.637,37154.547,0.038,46684.164,0,0,0,349,778,144.047,31692.549,1.066,0.938,0.144,0,255
15,PE102_nilre,119601816,B,0,0,0,0,0,17638.199,20255.752,741795.125,0,0,41036.363,37981.816,0.003,51384.898,0,0,0,707,0,132.34,30416.516,1.121,0.892,0.117,0,255
18,PE102_nilre,112696944,B,0,0,0,0,0,20298.887,15858.058,884413,0,0,42781.816,36972.727,0.002,47955.508,0,0,0,422,908,144.303,36610.09,1.238,0.808,0.091,0,255
2,PE102_nilre,115546280,G,0,0,0,0,0,19641.502,17076.004,478381.25,0,0,42618.184,35681.816,0.006,49615.336,0,0,0,579,262,138.841,31816.846,1.175,0.851,0.11,0,255
5,PE102_nilre,153726528,G,0,0,0,0,0,17228.629,15749.533,260424.125,0,0,41127.273,34745.453,0.028,46217.855,0,0,0,31,1256,152.099,34132.777,1.125,0.889,0.141,0,255
8,PE102_nilre,136725200,G,0,0,0,0,0,18299.02,17292.021,590565.188,0,0,42872.727,37327.273,0.005,50931.062,0,0,0,27,1040,146.82,33050.816,1.174,0.852,0.122,0,255
11,PE102_nilre,150100656,G,0,0,0,0,0,15838.806,17352.885,223996.797,0,0,40963.637,37154.547,0.038,46684.164,0,0,0,349,778,144.047,31692.549,1.066,0.938,0.144,0,255
14,PE102_nilre,119601816,G,0,0,0,0,0,17638.199,20255.752,741795.125,0,0,41036.363,37981.816,0.003,51384.898,0,0,0,707,0,132.34,30416.516,1.121,0.892,0.117,0,255
17,PE102_nilre,112696944,G,0,0,0,0,0,20298.887,15858.058,884413,0,0,42781.816,36972.727,0.002,47955.508,0,0,0,422,908,144.303,36610.09,1.238,0.808,0.091,0,255
1,PE102_nilre,115546280,R,70.613,18.831,61,44,255,19641.502,17076.004,478381.25,0,0,42618.184,35681.816,0.006,49615.336,8159097856,100,98725080,579,262,138.841,31816.846,1.175,0.851,0.11,0,255
4,PE102_nilre,153726528,R,47.116,16.557,37,23,255,17228.629,15749.533,260424.125,0,0,41127.273,34745.453,0.028,46217.855,7242972672,100,87639968,31,1256,152.099,34132.777,1.125,0.889,0.141,0,255
7,PE102_nilre,136725200,R,64.162,15.652,52,47,255,18299.02,17292.021,590565.188,0,0,42872.727,37327.273,0.005,50931.062,8772615168,100,106148648,27,1040,146.82,33050.816,1.174,0.852,0.122,0,255
10,PE102_nilre,150100656,R,53.991,19.426,49,23,255,15838.806,17352.885,223996.797,0,0,40963.637,37154.547,0.038,46684.164,8104107008,100,98059696,349,778,144.047,31692.549,1.066,0.938,0.144,0,255
13,PE102_nilre,119601816,R,66.027,15.652,56,50,255,17638.199,20255.752,741795.125,0,0,41036.363,37981.816,0.003,51384.898,7896960000,100,95553216,707,0,132.34,30416.516,1.121,0.892,0.117,0,255
16,PE102_nilre,112696944,R,62.55,16.355,49,47,255,20298.887,15858.058,884413,0,0,42781.816,36972.727,0.002,47955.508,7049193984,100,85295248,422,908,144.303,36610.09,1.238,0.808,0.091,0,255
