 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
3,PE102_rhodb,141125952,B,0,0,0,0,0,18677.057,16826.035,246859.391,0,0,42654.547,35709.09,0.029,49661.695,0,0,0,571,272,138.971,32163.572,1.192,0.839,0.133,0,255
6,PE102_rhodb,154431648,B,0,0,0,0,0,17238.59,15840.575,167752.953,0,0,41127.273,35036.363,0.069,46222.109,0,0,0,31,1266,152.089,34234.941,1.125,0.889,0.141,0,255
9,PE102_rhodb,152634544,B,0,0,0,0,0,20470.023,16708.637,166468.344,0,0,45027.273,38200,0.069,50951.258,0,0,0,262,1051,146.823,36977.801,1.101,0.908,0.119,0,255
12,PE102_rhodb,152445120,B,0,0,0,0,0,18867.887,19167.406,184331.109,0,0,43990.91,38963.637,0.056,48921.664,0,0,0,161,1332,150.377,37965.953,1.069,0.936,0.122,0,255
15,PE102_rhodb,152175792,B,0,0,0,0,0,16640.824,18705.455,167974.547,0,0,41045.453,40590.91,0.068,51391.617,0,0,0,708,0,132.333,30523.223,1.113,0.899,0.137,0,255
18,PE102_rhodb,156265376,B,0,0,0,0,0,20321.375,18441.289,172175.359,0,0,42809.09,38290.91,0.066,49124.707,0,0,0,327,899,144.186,37330.516,1.094,0.914,0.115,0,255
2,PE102_rhodb,141125952,G,22.779,8.239,16,0,66,18677.057,16826.035,246859.391,0,0,42654.547,35709.09,0.029,49661.695,3214747904,99.902,38898448,571,272,138.971,32163.572,1.192,0.839,0.133,0,255
5,PE102_rhodb,154431648,G,18.262,6.662,16,0,68,17238.59,15840.575,167752.953,0,0,41127.273,35036.363,0.069,46222.109,2820239872,99.909,34124900,31,1266,152.089,34234.941,1.125,0.889,0.141,0,255
8,PE102_rhodb,152634544,G,22.723,6.525,20,0,70,20470.023,16708.637,166468.344,0,0,45027.273,38200,0.069,50951.258,3468374784,99.908,41967336,262,1051,146.823,36977.801,1.101,0.908,0.119,0,255
11,PE102_rhodb,152445120,G,20.072,8.186,16,0,89,18867.887,19167.406,184331.109,0,0,43990.91,38963.637,0.056,48921.664,3059839488,99.907,37024060,161,1332,150.377,37965.953,1.069,0.936,0.122,0,255
14,PE102_rhodb,152175792,G,23.514,7.534,23,0,106,16640.824,18705.455,167974.547,0,0,41045.453,40590.91,0.068,51391.617,3578326528,99.909,43297752,708,0,132.333,30523.223,1.113,0.899,0.137,0,255
17,PE102_rhodb,156265376,G,21.494,7.544,20,0,92,20321.375,18441.289,172175.359,0,0,42809.09,38290.91,0.066,49124.707,3358802432,99.91,40641508,327,899,144.186,37330.516,1.094,0.914,0.115,0,255
1,PE102_rhodb,141125952,R,29.381,11.405,18,13,255,18677.057,16826.035,246859.391,0,0,42654.547,35709.09,0.029,49661.695,4146379008,100,50171184,571,272,138.971,32163.572,1.192,0.839,0.133,0,255
4,PE102_rhodb,154431648,R,23.463,9.552,18,10,255,17238.59,15840.575,167752.953,0,0,41127.273,35036.363,0.069,46222.109,3623395584,100,43843088,31,1266,152.089,34234.941,1.125,0.889,0.141,0,255
7,PE102_rhodb,152634544,R,29.257,9.314,24,10,255,20470.023,16708.637,166468.344,0,0,45027.273,38200,0.069,50951.258,4465632256,100,54034148,262,1051,146.823,36977.801,1.101,0.908,0.119,0,255
10,PE102_rhodb,152445120,R,25.829,11.349,19,6,255,18867.887,19167.406,184331.109,0,0,43990.91,38963.637,0.056,48921.664,3937560832,100,47644488,161,1332,150.377,37965.953,1.069,0.936,0.122,0,255
13,PE102_rhodb,152175792,R,30.294,10.509,25,15,255,16640.824,18705.455,167974.547,0,0,41045.453,40590.91,0.068,51391.617,4610044416,100,55781536,708,0,132.333,30523.223,1.113,0.899,0.137,0,255
16,PE102_rhodb,156265376,R,27.669,10.525,24,8,255,20321.375,18441.289,172175.359,0,0,42809.09,38290.91,0.066,49124.707,4323697664,100,52316744,327,899,144.186,37330.516,1.094,0.914,0.115,0,255
