 ,Label,Channel,Area1,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
3,PLA_DAPI,B,149048672,40.367,15.389,40,12,254,28616.744,24428.148,443904.062,0,0,49200,42190.91,0.01,57894.496,6016640000,100,72801344,477,4212,40.88,42094.918,1.066,0.938,0.081,0,255
6,PLA_DAPI,B,137109920,43.565,13.529,44,12,131,23007.004,23093.406,591769.188,0,0,48545.453,41854.547,0.005,61134.031,5973223424,100,72276000,309,4599,42.927,41854.254,1.117,0.895,0.071,0,255
9,PLA_DAPI,B,146931072,49.708,14.351,47,14,254,21908.543,19831.125,220849.453,0,0,47890.91,42209.09,0.038,61075.961,7303705088,100,88374832,324,4643,43.106,42180.996,1.12,0.893,0.079,0,255
12,PLA_DAPI,B,145625040,42.848,11.578,44,14,254,22739.084,22082.709,220310.562,0,0,45590.91,41409.09,0.038,54274.285,6239795200,100,75501520,444,64,136.785,41300.621,1.159,0.863,0.085,0,255
15,PLA_DAPI,B,154757856,42.78,17.716,35,14,254,21956.98,21104.699,399863.656,0,0,46300,42281.816,0.012,60639.328,6620471296,100,80107704,151,4651,42.46,42269.785,1.157,0.864,0.083,0,255
18,PLA_DAPI,B,138622976,56.769,18.183,57,20,254,23083.764,19423.369,205749.312,0,0,43336.363,41709.09,0.041,57085.117,7869514240,100,95221128,3,4344,41.417,38190.137,1.223,0.818,0.092,0,255
2,PLA_DAPI,G,149048672,25.422,9.617,25,8,159,28616.744,24428.148,443904.062,0,0,49200,42190.91,0.01,57894.496,3789136640,100,45848552,477,4212,40.88,42094.918,1.066,0.938,0.081,0,255
5,PLA_DAPI,G,137109920,27.424,8.444,28,8,82,23007.004,23093.406,591769.188,0,0,48545.453,41854.547,0.005,61134.031,3760146432,100,45497772,309,4599,42.927,41854.254,1.117,0.895,0.071,0,255
8,PLA_DAPI,G,146931072,31.258,8.969,30,9,159,21908.543,19831.125,220849.453,0,0,47890.91,42209.09,0.038,61075.961,4592829952,100,55573244,324,4643,43.106,42180.996,1.12,0.893,0.079,0,255
11,PLA_DAPI,G,145625040,26.966,7.237,28,9,159,22739.084,22082.709,220310.562,0,0,45590.91,41409.09,0.038,54274.285,3926979840,100,47516456,444,64,136.785,41300.621,1.159,0.863,0.085,0,255
14,PLA_DAPI,G,154757856,26.929,11.071,21,9,159,21956.98,21104.699,399863.656,0,0,46300,42281.816,0.012,60639.328,4167489024,100,50426616,151,4651,42.46,42269.785,1.157,0.864,0.083,0,255
17,PLA_DAPI,G,138622976,35.667,11.367,36,13,159,23083.764,19423.369,205749.312,0,0,43336.363,41709.09,0.041,57085.117,4944305152,100,59826096,3,4344,41.417,38190.137,1.223,0.818,0.092,0,255
1,PLA_DAPI,R,149048672,0,0,0,0,0,28616.744,24428.148,443904.062,0,0,49200,42190.91,0.01,57894.496,0,0,0,477,4212,40.88,42094.918,1.066,0.938,0.081,0,255
4,PLA_DAPI,R,137109920,0,0,0,0,0,23007.004,23093.406,591769.188,0,0,48545.453,41854.547,0.005,61134.031,0,0,0,309,4599,42.927,41854.254,1.117,0.895,0.071,0,255
7,PLA_DAPI,R,146931072,0,0,0,0,0,21908.543,19831.125,220849.453,0,0,47890.91,42209.09,0.038,61075.961,0,0,0,324,4643,43.106,42180.996,1.12,0.893,0.079,0,255
10,PLA_DAPI,R,145625040,0,0,0,0,0,22739.084,22082.709,220310.562,0,0,45590.91,41409.09,0.038,54274.285,0,0,0,444,64,136.785,41300.621,1.159,0.863,0.085,0,255
13,PLA_DAPI,R,154757856,0,0,0,0,0,21956.98,21104.699,399863.656,0,0,46300,42281.816,0.012,60639.328,0,0,0,151,4651,42.46,42269.785,1.157,0.864,0.083,0,255
16,PLA_DAPI,R,138622976,0,0,0,0,0,23083.764,19423.369,205749.312,0,0,43336.363,41709.09,0.041,57085.117,0,0,0,3,4344,41.417,38190.137,1.223,0.818,0.092,0,255
