 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
3,PLA_rhodb,123911488,B,0,0,0,0,0,20111.545,20305.264,488326.25,0,0,38345.453,37381.816,0.007,39817.238,0,0,0,1027,3955,51.275,36211.117,1.134,0.882,0.114,0,255
6,PLA_rhodb,143898432,B,0,0,0,0,0,19969.945,16896.336,145545.5,0,0,39418.184,33454.547,0.085,39761.336,0,0,0,3,1388,171.983,32918.031,1.106,0.904,0.143,0,255
9,PLA_rhodb,137778928,B,0,0,0,0,0,19257.5,16469.338,145168.766,0,0,41445.453,37909.09,0.082,42005.074,0,0,0,38,1441,168.085,37178.816,1.234,0.811,0.12,0,255
12,PLA_rhodb,116676776,B,0,0,0,0,0,16406.562,16654.42,218854.688,0,0,32436.363,34909.09,0.031,35850.289,0,0,0,1279,26,104.84,31590.314,1.158,0.863,0.133,0,255
15,PLA_rhodb,123856776,B,0,0,0,0,0,17532.986,19249.646,499415.781,0,0,34254.547,34163.637,0.006,38283.684,0,0,0,98,3221,49.14,31990.18,1.099,0.91,0.141,0,255
18,PLA_rhodb,145882560,B,0,0,0,0,0,18888.641,18595.162,147755.375,0,0,40427.273,36245.453,0.084,40998.594,0,0,0,1,2759,10.024,34396.801,1.169,0.856,0.146,0,255
2,PLA_rhodb,123911488,G,75.706,16.745,66,53,196,20111.545,20305.264,488326.25,0,0,38345.453,37381.816,0.007,39817.238,9380847616,100,113508256,1027,3955,51.275,36211.117,1.134,0.882,0.114,0,255
5,PLA_rhodb,143898432,G,81.008,17.412,86,34,193,19969.945,16896.336,145545.5,0,0,39418.184,33454.547,0.085,39761.336,11656950784,100,141049104,3,1388,171.983,32918.031,1.106,0.904,0.143,0,255
8,PLA_rhodb,137778928,G,30.298,10.591,23,8,196,19257.5,16469.338,145168.766,0,0,41445.453,37909.09,0.082,42005.074,4174364928,100,50509816,38,1441,168.085,37178.816,1.234,0.811,0.12,0,255
11,PLA_rhodb,116676776,G,82.912,17.289,76,50,196,16406.562,16654.42,218854.688,0,0,32436.363,34909.09,0.031,35850.289,9673940992,100,117054688,1279,26,104.84,31590.314,1.158,0.863,0.133,0,255
14,PLA_rhodb,123856776,G,78.434,18.849,66,53,196,17532.986,19249.646,499415.781,0,0,34254.547,34163.637,0.006,38283.684,9714564096,100,117546224,98,3221,49.14,31990.18,1.099,0.91,0.141,0,255
17,PLA_rhodb,145882560,G,113.807,34.381,93,17,196,18888.641,18595.162,147755.375,0,0,40427.273,36245.453,0.084,40998.594,16602490880,100,200890144,1,2759,10.024,34396.801,1.169,0.856,0.146,0,255
1,PLA_rhodb,123911488,R,98.026,21.754,84,69,254,20111.545,20305.264,488326.25,0,0,38345.453,37381.816,0.007,39817.238,12146501632,100,146972672,1027,3955,51.275,36211.117,1.134,0.882,0.114,0,255
4,PLA_rhodb,143898432,R,104.91,22.633,112,44,251,19969.945,16896.336,145545.5,0,0,39418.184,33454.547,0.085,39761.336,15096332288,100,182665616,3,1388,171.983,32918.031,1.106,0.904,0.143,0,255
7,PLA_rhodb,137778928,R,38.984,13.768,31,10,254,19257.5,16469.338,145168.766,0,0,41445.453,37909.09,0.082,42005.074,5371161600,100,64991056,38,1441,168.085,37178.816,1.234,0.811,0.12,0,255
10,PLA_rhodb,116676776,R,107.385,22.474,100,64,254,16406.562,16654.42,218854.688,0,0,32436.363,34909.09,0.031,35850.289,12529334272,100,151604944,1279,26,104.84,31590.314,1.158,0.863,0.133,0,255
13,PLA_rhodb,123856776,R,101.574,24.488,87,69,254,17532.986,19249.646,499415.781,0,0,34254.547,34163.637,0.006,38283.684,12580570112,100,152224896,98,3221,49.14,31990.18,1.099,0.91,0.141,0,255
16,PLA_rhodb,145882560,R,147.542,44.68,254,22,254,18888.641,18595.162,147755.375,0,0,40427.273,36245.453,0.084,40998.594,21523861504,100,260438720,1,2759,10.024,34396.801,1.169,0.856,0.146,0,255
