 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
3,PS_rhodb,35176448,B,0,0,0,0,0,17067.967,14703.028,149931.406,0,0,33200,29427.273,0.02,33740.883,0,0,0,21,1214,147.522,29409.057,1.158,0.863,0.048,0,255
6,PS_rhodb,65415784,B,0,0,0,0,0,20974.594,21422.336,156719.516,0,0,45263.637,39500,0.033,49514.387,0,0,0,785,546,140.356,37825.027,1.1,0.909,0.053,0,255
9,PS_rhodb,43019752,B,0,0,0,0,0,21038.352,16925.186,99640.32,0,0,43400,33536.363,0.054,48840.559,0,0,0,3,1066,152.629,32453.717,1.117,0.895,0.041,0,255
12,PS_rhodb,45732976,B,0,0,0,0,0,15420.529,16189.588,113034.523,0,0,38981.816,30809.092,0.045,43652.566,0,0,0,3,1174,153.173,30806.695,1.125,0.889,0.048,0,255
15,PS_rhodb,52428924,B,0,0,0,0,0,17642.469,18349.984,108718.406,0,0,39209.09,33609.09,0.056,46020.52,0,0,0,0,3697,31.593,30556.232,1.072,0.933,0.054,0,255
18,PS_rhodb,46268760,B,0,0,0,0,0,15199.138,16149.377,98848.891,0,0,38245.453,32763.637,0.06,44893.652,0,0,0,299,585,142.313,31280.828,1.102,0.907,0.05,0,255
2,PS_rhodb,35176448,G,191.478,10.691,196,150,196,17067.967,14703.028,149931.406,0,0,33200,29427.273,0.02,33740.883,6735502336,100,81499584,21,1214,147.522,29409.057,1.158,0.863,0.048,0,255
5,PS_rhodb,65415784,G,169.419,28.507,196,0,196,20974.594,21422.336,156719.516,0,0,45263.637,39500,0.033,49514.387,11082658816,99.95,134100168,785,546,140.356,37825.027,1.1,0.909,0.053,0,255
8,PS_rhodb,43019752,G,186.936,17.089,196,0,196,21038.352,16925.186,99640.32,0,0,43400,33536.363,0.054,48840.559,8041951744,99.979,97307616,3,1066,152.629,32453.717,1.117,0.895,0.041,0,255
11,PS_rhodb,45732976,G,181.302,27.869,196,0,196,15420.529,16189.588,113034.523,0,0,38981.816,30809.092,0.045,43652.566,8291482624,99.819,100326936,3,1174,153.173,30806.695,1.125,0.889,0.048,0,255
14,PS_rhodb,52428924,G,188.977,19.801,196,63,196,17642.469,18349.984,108718.406,0,0,39209.09,33609.09,0.056,46020.52,9907838976,100,119884856,0,3697,31.593,30556.232,1.072,0.933,0.054,0,255
17,PS_rhodb,46268760,G,184.264,22.002,196,0,196,15199.138,16149.377,98848.891,0,0,38245.453,32763.637,0.06,44893.652,8525671424,99.935,103160624,299,585,142.313,31280.828,1.102,0.907,0.05,0,255
1,PS_rhodb,35176448,R,248.205,13.766,254,194,254,17067.967,14703.028,149931.406,0,0,33200,29427.273,0.02,33740.883,8730961920,100,105644640,21,1214,147.522,29409.057,1.158,0.863,0.048,0,255
4,PS_rhodb,65415784,R,219.83,36.613,254,94,255,20974.594,21422.336,156719.516,0,0,45263.637,39500,0.033,49514.387,14380362752,100,174002400,785,546,140.356,37825.027,1.1,0.909,0.053,0,255
7,PS_rhodb,43019752,R,242.401,21.787,254,144,255,21038.352,16925.186,99640.32,0,0,43400,33536.363,0.054,48840.559,10428022784,100,126179072,3,1066,152.629,32453.717,1.117,0.895,0.041,0,255
10,PS_rhodb,45732976,R,235.391,34.788,254,62,255,15420.529,16189.588,113034.523,0,0,38981.816,30809.092,0.045,43652.566,10765133824,100,130258120,3,1174,153.173,30806.695,1.125,0.889,0.048,0,255
13,PS_rhodb,52428924,R,244.96,25.632,254,81,254,17642.469,18349.984,108718.406,0,0,39209.09,33609.09,0.056,46020.52,12843005952,100,155400384,0,3697,31.593,30556.232,1.072,0.933,0.054,0,255
16,PS_rhodb,46268760,R,239.041,27.811,254,103,255,15199.138,16149.377,98848.891,0,0,38245.453,32763.637,0.06,44893.652,11060117504,100,133827416,299,585,142.313,31280.828,1.102,0.907,0.05,0,255
