 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
3,pet_rhodb,57143884,B,0,0,0,0,0,19465.781,18525.424,160860.625,0,0,40772.727,39172.727,0.028,44945.844,0,0,0,1645,115,121.973,38171.012,1.14,0.877,0.048,0,255
6,pet_rhodb,69158680,B,0,0,0,0,0,19919.535,21916.053,403710.281,0,0,43118.184,40327.273,0.005,51394.773,0,0,0,721,314,135.351,34956.359,1.094,0.914,0.057,0,255
9,pet_rhodb,62638596,B,0,0,0,0,0,19386.709,25173.65,165344.016,0,0,38427.273,42918.184,0.029,49948.426,0,0,0,0,909,140.295,35627.543,1.218,0.821,0.047,0,255
12,pet_rhodb,46480580,B,0,0,0,0,0,22958.492,17603.719,112864.242,0,0,42936.363,37954.547,0.046,51351.75,0,0,0,326,531,141.115,35414.629,1.187,0.842,0.039,0,255
15,pet_rhodb,51279008,B,0,0,0,0,0,15399.612,16691.309,111084.281,0,0,35427.273,34963.637,0.052,43313.551,0,0,0,533,472,134.915,28908.889,1.056,0.947,0.062,0,255
18,pet_rhodb,60915704,B,0,0,0,0,0,16379.153,19706.451,237671.781,0,0,35145.453,38054.547,0.014,43746.109,0,0,0,903,392,127.961,35131.18,1.21,0.826,0.055,0,255
2,pet_rhodb,57143884,G,74.545,26.587,73,0,196,19465.781,18525.424,160860.625,0,0,40772.727,39172.727,0.028,44945.844,4259780608,99.764,51543344,1645,115,121.973,38171.012,1.14,0.877,0.048,0,255
5,pet_rhodb,69158680,G,92.657,21.674,66,0,196,19919.535,21916.053,403710.281,0,0,43118.184,40327.273,0.005,51394.773,6408010240,99.948,77536920,721,314,135.351,34956.359,1.094,0.914,0.057,0,255
8,pet_rhodb,62638596,G,88.705,25.206,86,0,196,19386.709,25173.65,165344.016,0,0,38427.273,42918.184,0.029,49948.426,5556380672,99.785,67232208,0,909,140.295,35627.543,1.218,0.821,0.047,0,255
11,pet_rhodb,46480580,G,112.231,32.422,100,0,196,22958.492,17603.719,112864.242,0,0,42936.363,37954.547,0.046,51351.75,5216580096,99.711,63120616,326,531,141.115,35414.629,1.187,0.842,0.039,0,255
14,pet_rhodb,51279008,G,126.682,29.677,126,0,196,15399.612,16691.309,111084.281,0,0,35427.273,34963.637,0.052,43313.551,6496135680,99.743,78603248,533,472,134.915,28908.889,1.056,0.947,0.062,0,255
17,pet_rhodb,60915704,G,125.199,24.529,116,0,196,16379.153,19706.451,237671.781,0,0,35145.453,38054.547,0.014,43746.109,7626608128,99.953,92281960,903,392,127.961,35131.18,1.21,0.826,0.055,0,255
1,pet_rhodb,57143884,R,96.863,34.418,95,25,255,19465.781,18525.424,160860.625,0,0,40772.727,39172.727,0.028,44945.844,5535143424,100,66975232,1645,115,121.973,38171.012,1.14,0.877,0.048,0,255
4,pet_rhodb,69158680,R,120.168,28.148,88,77,255,19919.535,21916.053,403710.281,0,0,43118.184,40327.273,0.005,51394.773,8310668800,100,100559088,721,314,135.351,34956.359,1.094,0.914,0.057,0,255
7,pet_rhodb,62638596,R,115.242,32.443,114,28,255,19386.709,25173.65,165344.016,0,0,38427.273,42918.184,0.029,49948.426,7218597888,100,87345040,0,909,140.295,35627.543,1.218,0.821,0.047,0,255
10,pet_rhodb,46480580,R,145.936,41.473,128,30,255,22958.492,17603.719,112864.242,0,0,42936.363,37954.547,0.046,51351.75,6783210496,100,82076848,326,531,141.115,35414.629,1.187,0.842,0.039,0,255
13,pet_rhodb,51279008,R,164.674,37.726,254,42,255,15399.612,16691.309,111084.281,0,0,35427.273,34963.637,0.052,43313.551,8444302848,100,102176064,533,472,134.915,28908.889,1.056,0.947,0.062,0,255
16,pet_rhodb,60915704,R,162.465,31.718,153,106,255,16379.153,19706.451,237671.781,0,0,35145.453,38054.547,0.014,43746.109,9896668160,100,119749680,903,392,127.961,35131.18,1.21,0.826,0.055,0,255
