 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,6_PBS_DAPI.tif_RGB,8435289,R,2.553,20.847,0,0,255,24654.131,12582.942,180775.156,0,0,46681.816,41736.363,0.003,56457.945,21537438,1.631,260603,549,165,137.081,41351.672,1.072,0.932,0.005,0,255
2,6_PBS_DAPI.tif_RGB,8435289,G,36.488,15.779,28,0,159,24654.131,12582.942,180775.156,0,0,46681.816,41736.363,0.003,56457.945,307787616,99.57,3724230,549,165,137.081,41351.672,1.072,0.932,0.005,0,255
3,6_PBS_DAPI.tif_RGB,8435289,B,58.052,25.237,44,0,254,24654.131,12582.942,180775.156,0,0,46681.816,41736.363,0.003,56457.945,489686048,99.618,5925201,549,165,137.081,41351.672,1.072,0.932,0.005,0,255
4,5_PBS_DAPI.tif_RGB,43956944,R,0.491,9.191,0,0,255,29286.885,23665.553,245900.391,0,0,47290.91,42745.453,0.009,56121.574,21585454,0.315,261184,362,4598,47.206,42597.082,1.497,0.668,0.025,0,255
5,5_PBS_DAPI.tif_RGB,43956944,G,33.023,10.6,25,0,159,29286.885,23665.553,245900.391,0,0,47290.91,42745.453,0.009,56121.574,1451568128,99.918,17563976,362,4598,47.206,42597.082,1.497,0.668,0.025,0,255
6,5_PBS_DAPI.tif_RGB,43956944,B,52.542,16.943,33,0,254,29286.885,23665.553,245900.391,0,0,47290.91,42745.453,0.009,56121.574,2309578240,99.928,27945898,362,4598,47.206,42597.082,1.497,0.668,0.025,0,255
7,4_PBS_DAPI.tif_RGB,24309752,R,0.887,12.343,0,0,255,27186.971,21583.588,212761.219,0,0,47136.363,41872.727,0.007,56164.52,21568842,0.568,260983,0,790,144.473,40962.465,1.451,0.689,0.014,0,255
8,4_PBS_DAPI.tif_RGB,24309752,G,34.075,11.216,33,0,159,27186.971,21583.588,212761.219,0,0,47136.363,41872.727,0.007,56164.52,828358208,99.858,10023134,0,790,144.473,40962.465,1.451,0.689,0.014,0,255
9,4_PBS_DAPI.tif_RGB,24309752,B,54.24,17.915,52,0,254,27186.971,21583.588,212761.219,0,0,47136.363,41872.727,0.007,56164.52,1318560768,99.876,15954586,0,790,144.473,40962.465,1.451,0.689,0.014,0,255
10,3_PBS_DAPI.tif_RGB,10242893,R,2.105,18.948,0,0,255,30017.447,20742.844,169307.297,0,0,46854.547,41045.453,0.004,59288.352,21563966,1.347,260924,2,319,142.069,40752.039,1.393,0.718,0.006,0,255
11,3_PBS_DAPI.tif_RGB,10242893,G,33.382,12.064,28,0,159,30017.447,20742.844,169307.297,0,0,46854.547,41045.453,0.004,59288.352,341932576,99.647,4137384,2,319,142.069,40752.039,1.393,0.718,0.006,0,255
12,3_PBS_DAPI.tif_RGB,10242893,B,53.164,19.244,42,0,254,30017.447,20742.844,169307.297,0,0,46854.547,41045.453,0.004,59288.352,544554240,99.69,6589106,2,319,142.069,40752.039,1.393,0.718,0.006,0,255
13,2_PBS_DAPI.tif_RGB,47298760,R,0.459,8.868,0,0,255,24893.393,15888.668,464019.312,0,0,47236.363,40390.91,0.003,58369.426,21723802,0.3,262858,0,370,141.488,40042.586,1.393,0.718,0.027,0,255
14,2_PBS_DAPI.tif_RGB,47298760,G,21.173,11.498,15,0,159,24893.393,15888.668,464019.312,0,0,47236.363,40390.91,0.003,58369.426,1001447552,99.929,12117515,0,370,141.488,40042.586,1.393,0.718,0.027,0,255
