 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,6_PBS_nilRe.tif_RGB,91796608,R,250.667,12.402,254,176,255,14102.367,10516.609,143697.109,0,0,39254.547,34436.363,0.056,44023.434,23010361344,100,278425376,1004,257,133.184,23714.701,1.355,0.738,0.115,0,255
2,6_PBS_nilRe.tif_RGB,91796608,G,0,0,0,0,0,14102.367,10516.609,143697.109,0,0,39254.547,34436.363,0.056,44023.434,0,0,0,1004,257,133.184,23714.701,1.355,0.738,0.115,0,255
3,6_PBS_nilRe.tif_RGB,91796608,B,0,0,0,0,0,14102.367,10516.609,143697.109,0,0,39254.547,34436.363,0.056,44023.434,0,0,0,1004,257,133.184,23714.701,1.355,0.738,0.115,0,255
4,5_PBS_nilRe.tif_RGB,98933888,R,251.916,9.645,254,182,255,15711.494,10035.347,140474.125,0,0,36818.184,24772.727,0.063,42008.996,24923023360,100,301568576,11,480,150.933,21658.424,1.317,0.76,0.161,0,255
5,5_PBS_nilRe.tif_RGB,98933888,G,0,0,0,0,0,15711.494,10035.347,140474.125,0,0,36818.184,24772.727,0.063,42008.996,0,0,0,11,480,150.933,21658.424,1.317,0.76,0.161,0,255
6,5_PBS_nilRe.tif_RGB,98933888,B,0,0,0,0,0,15711.494,10035.347,140474.125,0,0,36818.184,24772.727,0.063,42008.996,0,0,0,11,480,150.933,21658.424,1.317,0.76,0.161,0,255
7,4_PBS_nilRe.tif_RGB,88547768,R,252.274,7.716,254,194,255,14806.222,12836.551,128016.992,0,0,34463.637,32045.455,0.068,39890.023,22338267136,100,270293024,864,246,131.841,26260.643,1.166,0.858,0.123,0,255
8,4_PBS_nilRe.tif_RGB,88547768,G,0,0,0,0,0,14806.222,12836.551,128016.992,0,0,34463.637,32045.455,0.068,39890.023,0,0,0,864,246,131.841,26260.643,1.166,0.858,0.123,0,255
9,4_PBS_nilRe.tif_RGB,88547768,B,0,0,0,0,0,14806.222,12836.551,128016.992,0,0,34463.637,32045.455,0.068,39890.023,0,0,0,864,246,131.841,26260.643,1.166,0.858,0.123,0,255
10,3_PBS_nilRe.tif_RGB,85921904,R,248.449,17.684,254,155,255,14720.564,13278.362,129349.375,0,0,37390.91,33081.816,0.065,43845.492,21347244032,100,258301648,493,452,138.64,26969.775,1.295,0.772,0.12,0,255
