 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
1,6_PBS_RhodB.tif_RGB,116537352,R,143.175,78.583,254,32,255,13964.105,16235.465,498855.688,0,0,39309.09,39527.273,0.006,51848.941,16685272064,100,201891792,633,0,130.328,30660.486,1.253,0.798,0.11,0,255
2,6_PBS_RhodB.tif_RGB,116537352,G,110.361,60.636,196,0,196,13964.105,16235.465,498855.688,0,0,39309.09,39527.273,0.006,51848.941,12861138944,99.882,155619776,633,0,130.328,30660.486,1.253,0.798,0.11,0,255
3,6_PBS_RhodB.tif_RGB,116537352,B,0,0,0,0,0,13964.105,16235.465,498855.688,0,0,39309.09,39527.273,0.006,51848.941,0,0,0,633,0,130.328,30660.486,1.253,0.798,0.11,0,255
4,5_PBS_RhodB.tif_RGB,99668184,R,194.357,62.706,254,64,255,18458.518,12853.659,180284.344,0,0,39436.363,27563.637,0.039,42773.602,19371184128,100,234391312,0,1210,157.217,23262.994,1.317,0.759,0.148,0,255
5,5_PBS_RhodB.tif_RGB,99668184,G,149.771,48.629,196,0,196,18458.518,12853.659,180284.344,0,0,39436.363,27563.637,0.039,42773.602,14927374336,99.909,180621232,0,1210,157.217,23262.994,1.317,0.759,0.148,0,255
6,5_PBS_RhodB.tif_RGB,99668184,B,0,0,0,0,0,18458.518,12853.659,180284.344,0,0,39436.363,27563.637,0.039,42773.602,0,0,0,0,1210,157.217,23262.994,1.317,0.759,0.148,0,255
7,4_PBS_RhodB.tif_RGB,96386448,R,168.869,71.086,254,38,255,19553.84,17410.787,289818.406,0,0,41518.184,36681.816,0.014,51138.762,16276728832,100,196948416,2,748,144.244,26357.148,1.166,0.857,0.104,0,255
8,4_PBS_RhodB.tif_RGB,96386448,G,130.116,54.975,196,0,196,19553.84,17410.787,289818.406,0,0,41518.184,36681.816,0.014,51138.762,12541459456,99.857,151751648,2,748,144.244,26357.148,1.166,0.857,0.104,0,255
9,4_PBS_RhodB.tif_RGB,96386448,B,0,0,0,0,0,19553.84,17410.787,289818.406,0,0,41518.184,36681.816,0.014,51138.762,0,0,0,2,748,144.244,26357.148,1.166,0.857,0.104,0,255
10,3_PBS_RhodB.tif_RGB,92511240,R,159.348,71.545,254,33,255,23280.328,17081.629,220955.828,0,0,45890.91,36763.637,0.024,56538.996,14741502976,100,178372192,323,0,139.441,29307.188,1.279,0.782,0.09,0,255
11,3_PBS_RhodB.tif_RGB,92511240,G,122.756,55.288,196,0,196,23280.328,17081.629,220955.828,0,0,45890.91,36763.637,0.024,56538.996,11356294144,99.851,137411168,323,0,139.441,29307.188,1.279,0.782,0.09,0,255
12,3_PBS_RhodB.tif_RGB,92511240,B,0,0,0,0,0,23280.328,17081.629,220955.828,0,0,45890.91,36763.637,0.024,56538.996,0,0,0,323,0,139.441,29307.188,1.279,0.782,0.09,0,255
13,2_PBS_RhodB.tif_RGB,111537600,R,170.302,69.827,254,52,255,22758.961,15439.613,527427.625,0,0,43445.453,38827.273,0.005,52636.383,18995038208,100,229839968,144,801,143.18,30543.842,1.059,0.944,0.104,0,255
