iter	Passed	Remaining
0	2	2205
1	4	2108
2	4	1504
3	8	2139
4	11	2248
5	11	1954
6	12	1745
7	13	1691
8	15	1687
9	16	1630
10	17	1533
11	18	1483
12	19	1459
13	19	1404
14	23	1560
15	24	1511
16	25	1474
17	26	1459
18	28	1469
19	29	1423
20	30	1418
21	30	1376
22	33	1423
23	36	1465
24	36	1418
25	36	1382
26	37	1367
27	38	1329
28	39	1324
29	41	1330
30	43	1373
31	45	1383
32	46	1355
33	47	1345
34	49	1356
35	49	1333
36	50	1320
37	51	1309
38	51	1279
39	54	1315
40	55	1296
41	56	1297
42	58	1293
43	59	1295
44	60	1277
45	61	1267
46	61	1256
47	62	1239
48	63	1230
49	64	1223
50	65	1219
51	66	1208
52	67	1203
53	67	1189
54	69	1186
55	69	1173
56	71	1180
57	72	1182
58	73	1172
59	74	1172
60	75	1167
61	76	1162
62	77	1157
63	79	1157
64	79	1146
65	80	1145
66	83	1163
67	84	1162
68	86	1168
69	88	1170
70	90	1178
71	90	1170
72	92	1176
73	93	1171
74	95	1183
75	96	1173
76	98	1180
77	100	1182
78	100	1172
79	101	1165
80	103	1169
81	103	1158
82	105	1161
83	106	1160
84	107	1159
85	108	1151
86	109	1144
87	110	1142
88	111	1140
89	113	1148
90	115	1154
91	116	1152
92	117	1150
93	118	1142
94	119	1140
95	120	1133
96	122	1139
97	123	1139
98	124	1137
99	126	1136
100	127	1131
101	129	1139
102	130	1135
103	131	1130
104	131	1124
105	133	1125
106	134	1124
107	135	1121
108	136	1114
109	138	1117
110	138	1110
111	139	1107
112	140	1102
113	141	1102
114	144	1108
115	146	1115
116	147	1114
117	149	1114
118	152	1128
119	153	1127
120	154	1120
121	155	1121
122	159	1134
123	159	1127
124	160	1125
125	162	1128
126	164	1127
127	165	1127
128	166	1124
129	167	1123
130	168	1120
131	170	1119
132	173	1128
133	175	1137
134	178	1144
135	180	1144
136	180	1139
137	181	1134
138	182	1132
139	183	1130
140	184	1124
141	185	1119
142	185	1114
143	186	1111
144	187	1107
145	188	1103
146	189	1099
147	190	1095
148	191	1091
149	192	1088
150	192	1082
151	193	1077
152	193	1073
153	194	1068
154	195	1064
155	196	1061
156	197	1058
157	199	1061
158	200	1059
159	201	1055
160	201	1051
161	202	1048
162	203	1043
163	204	1040
164	205	1038
165	205	1033
166	206	1029
167	207	1028
168	208	1024
169	211	1030
170	212	1030
171	213	1028
172	214	1025
173	215	1021
174	215	1016
175	216	1012
176	217	1010
177	217	1006
178	218	1002
179	219	1000
180	220	995
181	222	998
182	223	997
183	224	994
184	224	990
185	226	989
186	230	1000
187	231	998
188	232	997
189	232	992
190	233	988
191	234	985
192	236	987
193	237	985
194	237	981
195	239	980
196	239	977
197	240	974
198	242	975
199	243	973
200	244	973
201	245	970
202	248	974
203	249	974
204	250	971
205	251	967
206	251	963
207	252	960
208	252	956
209	253	953
210	254	950
211	254	946
212	255	943
213	256	940
214	256	937
215	257	934
216	257	930
217	258	927
218	259	924
219	259	921
220	260	917
221	261	914
222	261	911
223	262	908
224	262	904
225	263	901
226	263	897
227	264	894
228	264	890
229	265	887
230	265	883
231	266	880
232	266	877
233	267	874
234	267	871
235	268	868
236	268	865
237	269	861
238	269	858
239	270	855
240	270	853
241	271	850
242	272	847
243	272	844
244	273	842
245	273	839
246	274	836
247	274	833
248	275	830
249	275	827
250	276	824
251	276	821
252	277	818
253	277	815
254	278	812
255	278	810
256	279	807
257	279	804
258	280	801
259	280	799
260	281	796
261	281	793
262	282	791
263	282	788
264	283	785
265	283	783
266	284	780
267	284	777
268	285	775
269	285	772
270	286	770
271	286	767
272	287	764
273	287	762
274	288	761
275	289	758
276	289	756
277	290	753
278	290	751
279	291	748
280	291	746
281	292	744
282	292	741
283	293	739
284	293	736
285	294	734
286	294	731
287	295	729
288	295	727
289	296	724
290	296	722
291	297	720
292	297	718
293	298	716
294	298	713
295	299	711
296	299	709
297	300	707
298	300	705
299	301	702
300	301	700
301	302	698
302	302	696
303	303	694
304	303	692
305	304	690
306	304	687
307	305	685
308	305	683
309	306	681
310	306	679
311	307	677
312	307	675
313	308	673
314	308	671
315	309	669
316	309	667
317	310	665
318	310	663
319	311	660
320	311	658
321	311	656
322	312	654
323	312	652
324	313	651
325	314	649
326	314	647
327	315	646
328	316	644
329	316	643
330	317	641
331	317	639
332	318	638
333	319	636
334	319	634
335	320	632
336	320	631
337	321	629
338	321	627
339	322	625
340	322	624
341	323	622
342	324	620
343	324	619
344	325	617
345	325	615
346	326	614
347	326	612
348	327	610
349	328	609
350	328	607
351	328	605
352	329	603
353	329	602
354	330	600
355	330	598
356	331	596
357	331	595
358	332	593
359	333	592
360	333	590
361	334	589
362	334	587
363	335	585
364	335	583
365	336	582
366	336	580
367	337	578
368	337	577
369	338	575
370	338	573
371	338	572
372	339	570
373	339	568
374	340	567
375	340	565
376	341	564
377	341	562
378	342	560
379	342	559
380	343	557
381	343	555
382	344	554
383	344	552
384	345	551
385	345	549
386	345	547
387	346	546
388	346	544
389	347	543
390	347	542
391	348	540
392	348	538
393	349	537
394	349	535
395	350	534
396	350	532
397	351	531
398	351	529
399	352	528
400	352	526
401	353	525
402	353	523
403	354	522
404	354	520
405	355	519
406	355	517
407	355	516
408	356	514
409	356	513
410	357	511
411	357	510
412	358	509
413	358	507
414	359	506
415	359	505
416	360	503
417	360	502
418	361	500
419	361	499
420	362	498
421	362	496
422	363	495
423	363	494
424	364	492
425	364	491
426	365	489
427	365	488
428	365	486
429	366	485
430	366	484
431	367	483
432	367	481
433	368	480
434	368	478
435	369	477
436	369	476
437	370	474
438	370	473
439	371	472
440	371	470
441	371	469
442	372	468
443	372	466
444	373	465
445	373	464
446	374	463
447	374	461
448	375	460
449	375	459
450	376	458
451	376	456
452	377	455
453	378	454
454	378	453
455	379	452
456	379	451
457	380	449
458	380	448
459	381	447
460	381	446
461	382	444
462	382	443
463	383	442
464	383	441
465	384	440
466	384	439
467	385	437
468	385	436
469	386	435
470	386	434
471	387	433
472	387	431
473	388	430
474	388	429
475	389	428
476	389	427
477	390	426
478	391	425
479	391	424
480	391	422
481	392	421
482	393	420
483	393	419
484	394	418
485	394	417
486	395	416
487	395	414
488	395	413
489	396	412
490	396	411
491	397	410
492	397	409
493	398	407
494	398	406
495	399	405
496	399	404
497	400	403
498	400	402
499	401	401
500	401	400
501	402	398
502	402	397
503	403	396
504	403	395
505	404	394
506	404	393
507	405	392
508	405	391
509	405	390
510	406	388
511	406	387
512	407	386
513	408	385
514	408	384
515	409	383
516	409	382
517	410	381
518	410	380
519	411	379
520	411	378
521	412	377
522	412	376
523	413	375
524	413	374
525	413	373
526	414	371
527	414	370
528	415	369
529	415	368
530	416	367
531	416	366
532	417	365
533	417	364
534	418	363
535	418	362
536	419	361
537	419	360
538	419	359
539	420	358
540	420	357
541	421	355
542	421	354
543	422	354
544	423	353
545	423	352
546	424	351
547	424	350
548	425	349
549	425	348
550	425	347
551	426	345
552	426	344
553	427	343
554	427	342
555	428	341
556	428	340
557	429	339
558	429	338
559	430	337
560	430	336
561	430	335
562	432	335
563	432	334
564	433	333
565	433	332
566	433	331
567	434	330
568	434	329
569	435	328
570	435	327
571	436	326
572	437	325
573	437	324
574	438	323
575	438	322
576	439	321
577	439	320
578	440	319
579	440	318
580	440	318
581	441	317
582	441	316
583	442	315
584	442	314
585	443	313
586	443	312
587	444	311
588	444	310
589	445	309
590	445	308
591	446	307
592	446	306
593	447	305
594	447	304
595	447	303
596	448	302
597	448	301
598	449	300
599	449	299
600	450	298
601	450	297
602	451	296
603	451	296
604	452	295
605	452	294
606	453	293
607	453	292
608	454	291
609	454	290
610	455	289
611	455	288
612	456	288
613	456	287
614	457	286
615	457	285
616	458	284
617	458	283
618	459	282
619	459	281
620	460	280
621	460	279
622	461	279
623	461	278
624	462	277
625	462	276
626	463	275
627	463	274
628	463	273
629	464	272
630	464	271
631	465	270
632	465	270
633	466	269
634	466	268
635	467	267
636	467	266
637	468	265
638	468	264
639	469	263
640	469	263
641	470	262
642	470	261
643	471	260
644	471	259
645	471	258
646	472	257
647	472	256
648	473	255
649	473	255
650	474	254
651	474	253
652	475	252
653	475	251
654	476	250
655	476	249
656	477	249
657	477	248
658	478	247
659	478	246
660	478	245
661	479	244
662	479	243
663	480	243
664	480	242
665	481	241
666	481	240
667	482	239
668	482	238
669	483	237
670	483	237
671	484	236
672	484	235
673	485	234
674	485	233
675	485	232
676	486	232
677	486	231
678	487	230
679	487	229
680	488	228
681	488	227
682	489	227
683	489	226
684	490	225
685	490	224
686	491	223
687	491	222
688	492	222
689	492	221
690	493	220
691	493	219
692	494	218
693	494	218
694	495	217
695	495	216
696	496	215
697	497	215
698	497	214
699	498	213
700	498	212
701	499	211
702	499	211
703	500	210
704	500	209
705	501	208
706	501	207
707	502	207
708	502	206
709	503	205
710	503	204
711	504	203
712	504	203
713	505	202
714	505	201
715	506	200
716	506	199
717	507	199
718	507	198
719	508	197
720	508	196
721	508	195
722	509	195
723	510	194
724	510	193
725	511	192
726	511	192
727	512	191
728	512	190
729	513	189
730	513	189
731	514	188
732	514	187
733	515	186
734	516	186
735	516	185
736	517	184
737	517	183
738	518	182
739	519	182
740	519	181
741	520	180
742	520	180
743	521	179
744	521	178
745	522	177
746	522	177
747	523	176
748	523	175
749	524	174
750	524	173
751	525	173
752	525	172
753	526	171
754	526	170
755	527	170
756	528	169
757	528	168
758	529	168
759	529	167
760	530	166
761	530	165
762	531	164
763	531	164
764	532	163
765	532	162
766	532	161
767	533	161
768	533	160
769	534	159
770	534	158
771	535	158
772	535	157
773	536	156
774	536	155
775	537	155
776	537	154
777	538	153
778	538	152
779	539	152
780	539	151
781	540	150
782	540	149
783	541	149
784	541	148
785	542	147
786	543	147
787	544	146
788	544	145
789	545	144
790	545	144
791	545	143
792	546	142
793	546	141
794	547	141
795	547	140
796	548	139
797	548	138
798	549	138
799	549	137
800	550	136
801	550	135
802	550	135
803	551	134
804	551	133
805	552	132
806	553	132
807	553	131
808	554	130
809	554	130
810	555	129
811	555	128
812	556	127
813	556	127
814	557	126
815	558	125
816	558	125
817	559	124
818	559	123
819	560	122
820	560	122
821	561	121
822	561	120
823	562	120
824	562	119
825	562	118
826	563	117
827	564	117
828	564	116
829	565	115
830	565	115
831	566	114
832	566	113
833	567	112
834	567	112
835	567	111
836	568	110
837	568	109
838	569	109
839	569	108
840	570	107
841	570	107
842	571	106
843	571	105
844	572	104
845	572	104
846	573	103
847	573	102
848	574	102
849	574	101
850	575	100
851	575	99
852	575	99
853	576	98
854	576	97
855	577	97
856	577	96
857	578	95
858	578	94
859	579	94
860	579	93
861	579	92
862	580	92
863	580	91
864	581	90
865	581	90
866	582	89
867	582	88
868	583	87
869	583	87
870	584	86
871	584	85
872	585	85
873	585	84
874	586	83
875	586	83
876	587	82
877	587	81
878	588	80
879	588	80
880	589	79
881	589	78
882	590	78
883	590	77
884	591	76
885	591	76
886	591	75
887	592	74
888	592	74
889	593	73
890	593	72
891	594	71
892	594	71
893	595	70
894	595	69
895	596	69
896	596	68
897	596	67
898	597	67
899	597	66
900	598	65
901	598	65
902	599	64
903	599	63
904	600	63
905	600	62
906	601	61
907	601	60
908	602	60
909	602	59
910	603	58
911	603	58
912	604	57
913	604	56
914	605	56
915	605	55
916	606	54
917	606	54
918	607	53
919	607	52
920	607	52
921	608	51
922	608	50
923	609	50
924	609	49
925	610	48
926	610	48
927	611	47
928	611	46
929	612	46
930	612	45
931	613	44
932	613	44
933	614	43
934	614	42
935	615	42
936	615	41
937	616	40
938	616	40
939	616	39
940	617	38
941	617	38
942	618	37
943	618	36
944	619	36
945	619	35
946	620	34
947	620	34
948	620	33
949	621	32
950	621	32
951	622	31
952	622	30
953	623	30
954	623	29
955	624	28
956	624	28
957	625	27
958	625	26
959	626	26
960	626	25
961	627	24
962	627	24
963	628	23
964	628	22
965	629	22
966	629	21
967	630	20
968	630	20
969	631	19
970	631	18
971	631	18
972	632	17
973	632	16
974	633	16
975	633	15
976	634	14
977	634	14
978	635	13
979	635	12
980	636	12
981	636	11
982	637	11
983	637	10
984	637	9
985	638	9
986	638	8
987	639	7
988	639	7
989	640	6
990	640	5
991	641	5
992	641	4
993	641	3
994	642	3
995	642	2
996	643	1
997	643	1
998	644	0
999	645	0
0
939	1386	88
940	1387	86
941	1388	85
942	1389	83
943	1390	82
944	1390	80
945	1391	79
946	1391	77
947	1392	76
948	1393	74
949	1396	73
950	1397	72
951	1398	70
952	1399	69
953	1400	67
954	1401	66
955	1402	64
956	1404	63
957	1406	61
958	1407	60
959	1408	58
960	1408	57
961	1409	55
962	1411	54
963	1412	52
964	1413	51
965	1414	49
966	1416	48
967	1418	46
968	1419	45
969	1422	43
970	1423	42
971	1424	41
972	1424	39
973	1425	38
974	1426	36
975	1427	35
976	1428	33
977	1428	32
978	1429	30
979	1431	29
980	1433	27
981	1434	26
982	1435	24
983	1436	23
984	1437	21
985	1438	20
986	1440	18
987	1441	17
988	1442	16
989	1444	14
990	1445	13
991	1446	11
992	1448	10
993	1449	8
994	1449	7
995	1450	5
996	1451	4
997	1451	2
998	1452	1
999	1452	0
0
