MPs,Rhodb_filter_Red_component_percentile_90th,Rhodb_filter_Green_ component_percentile_90th,nilre_filter_Red_component_percentile_90th,DAPI_filter_Red_component_percentile_50th,DAPI_filter_ Green_ component_percentile_90th,DAPI_filter_ Blue_ component_percentile_90th,FITC_filter_ Green_ component_percentile_90th,FITC_filter_ Blue_ component_percentile_90th
PP,0,0,0,0,0,0,157.483,24.254
PP,0,0,0,0,0,0,120.903,18.559
PE102,142.338,109.799,147.041,0,35.069,55.819,23.741,3.4
PLA,28.535,22.293,40.781,0,50.217,80.045,15.706,2.004
PP,0,0,0,0,6.391,10.047,100.813,15.423
PP,0,0,0,0,6.447,10.118,101.315,15.503
PS,248.014,191.366,249.374,0,3,4,54.586,8.204
PS,236.927,182.718,252.486,0,3,4,34.835,5.123
PVC,26.652,15.291,114.248,0,0,0,0,0
PVC,22.043,17.434,105.909,0,0,0,0,0
