MPs,Rhodb_filter_Red_component_percentile_90th,Rhodb_filter_Green_ component_percentile_90th,nilre_filter_Red_component_percentile_90th,DAPI_filter_Red_component_percentile_50th,DAPI_filter_ Green_ component_percentile_90th,DAPI_filter_ Blue_ component_percentile_90th,FITC_filter_ Green_ component_percentile_90th,FITC_filter_ Blue_ component_percentile_90th
OM,0,0,0.7676,0,14.1895,22.3215,0,0
PA,162.162,125.0598,165.0538,0,40.2492,64.0953,0,0
PA6,3.4433,2.892,5.0061,0,0,0,0,0
PAPER,0,0,0,178.5325,177.9549,111.4207,0,0
PBS,143.175,110.361,250.667,2.553,36.488,58.052,0,0
PE,0,0,73.1115,0,0,0,194.8407,30.0063
PETmono,4.2491,3.2417,0,0,47.172,75.1594,0,0
PETp,0,0,196.5714,0,0,0,0,0
PLA,142.9452,110.2697,112.9331,0,34.7932,55.3701,0,0
PP,0,0,0,0,0,0,138.5009,21.2797
PS,248.205,191.478,251.2935,0,0,0,65.608,9.9274
PSf,0,0,0,0,93.5659,149.3881,0,0
PVC,34.556,26.859,63.3302,0,0,0,0,0
OM,0,0,0.8773,0,10.0814,15.6921,0,0
PA,165.5161,127.6352,175.4874,0,39.1931,62.4213,0,0
PA6,4.1199,3.4502,4.1207,0,0,0,0,0
PAPER,0,0,0,144.254,102.0996,63.9927,0,0
PBS,170.302,131.219,251.776,0.491,33.023,52.542,0,0
PE,30.0315,23.312,53.4873,0,0,0,157.4796,24.2715
PETmono,4.1411,3.4579,0,0,52.6589,83.9551,0,0
PETp,0,0,189.4641,0,0,0,0,0
PLA,90.7318,70.1037,103.4964,0,27.629,43.9013,0,0
PP,0,0,0,0,0,0,152.0678,23.3935
PS,219.83,169.419,253.9272,0,0,0,5.313,0.531
PSf,0,0,0,0,94.3734,150.6735,0,0
PVC,30.956,24.115,94.5426,0,0,0,0,0
OM,0,0,0.987,0,8.6101,14.2333,0,0
PA,147.2278,113.5576,149.4855,0,43.7979,69.7651,0,0
PA6,4.0803,3.3077,3.678,0,0,0,0,0
PAPER,0,0,0,105.4535,188.6462,118.11,0,0
PBS,194.357,149.771,251.916,0.887,34.075,54.24,0,0
PE,5.4864,4.4854,66.8489,0,0,0,228.7436,35.2303
PETmono,4.0803,3.3077,0,0,32.9582,52.409,0,0
PETp,0,0,234.3158,0,0,0,0,0
PLA,104.2216,80.4778,118.6296,0,27.2238,43.2452,0,0
PP,0,0,0,0,0,0,172.4455,26.5398
PS,242.401,186.936,252.45,0,0,0,37.1687,5.4749
PSf,0,0,0,0,78.9302,125.9724,0,0
PVC,29.505,20.008,85.5244,0,0,0,0,0
OM,0,0,1.0967,0,7.7366,12.4827,0,0
PA,138.506,106.8508,113.2722,0,47.4596,75.6303,0,0
PAPER,0,0,0,182.2155,213.5303,133.6311,0,0
PA6,4.0803,3.3077,3.2353,0,0,0,0,0
PETmono,4.3565,3.2853,0,1.279,46.9921,74.8937,0,0
PE,0,0,72.6823,0,0,0,197.9735,30.4994
PBS,168.869,130.116,252.274,2.105,33.382,53.164,0,0
PETp,0,0,214.1345,0,0,0,0,0
PLA,101.8496,78.654,119.5962,0,25.5944,40.6441,0,0
PP,0,0,0,0,0,0,164.243,25.2803
PS,235.391,181.302,253.9633,0,0,0,5.3303,0.5105
PSf,0,0,0,0,85.1973,136.0071,0,0
PVC,28.728,22.404,90.9077,0,0,0,0,0
OM,0,0,1.6452,0,12.2231,19.2174,0,0
PAPER,0,0,0,94.183,141.4881,88.623,0,0
PA,130.2992,100.5396,97.5364,0,42.9714,68.4453,0,0
PETmono,3.9608,3.3039,0,0,65.7877,104.9547,0,0
PA6,3.9319,3.2819,3.8617,0,0,0,0,0
PE,26.3209,20.5384,73.2566,0,0,0,166.5647,25.6834
PBS,159.348,122.756,248.449,0.459,21.173,33.56,0,0
PETp,0,0,225.4058,0,0,0,0,0
PLA,102.1158,78.8594,125.6498,0,29.2628,46.5137,0,0
PP,0,0,0,0,0,0,203.3336,31.3413
PS,244.112,189.282,247.19625,0,0,0,7.1628,0.7957
PSf,0,0,0,0,67.1081,146.0418,0,0
PVC,27.174,21.196,20.6224,0,0,0,0,0
PAPER,0,0,0,98.33,128.0161,80.1765,0,0
OM,0,0,1.7549,0,13.6904,21.5592,0,0
PBS,170.302,131.219,251.776,0.491,33.023,52.542,0,0
PA,136.1211,105.0132,56.0378,0,44.706,70.7484,0,0
PE,5.1649,4.2476,35.3435,0,0,0,174.9538,26.9534
PA6,4.0303,3.3708,4.0756,0,0,0,0,0
PETmono,4.2491,3.2417,0,2.885,44.12,130.6776,0,0
PETp,0,0,185.4127,0,0,0,0,0
PLA,100.5062,77.6213,118.9616,0,26.0984,41.4507,0,0
PP,0,0,0,0,0,0,224.6955,34.6504
PS,242.927,187.361,246.09255,0,0,0,4.4136,0.3798
PSf,0,0,0,0,78.1965,124.8006,0,0
PVC,99.879,77.14,86.951,0,0,0,0,0
PAPER,0,0,0,154.4635,137.3841,86.0472,0,0
PBS,134.5284,174.4113,225.9397,41.303,45.044,28.7917,0,0
OM,0,0,1.8646,0,11.1926,17.5899,0,0
PE,0,0,60.6873,0,0,0,187.8591,28.9341
PA,123.3794,95.213,82.1238,0,44.4084,58.0154,0,0
PETmono,4.1411,3.4579,0,0,51.0926,81.4381,0,0
PA6,4.2016,3.4873,4.7844,0,0,0,0,0
PETp,0,0,206.3045,0,0,0,0,0
PLA,106.2825,82.0659,127.707,0,30.5084,48.4996,0,0
PP,0,0,0,0,0,0,207.7362,32.0169
PS,241.742,195.956,244.98885,0,0,0,64.9114,9.8276
PSf,0,0,0,0,80.9201,129.1616,0,0
PVC,107.734,83.184,92.493,0,0,0,0,0
PAPER,0,0,0,162.089,152.2508,95.2785,0,0
PBS,110.26,142.9834,222.8388,38.657,45.9312,28.821,0,0
PE,32.7427,25.4912,68.2633,0,0,0,146.7504,22.5946
OM,0,0,1.9743,0,15.5466,24.4936,0,0
PETmono,4.0803,3.3077,0,0,68.0652,108.6042,0,0
PA,102.8216,79.4041,124.8633,0,36.4425,64.7008,0,0
PETp,0,0,193.4797,0,0,0,0,0
PA6,6.2683,3.0831,8.1004,0,0,0,0,0
PLA,162.7766,125.5292,33.7061,0,39.56,62.9988,0,0
PP,0,0,0,0,0,0,192.6152,29.7015
PS,253.274,199.293,243.88515,0,0,0,60.775,9.16380197
PSf,0,0,0,0,57.1903,133.5226,0,0
