Label,Channel,percentil 10th,percentile 50th,percentile 90th,Filter Set
OM,Blue,10.9255,16.9,19.0973,DAPI
OM,Green,7.1165,10.777,19.5741,DAPI
OM,Red,0.0631,6.2975,13.9872,DAPI
PA6,Blue,55.4871,61.3775,64.6281,DAPI
PA6,Green,34.8568,38.5475,40.5883,DAPI
PA6,Red,0,0.2595,0.6067,DAPI
pet,Blue,55.851,74.285,94.9265,DAPI
pet,Green,35.084,46.6225,59.5205,DAPI
pet,Red,0.2115,0.2625,0.317,DAPI
Petmono,Blue,71.0113,72.9525,74.8937,DAPI
Petmono,Green,44.5769,45.7845,46.9921,DAPI
Petmono,Red,0.2598,0.279,0.2982,DAPI
PLA,Blue,41.5735,43.2065,53.2385,DAPI
PLA,Green,26.1755,27.195,33.4625,DAPI
PLA,Red,0,0,0,DAPI
Psf,Blue,113.4556,119.714,125.9724,DAPI
Psf,Green,71.1078,75.019,78.9302,DAPI
Psf,Red,0.0388,0.042,0.0452,DAPI
PE,Blue,24.816,28.7255,33.886,FITC
PE,Green,161.323,186.521,220.0615,FITC
PE,Red,0,0,0,FITC
PE100,Blue,27.5075,28.608,29.96,FITC
PE100,Green,178.7045,185.783,194.5095,FITC
PE100,Red,0.111,0.1155,0.1225,FITC
PE102,Blue,22.2125,23.7935,26.6605,FITC
PE102,Green,144.279,154.414,172.8965,FITC
PE102,Red,0.1175,0.1315,0.133,FITC
PP,Blue,24.2742,25.407,26.5398,FITC
PP,Green,157.7775,165.1115,172.4455,FITC
PP,Red,0.0438,0.055,0.0662,FITC
PP1,Blue,17.2115,25.0045,29.288,FITC
PP1,Green,112.3775,162.4355,190.1405,FITC
PP1,Red,0,0.337,0.502,FITC
PS,Blue,0,0.6165,8.0625,FITC
PS,Green,0.955,5.9975,53.651,FITC
PS,Red,0,0.022,1.016,FITC
OM,Blue,0,0,0,nilre
OM,Green,0,0,0,nilre
OM,Red,2.411,3.3935,9.858,nilre
PA,Blue,0,0,0,nilre
PA,Green,0,0,0,nilre
PA,Red,77.4665,102.2895,178.155,nilre
PA6,Blue,0,0,0,nilre
PA6,Green,0,0,0,nilre
PA6,Red,4.0923,4.0935,4.0947,nilre
PE,Blue,0,0,0,nilre
PE,Green,0,0,0,nilre
PE,Red,23.6155,42.1075,69.8085,nilre
PE100,Blue,0,0,0,nilre
PE100,Green,0,0,0,nilre
PE100,Red,55.6025,63.5405,73.8985,nilre
PE102,Blue,0,0,0,nilre
PE102,Green,0,0,0,nilre
PE102,Red,50.5535,63.356,68.32,nilre
pet,Blue,0,0,0,nilre
pet,Green,0,0,0,nilre
pet,Red,191.353,208.6525,240.67,nilre
petmono,Blue,0,0,0,nilre
petmono,Green,0,0,0,nilre
petmono,Red,4.0923,4.0935,4.0947,nilre
PLA,Blue,0,0,0,nilre
PLA,Green,0,0,0,nilre
PLA,Red,66.057,113.244,152,nilre
PP,Blue,34.054,34.054,34.054,nilre
PP,Green,0,0,0,nilre
PP,Red,0,0,0,nilre
PP1,Blue,0,0,0,nilre
PP1,Green,0,0,0,nilre
PP1,Red,6.1209,6.1605,6.2001,nilre
PS,Blue,0,0,0,nilre
PS,Green,0,0,0,nilre
PS,Red,244.6135,250.7915,253.799,nilre
PVC,Blue,0,0,0,nilre
PVC,Green,0,0,0,nilre
PVC,Red,2.191,35.8645,59.3985,nilre
PA,Blue,0,0,0,rhodb
PA,Green,89.4235,102.826,128.961,rhodb
PA,Red,115.851,133.2755,167.235,rhodb
PA6,Blue,0,0,0,rhodb
PA6,Green,3.1773,3.2425,3.3077,rhodb
PA6,Red,3.9627,4.0215,4.0803,rhodb
PE,Blue,0,0,0,rhodb
PE,Green,3.6475,4.461,16.4005,rhodb
PE,Red,4.3835,5.4465,20.9155,rhodb
PE100,Blue,0,0,0,rhodb
PE100,Green,12.2475,13.951,15.5,rhodb
PE100,Red,15.6405,17.8685,19.847,rhodb
PE102,Blue,0,0,0,rhodb
PE102,Green,19.167,22.1085,23.1465,rhodb
PE102,Red,24.646,28.463,29.8375,rhodb
pet,Blue,0,0,0,rhodb
pet,Green,81.625,102.444,125.9405,rhodb
pet,Red,106.0525,133.052,163.5695,rhodb
PLA,Blue,0,0,0,rhodb
PLA,Green,53.002,79.721,98.3595,rhodb
PLA,Red,68.505,103.242,127.4635,rhodb
PS,Blue,0,0,0,rhodb
PS,Green,175.3605,185.6,190.2275,rhodb
PS,Red,227.6105,240.721,246.5825,rhodb
PVC,Blue,0,0,0,rhodb
PVC,Green,17.177,23.5615,40.2845,rhodb
PVC,Red,21.9725,30.2305,52.005,rhodb
