MPs,nilre_filter_Red_component_percentile_90th,nilre_filter_Green_ component_percentile_90th,nilre_filter_ Blue_ component_percentile_90th,DAPI_filter_ Green_ component_percentile_90th,DAPI_filter_ Blue_ component_percentile_90th,FITC_filter_ Green_ component_percentile_90th,FITC_filter_ Blue_ component_percentile_90th
OM,3.0036,0,0,5.587933333,22.3215,0,0
PA,165.0538,0,0,40.2492,64.0953,0,0
PA6,5.0061,0,0,0,0,0,0
PETmono,0,0,0,47.172,75.1594,0,0
PETp,225.27359,0,0,0,0,0,0
PLA,112.9331,0,0,34.7932,55.3701,0,0
PP,0,0,5.2801,0,0,138.5009,21.2797
PS,251.2935,0,0,0,0,65.608,9.9274
PSf,0,0,0,93.5659,149.3881,0,0
PVC,3.333531,0,0,0,0,0,0
OM,2.7436,0,0,6.4997,15.6921,0,0
PA,175.4874,0,0,39.1931,62.4213,0,0
PA6,5.1207,0,0,0,0,0,0
PE,42.9878,0,0,0,0,174.9538,26.9534
PE,73.1115,0,0,0,0,194.8407,30.0063
PE,53.4873,0,0,0,0,157.4796,24.2715
PETmono,0,0,0,52.6589,83.9551,0,0
PE,46.5731,0,0,0,0,120.1185,18.5367
PETp,208.79454,0,0,0,0,0,0
PE,63.8995,0,0,0,0,193.2088,29.7559
PLA,103.4964,0,0,27.629,43.9013,0,0
PE,67.3927,0,0,0,0,175.3182,27.0397
PP,29.5227,0,0,0,0,152.0678,23.3935
PE,42.4427,0,0,0,0,188.6333,29.0049
PS,253.9272,0,0,0,0,88.61812,0.531
PE,71.4328,0,0,0,0,188.8438,29.0893
PSf,0,0,0,94.3734,150.6735,0,0
OM,2.8836,0,0,6.58255,14.2333,0,0
PE,71.7847,0,0,0,0,173.5048,26.748
PVC,3.496819,0,0,0,0,0,0
PA,99.4855,0,0,43.7979,69.7651,0,0
PE,55.4477,0,0,0,0,206.763,31.8474
PA6,5.678,0,0,0,0,0,0
PE,66.4317,0,0,0,0,198.5929,30.609
PE,58.6931,0,0,0,0,191.6758,29.5541
PE,63.4336,0,0,0,0,204.2221,31.453
PE,69.3553,0,0,0,0,197.4257,30.394
PE,57.9912,0,0,0,0,165.8284,25.582
PETmono,0,0,0,32.9582,92.7508,0,0
PE,62.491,0,0,0,0,197.2465,30.3728
PETp,182.31549,0,0,0,0,0,0
PE,66.998,0,0,0,0,178.4818,27.4652
