MPs,Rhodb_filter_Red_component_percentile_90th,Rhodb_filter_Green_ component_percentile_90th,nilre_filter_Red_component_percentile_90th,DAPI_filter_Red_component_percentile_50th,DAPI_filter_ Green_ component_percentile_90th,DAPI_filter_ Blue_ component_percentile_90th,FITC_filter_ Green_ component_percentile_90th,FITC_filter_ Blue_ component_percentile_90th
1_gb0595_r2,7.17,5.795,11.594,0,37.794,60.11,0,0
2_gb0595_r2,3.275,2.733,5.536,0,69.463,110.822,7.829,1.011
3_gb0595_r2,52.342,40.559,85.833,0,5.689,8.473,15.348,2
4_gb0595_r2,1.288,1.248,3.8,0,86.018,137.31,2.262,0
1_gb0595_r1,0,0,3.469,0,159,254,0,0
2_gb0595_r1,1.611,1.611,2.837,0,66.508,106.113,2.056,0
3_gb0595_r1,4.489,3.797,7.627,0,91.85,146.643,2.03,0
4_gb0595_r1,7.822,6.332,13.861,0,138.474,221.211,2.026,0
1_gb070_r2,2.894,2.485,10.814,0,0,0,0,0
2_gb070_r2,0,0,10.243,0,18.258,28.862,2.661,0
3_gb070_r2,3.5,3.187,0,0,59.453,94.829,2.006,0
4_gb070_r2,14.505,11.543,6.251,0,0,0,6.755,0
1_gb070_r1,11.185,8.939,22.841,0,3.265,5.314,3.35,0
2_gb070_r1,7.887,6.408,14.423,0,86.831,138.607,0,0
3_gb070_r1,6.03,4.902,0,0,30.963,49.298,4.276,
4_gb070_r1,6.806,5.541,9.539,0,5.169,7.397,0,0
1_gb063_r2,0,0,0,0,0,0,12.454,1.609
2_gb063_r2,1.584,1.478,4.257,0,104.566,166.946,2.165,0
3_gb063_r2,5.203,4.391,9.165,0,0,0,3.097,0
4_gb063_r2,3.788,3.342,6.556,0,83.039,132.529,2.483,0
1_gb063_r1,0,0,0,0,0,0,78.059,11.879
2_gb063_r1,3.119,3.041,5.429,0,47.744,76.088,0,0
3_gb063_r1,25.965,20.273,49.768,0,11.534,18.127,5.988,0.552
4_gb063_r1,5.637,4.572,9.254,0,0,0,0,0
1_gb050_r2,2.803,2.449,5.947,0,3.26,5.387,0,0
2_gb050_r2,1.058,1.058,2.178,0,4.291,7.018,0,0
3_gb050_r2,19.641,15.359,3.494,0,141.146,225.498,0,0
1_gb050_r1,0,0,2.632,0,155.942,249.123,0,0
2_gb050_r1,1.052,1.046,2.322,0,4.022,6.604,0,0
1_gb037_r2,29.358,22.861,0.987,0,0,0,0,0
2_gb037_r2,1.185,1.183,2.517,0,143.219,228.785,0,0
3_gb037_r2,1.513,1.443,3.623,0,128.545,205.332,0,0
1_gb037_r1,0,0,0,0,0,0,12.279,1.594
2_gb037_r1,1.214,1.213,2.439,0,141.843,226.597,0,0
1_gb034_r2,1.793,1.618,10.142,0,4.225,6.887,0,0
2_gb034_r2,5.103,4.192,16.718,0,3.015,5.016,2.036,0
3_gb034_r2,5.937,4.834,59.087,0,49.415,78.787,3.039,0.034
1_gb034_r1,0,0,0,0,0,0,27.808,0.895
2_gb034_r1,20.967,16.39,5.326,0,0,0,0,0
3_gb034_r1,1.142,1.134,2.743,0,135.323,216.177,0,0
1_gb009_r2,0,0,0,0,110.556,176.575,2.091,0
2_gb009_r2,1.291,1.264,0,0,80.974,129.242,0,0
1_gb009_r1,0,0,0,0,0,0,4.755,0.313
2_gb009_r1,6.611,5.451,2.904,0,0,0,4.435,0.323
3_gb009_r1,0,0,2.044,0,36.821,58.608,0,0
1_gb005_r2,2.807,2.499,5.501,0,4.993,8.063,5.733,0
2_gb005_r2,4.477,3.727,12.632,0,3.013,5.016,2.707,0.026
3_gb005_r2,14.453,11.503,9.828,0,3.25,5.36,0,0
4_gb005_r2,3.712,3.354,0,0,153.758,245.662,0,0
1_gb005_r1,1.968,1.804,4.718,0,3.279,5.406,3.973,0.241
2_gb005_r1,2.08,1.892,4.873,0,3.043,5.043,6.413,0.661
3_gb005_r1,1.412,1.345,3.752,0,131.998,210.84,0,0
4_gb005_r1,31.134,24.311,5.211,0,0,0,0,0
