Channel,NAME,FILTER,percentil 10th,percentile 50th,percentile 90th
Blue,paper,DAPI.tif,12.5303,61.9755,111.4207
Blue,paper,DAPI[0,7.1103,35.5515,63.9927
Blue,paper,DAPI.tif,13.254,65.682,118.11
Blue,paper,DAPI[0,14.8479,74.2395,133.6311
Blue,paper,DAPI[0,9.847,49.235,88.623
Blue,paper,DAPI[0,8.9085,44.5425,80.1765
Blue,paper,DAPI[0,9.5608,47.804,86.0472
Blue,paper,DAPI[0,10.5865,52.9325,95.2785
Blue,paper,DAPI[0,8.9668,44.834,80.7012
Blue,paper,DAPI[0,11.9682,59.841,107.7138
Blue,paper,DAPI[0,10.2708,51.354,92.4372
Blue,paper,DAPI[0,12.1898,60.949,109.7082
Blue,paper,DAPI[0,13.5178,67.589,121.6602
Blue,paper,DAPI.tif,10.929,54.017,97.105
Blue,paper,DAPI[0,14.6144,73.072,131.5296
Green,paper,DAPI.tif,19.9141,98.9345,177.9549
Green,paper,DAPI[0,11.3444,56.722,102.0996
Green,paper,DAPI.tif,21.0558,104.851,188.6462
Green,paper,DAPI[0,24.2607,118.8955,213.5303
Green,paper,DAPI[0,15.7209,78.6045,141.4881
Green,paper,DAPI[0,14.5529,71.2845,128.0161
Green,paper,DAPI[0,15.2649,76.3245,137.3841
Green,paper,DAPI[0,17.8172,85.034,152.2508
Green,paper,DAPI[0,14.3157,71.5785,128.8413
Green,paper,DAPI[0,19.3593,95.7205,172.0817
Green,paper,DAPI[0,16.4022,82.011,147.6198
Green,paper,DAPI[0,19.9378,97.605,175.2722
Green,paper,DAPI[0,21.5929,107.9645,194.3361
Green,paper,DAPI.tif,17.3785,86.2205,155.0625
Green,paper,DAPI[0,23.9435,117.0615,210.1795
Red,paper,DAPI.tif,145.6849,178.5325,211.3801
Red,paper,DAPI[0,117.7236,144.254,170.7844
Red,paper,DAPI.tif,86.0835,105.4535,124.8235
Red,paper,DAPI[0,148.6879,182.2155,215.7431
Red,paper,DAPI[0,76.8942,94.183,111.4718
Red,paper,DAPI[0,80.2772,98.33,116.3828
Red,paper,DAPI[0,126.0503,154.4635,182.8767
Red,paper,DAPI[0,132.2698,162.089,191.9082
Red,paper,DAPI[0,119.6739,146.6455,173.6171
Red,paper,DAPI[0,121.4373,148.8105,176.1837
Red,paper,DAPI[0,139.4685,170.9185,202.3685
Red,paper,DAPI[0,137.6455,168.6755,199.7055
