MPs,Rhodb_filter_Red_component_percentile_90th,Rhodb_filter_Green_ component_percentile_90th,nilre_filter_Red_component_percentile_90th,DAPI_filter_Red_component_percentile_50th,DAPI_filter_ Green_ component_percentile_90th,DAPI_filter_ Blue_ component_percentile_90th,FITC_filter_ Green_ component_percentile_90th,FITC_filter_ Blue_ component_percentile_90th
OM,0,0,0.7676,0,14.1895,22.3215,0,0
PA,162.162,125.0598,165.0538,0,40.2492,64.0953,0,0
PA6,3.4433,2.892,5.0061,0,0,0,0,0
PETmono,4.2491,3.2417,0,0,47.172,75.1594,0,0
PETp,0,0,0,0.293,61.6705,98.3685,0,0
PLA,142.9452,110.2697,112.9331,0,34.7932,55.3701,0,0
PP,0,0,0,0,0,0,138.5009,21.2797
PS,248.205,191.478,251.2935,0,0,0,65.608,9.9274
PSf,0,0,0,0,93.5659,149.3881,0,0
PVC,34.556,26.859,63.3302,0,0,0,0,0
OM,0,0,0.8773,0,10.0814,15.6921,0,0
PA,165.5161,127.6352,175.4874,0,39.1931,62.4213,0,0
PA6,4.1199,3.4502,4.1207,0,0,0,0,0
PE,9.062,7.249,34.8152,0,0,0,0,0
PE,0,0,73.1115,0,0,0,194.8407,30.0063
PE,30.0315,23.312,53.4873,0,0,0,157.4796,24.2715
PETmono,4.1411,3.4579,0,0,52.6589,83.9551,0,0
PE,17.5017,13.7727,46.5731,0,0,0,120.1185,18.5367
PETp,0,0,0,0.225,39.5128,62.9133,0,0
PE,0,0,63.8995,0,0,0,193.2088,29.7559
PLA,90.7318,70.1037,103.4964,0,27.629,43.9013,0,0
PE,36.4885,28.3741,67.3927,0,0,0,175.3182,27.0397
PP,0,0,0,0,0,0,152.0678,23.3935
PE,20.561,16.141,11.2123,0,0,0,188.6333,29.0049
PS,219.83,169.419,253.9272,0,0,0,5.313,0.531
PE,0,0,71.4328,0,0,0,188.8438,29.0893
PSf,0,0,0,0,94.3734,150.6735,0,0
OM,0,0,0.987,0,8.6101,14.2333,0,0
PE,28.7892,22.3273,71.7847,0,0,0,173.5048,26.748
PVC,30.956,24.115,94.5426,0,0,0,0,0
PA,147.2278,113.5576,149.4855,0,43.7979,69.7651,0,0
PE,21.1105,16.5455,55.4477,0,0,0,206.763,31.8474
PA6,4.0803,3.3077,3.678,0,0,0,0,0
PE,0,0,66.4317,0,0,0,198.5929,30.609
PE,33.8979,26.3654,58.6931,0,0,0,191.6758,29.5541
PE,22.8622,17.8972,63.4336,0,0,0,204.2221,31.453
PE,0,0,69.3553,0,0,0,197.4257,30.394
PE,29.5134,23.0193,57.9912,0,0,0,165.8284,25.582
PETmono,4.0803,3.3077,0,0,32.9582,52.409,0,0
PE,26.0272,20.328,62.491,0,0,0,197.2465,30.3728
PETp,0,0,0,0.273,51.4245,81.9699,0,0
PE,0,0,66.998,0,0,0,178.4818,27.4652
PLA,104.2216,80.4778,118.6296,0,27.2238,43.2452,0,0
PE,23.1075,17.675,56.9063,0,0,0,140.3165,21.6043
PP,0,0,0,0,0,0,172.4455,26.5398
PE,17.9783,14.1592,57.6145,0,0,0,217.3921,33.5035
PS,242.401,186.936,252.45,0,0,0,37.1687,5.4749
OM,0,0,1.0967,0,7.7366,12.4827,0,0
PE,0,0,75.3602,0,0,0,203.8736,31.4107
PSf,0,0,0,0,78.9302,125.9724,0,0
PA,138.506,106.8508,113.2722,0,47.4596,75.6303,0,0
PE,27.9365,21.8298,64.5733,0,0,0,165.0233,25.4477
PA6,4.0803,3.3077,3.2353,0,0,0,0,0
PE,19.0312,14.9676,72.5525,0,0,0,231.1288,35.5852
PE,0,0,64.1557,0,0,0,189.01,29.1242
PE,36.1297,27.6155,70.7546,0,0,0,175.6619,27.0787
PE,5.8967,4.8087,72.7639,0,0,0,204.9922,31.521
PE,0,0,58.6145,0,0,0,163.9956,25.2335
PE,27.009,21.0839,50.468,0,0,0,154.7159,23.8391
PETmono,4.3565,3.2853,0,1.279,46.9921,74.8937,0,0
PE,4.6349,3.8476,76.0638,0,0,0,239.9191,36.8933
PETp,0,0,196.5714,0,0,0,0,0
PE,0,0,68.1483,0,0,0,200.379,30.8636
PLA,101.8496,78.654,119.5962,0,25.5944,40.6441,0,0
PE,27.3582,21.3189,66.0165,0,0,0,145.4844,22.3971
PP,0,0,0,0,0,0,164.243,25.2803
OM,0,0,1.2064,0,6.8631,10.7321,0,0
PE,5.3273,4.3831,89.633,0,0,0,211.1282,32.4656
PS,235.391,181.302,253.9633,0,0,0,5.3303,0.5105
PA,130.2992,100.5396,97.5364,0,42.9714,68.4453,0,0
PE,0,0,66.9722,0,0,0,200.9706,30.9485
PSf,0,0,0,0,85.1973,136.0071,0,0
PA6,3.9319,3.2819,3.8617,0,0,0,0,0
PE,32.5011,25.264,51.1057,0,0,0,166.715,25.7165
PVC,29.505,20.008,85.5244,0,0,0,0,0
PE,5.4864,4.4854,66.8489,0,0,0,228.7436,35.2303
PE,0,0,72.6823,0,0,0,197.9735,30.4994
PE,36.0647,28.0407,65.6793,0,0,0,166.8631,25.7322
PE,4.7552,3.9177,46.4645,0,0,0,189.3152,29.1634
PE,0,0,50.7813,0,0,0,185.684,28.6032
PE,28.9142,22.4579,63.1449,0,0,0,160.5543,24.756
PETmono,3.9608,3.3039,0,0,65.7877,104.9547,0,0
PE,5.1999,4.2668,45.5982,0,0,0,194.2106,29.9117
PETp,0,0,189.4641,0,0,0,0,0
PE,0,0,65.008,0,0,0,191.0173,29.4235
PLA,102.1158,78.8594,125.6498,0,29.2628,46.5137,0,0
OM,0,0,1.3161,0,5.9896,8.9815,0,0
PE,26.3209,20.5384,73.2566,0,0,0,166.5647,25.6834
PP,0,0,0,0,0,0,203.3336,31.3413
PA,136.1211,105.0132,56.0378,0,44.706,70.7484,0,0
PE,5.1649,4.2476,35.3435,0,0,0,174.9538,26.9534
PS,244.96,188.977,244.7483,0,0,0,0.9689,0.4768
PA6,6.0414,3.0153,6.2121,0,0,0,0,0
PE,0,0,60.6873,0,0,0,187.8591,28.9341
PSf,0,0,0,0,67.1081,146.0418,0,0
PE,32.7427,25.4912,68.2633,0,0,0,146.7504,22.5946
PE,3.9215,3.3014,30.0817,0,0,0,180.7813,27.8529
PE,17.0779,13.4476,46.3953,0,0,0,207.6393,31.9853
PE,19.8725,15.5902,43.7146,0,0,0,185.3586,28.5446
PE,0,0,42.3911,0,0,0,188.929,29.1027
PE,0,0,43.5329,0,0,0,195.0264,30.063
