gh,MPs,Rhodb_Redcomponent_percentile50th,Rhodb_filter_Red_component_percentile_90th,Rhodb_filter_Green_component_percentile_50th,Rhodb_filter_Green_ component_percentile_90th,Rhodb_filter_Blue_component_percentile_50th,Rhodb_filter_ Blue_ component_percentile_90th,nilrefilter_Redcomponent_percentile50th,nilre_filter_Red_component_percentile_90th,nilre_filter_Green_component_percentile_50th,nilre_filter_Green_ component_percentile_90th,nilre_filter_Blue_component_percentile_50th,nilre_filter_ Blue_ component_percentile_90th,DAPI_filter_Red_component_percentile_50th,DAPI_filter_ Red_ component_percentile_90th,DAPI_filter_Green_component_percentile_50th,DAPI_filter_ Green_ component_percentile_90th,DAPI_filter_Blue_component_percentile_50th,DAPI_filter_ Blue_ component_percentile_90th,FITC_filter_Red_component_percentile_50th,FITC_filter_ Red_ component_percentile_90th,FITC_filter_Green_component_percentile_50th,FITC_filter_ Green_ component_percentile_90th,FITC_filter_Blue_component_percentile_50th,FITC_filter_ Blue_ component_percentile_90th
1,OM,0,0,0,0,0,0,6.397,9.737,0,0,0,0,0.1025,0.1845,12.3635,14.1895,19.4235,22.3215,0,0,0,0,0,0
2,PA,148.046,162.162,114.195,125.0598,0,0,133.109,165.0538,0,0,0,0,0,0,39.206,40.2492,62.4285,64.0953,0,0,0,0,0,0
3,PA6,3.4485,3.4433,2.9,2.892,0,0,4.5705,5.0061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,PE,9.062,9.062,7.249,7.249,0,0,23.856,34.8152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,PE100,0,0,0,0,0,0,64.6495,73.1115,0,0,0,0,0,0,0,0,0,0,0.111,0.1134,186.2315,194.8407,28.6755,30.0063
6,PE102,28.9815,30.0315,22.504,23.312,0,0,51.6805,53.4873,0,0,0,0,0,0,0,0,0,0,0.131,0.1318,154.414,157.4796,23.7935,24.2715
7,PETmono,4.1015,4.2491,3.1125,3.2417,0,0,0,0,0,0,0,0,0,0,46.876,47.172,74.685,75.1594,0,0,0,0,0,0
8,PETp,0,0,0,0,0,0,0,0,0,0,0,0,0.293,0.3338,59.5205,61.6705,94.9265,98.3685,0,0,0,0,0,0
9,PLA,124.558,142.9452,96.1205,110.2697,0,0,77.8015,112.9331,0,0,0,0,0,0,31.298,34.7932,49.7745,55.3701,0,0,0,0,0,0
10,PP1,0,0,0,0,0,0,0,0,4.9805,5.2801,0,0,0,0,0,0,0,0,0,0,119.1845,138.5009,18.2665,21.2797
11,PP5,0,0,0,0,0,0,28.0655,29.5227,0,0,0,0,0,0,0,0,0,0,0,0,150.027,152.0678,23.0715,23.3935
12,PS,0,0,0,0,0,0,250.7915,251.2935,0,0,0,0,0,0,0,0,0,0,0,0,60.616,65.608,9.145,9.9274
13,PSf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.5095,93.5659,93.3165,149.3881,0,0,0,0,0,0
14,PVC,34.556,34.556,26.859,26.859,0,0,2.191,3.3302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,OM,0,0,0,0,0,0,2.809,3.1106,0,0,0,0,0,0,6.847,10.0814,10.3805,15.6921,0,0,0,0,0,0
16,PA,152.4645,165.5161,117.592,127.6352,0,0,144.357,175.4874,0,0,0,0,0,0,38.3215,39.1931,61.0225,62.4213,0,0,0,0,0,0
17,PA6,4.0315,4.1199,3.379,3.4502,0,0,3.8955,4.1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,PE,11.4805,17.5017,9.1315,13.7727,0,0,30.7815,46.5731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,PE100,0,0,0,0,0,0,61.7215,63.8995,0,0,0,0,0,0,0,0,0,0,0,0,189.092,193.2088,29.1235,29.7559
20,PE102,21.8225,36.4885,17.0865,28.3741,0,0,66.4355,67.3927,0,0,0,0,0,0,0,0,0,0,0,0,168.619,175.3182,26.0025,27.0397
21,PETmono,4.0735,4.1411,3.4015,3.4579,0,0,0,0,0,0,0,0,0,0,40.0145,52.6589,63.7475,83.9551,0,0,0,0,0,0
22,PETp,0,0,0,0,0,0,0,0,0,0,0,0,0.225,0.2602,37.676,39.5128,59.9825,62.9133,0,0,0,0,0,0
23,PLA,88.091,90.7318,68.0745,70.1037,0,0,96.182,103.4964,0,0,0,0,0,0,26.141,27.629,41.5185,43.9013,0,0,0,0,0,0
24,PP1,0,0,0,0,0,0,0,0,7.0815,7.4003,0,0,0,0,0,0,0,0,0.055,0.0662,165.1115,172.4455,25.407,26.5398
25,PP5,0,0,0,0,0,0,20.7955,31.4023,0,0,0,0,0,0,0,0,0,0,0,0,148.499,164.243,22.8335,25.2803
26,PS,0,0,0,0,0,0,253.636,253.9272,0,0,0,0,0,0,0,0,0,0,0,0,3.357,5.313,0.295,0.531
27,PSf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.103,94.3734,148.6435,150.6735,0,0,0,0,0,0
28,PVC,30.956,30.956,24.115,24.115,0,0,77.101,94.5426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,OM,0,0,0,0,0,0,2.9655,3.2579,0,0,0,0,0.014,0.0252,2.923,5.2614,4.418,7.9524,0,0,0,0,0,0
30,PA,133.699,147.2278,103.152,113.5576,0,0,86.8595,149.4855,0,0,0,0,0,0,38.1695,43.7979,60.7615,69.7651,0,0,0,0,0,0
31,PA6,4.0215,4.0803,3.2425,3.3077,0,0,3.558,3.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,PE,20.557,20.561,16.133,16.141,0,0,10.1335,11.2123,0,0,0,0,0,0,0,0,0,0,0,0,107.5025,188.6333,16.3885,29.0049
33,PE100,0,0,0,0,0,0,66.884,71.4328,0,0,0,0,0,0,0,0,0,0,0.117,0.1178,185.783,188.8438,28.6065,29.0893
34,PE102,26.422,28.7892,20.5205,22.3273,0,0,63.8875,71.7847,0,0,0,0,0,0,0,0,0,0,0.118,0.1284,159.66,173.5048,24.6,26.748
35,PETmono,4.0215,4.0803,3.2425,3.3077,0,0,0,0,0,0,0,0,0,0,27.731,32.9582,44.045,52.409,0,0,0,0,0,0
36,PETp,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.2866,44.0305,51.4245,70.1535,81.9699,0,0,0,0,0,0
37,PLA,101.468,104.2216,78.357,80.4778,0,0,113.244,118.6296,0,0,0,0,0,0,26.423,27.2238,41.966,43.2452,0,0,0,0,0,0
38,PP1,0,0,0,0,0,0,6.1605,6.2001,0,0,0,0,0,0,0,0,0,0,0.4165,0.4857,186.028,203.3336,28.6625,31.3413
